Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,170,1382,3,181,0,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45
Basilicata,35,336,0,79,13,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45
Calabria,158,944,5,168,0,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45
Campania,274,3878,14,575,0,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45
Emilia-Romagna,943,9001,36,889,0,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45
Friuli Venezia Giulia,225,1277,10,175,0,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45
Lazio,517,6421,40,943,243,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45
Liguria,202,1583,6,218,12,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45
Lombardia,1101,10457,15,1810,0,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45
Marche,121,983,2,230,48,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45
Molise,9,176,0,39,26,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45
P.A. Bolzano,120,500,4,100,20,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45
P.A. Trento,94,517,2,90,0,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45
Piemonte,743,6794,21,628,99,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45
Puglia,131,2735,6,405,0,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45
Sardegna,87,1602,5,204,16,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45
Sicilia,231,3278,20,793,0,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45
Toscana,459,5033,19,570,13,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45
Umbria,174,662,1,86,41,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45
Valle d'Aosta,37,67,0,13,21,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45
Veneto,709,6000,35,1000,0,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45
Italia,6540,63626,244,9196,552,Dati della Protezione Civile del 14 Ottobre 2022 ore 23:45
