Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,685,1495,87,217,0,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Basilicata,157,422,17,88,13,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Calabria,258,913,28,152,25,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Campania,1543,4211,161,620,36,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Emilia-Romagna,3464,6483,373,760,0,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Friuli Venezia Giulia,532,1277,70,175,0,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Lazio,2297,6421,293,943,193,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Liguria,568,1795,64,222,12,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Lombardia,6198,12651,728,1416,114,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Marche,722,1176,132,233,40,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Molise,101,221,20,39,0,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
P.A. Bolzano,159,524,33,100,0,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
P.A. Trento,213,594,48,90,15,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Piemonte,3070,5824,276,628,99,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Puglia,1512,3623,189,569,80,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Sardegna,176,1602,27,208,35,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Sicilia,718,3879,107,834,196,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Toscana,1402,5033,241,599,18,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Umbria,407,852,74,139,2,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Valle d'Aosta,15,227,3,20,12,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Veneto,1141,6000,186,1000,0,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Italia,25338,65223,3157,9052,890,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
