Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,2.087,246.486,107.575,8.398,515,0%,492,38,000%,23,180,-800%,Dati della Protezione Civile del 15 Febbraio 2022 ore 18:12
Basilicata,851,76.223,19.919,3.654,99,0%,95,17,-310%,4,073,-2000%,Dati della Protezione Civile del 15 Febbraio 2022 ore 18:12
Calabria,2.381,195.460,46.770,2.514,377,1%,351,19,060%,26,140,-1610%,Dati della Protezione Civile del 15 Febbraio 2022 ore 18:12
Campania,7.614,1.150.492,168.180,2.990,1.220,1%,1.155,21,-480%,65,116,-1100%,Dati della Protezione Civile del 15 Febbraio 2022 ore 18:12
Emilia-Romagna,2.898,1.150.149,75.460,1.700,2.084,3%,1.974,44,-680%,110,248,-270%,Dati della Protezione Civile del 15 Febbraio 2022 ore 18:12
Friuli Venezia Giulia,1.512,298.367,32.382,2.695,419,1%,389,32,-300%,30,250,-910%,Dati della Protezione Civile del 15 Febbraio 2022 ore 18:12
Lazio,7.407,1.008.652,232.588,4.059,2.053,1%,1.878,33,090%,175,305,-280%,Dati della Protezione Civile del 15 Febbraio 2022 ore 18:12
Liguria,1.851,330.712,22.180,1.461,589,3%,561,37,-570%,28,184,1670%,Dati della Protezione Civile del 15 Febbraio 2022 ore 18:12
Lombardia,7.757,2.272.083,163.139,1.634,2.038,1%,1.872,19,-210%,166,166,250%,Dati della Protezione Civile del 15 Febbraio 2022 ore 18:12
Marche,2.881,306.884,24.510,1.636,350,1%,314,21,130%,36,240,-1430%,Dati della Protezione Civile del 15 Febbraio 2022 ore 18:12
Molise,337,35.513,7.260,2.467,45,1%,40,14,-700%,5,170,000%,Dati della Protezione Civile del 15 Febbraio 2022 ore 18:12
P.A. Bolzano,1.277,180.562,9.659,1.806,107,1%,100,19,-480%,7,131,-1250%,Dati della Protezione Civile del 15 Febbraio 2022 ore 18:12
P.A. Trento,620,134.670,6.799,1.254,127,2%,114,21,-730%,13,240,-710%,Dati della Protezione Civile del 15 Febbraio 2022 ore 18:12
Piemonte,3.677,949.738,63.089,1.476,1.640,3%,1.566,37,-470%,74,173,000%,Dati della Protezione Civile del 15 Febbraio 2022 ore 18:12
Puglia,6.154,687.628,94.594,2.405,804,1%,737,19,-050%,67,170,470%,Dati della Protezione Civile del 15 Febbraio 2022 ore 18:12
Sardegna,2.927,156.878,35.332,2.222,431,1%,400,25,-070%,31,195,330%,Dati della Protezione Civile del 15 Febbraio 2022 ore 18:12
Sicilia,6.005,722.488,262.478,5.430,1.431,1%,1.320,27,050%,111,230,-430%,Dati della Protezione Civile del 15 Febbraio 2022 ore 18:12
Toscana,4.216,820.941,65.937,1.786,1.150,2%,1.078,29,-270%,72,195,-1530%,Dati della Protezione Civile del 15 Febbraio 2022 ore 18:12
Umbria,1.009,173.918,13.509,1.561,211,2%,204,24,100%,7,081,-1250%,Dati della Protezione Civile del 15 Febbraio 2022 ore 18:12
Valle d'Aosta,93,30.857,1.856,1.496,42,2%,38,31,-500%,4,322,000%,Dati della Protezione Civile del 15 Febbraio 2022 ore 18:12
Veneto,7.298,1.276.773,97.194,1.996,989,1%,924,19,-540%,65,133,-1560%,Dati della Protezione Civile del 15 Febbraio 2022 ore 18:12
Italia,70.852,12.205.474,1.550.410,2.617,16.721,1%,15.602,26,-280%,1.119,189,-460%,Dati della Protezione Civile del 15 Febbraio 2022 ore 18:12
