Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,574,348.167,47.920,3.741,329,1%,320,25,320%,9,070,-1000%,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Basilicata,154,118.537,26.947,4.943,102,0%,98,18,430%,4,073,3330%,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Calabria,759,333.566,82.994,4.461,317,0%,300,16,200%,17,091,000%,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Campania,1.946,1.517.540,161.779,2.876,726,0%,688,12,040%,38,068,560%,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Emilia-Romagna,2.916,1.359.974,57.453,1.294,1.372,2%,1.336,30,340%,36,081,1250%,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Friuli Venezia Giulia,171,351.984,24.077,2.004,159,1%,155,13,540%,4,033,3330%,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Lazio,1.986,1.409.369,147.270,2.570,1.229,1%,1.166,20,000%,63,110,-740%,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Liguria,453,409.831,16.952,1.116,310,2%,300,20,030%,10,066,1110%,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Lombardia,1.614,2.674.216,160.197,1.605,1.152,1%,1.116,11,100%,36,036,000%,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Marche,617,422.922,8.849,591,197,2%,190,13,220%,7,047,000%,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Molise,115,55.230,8.400,2.854,27,0%,25,8,-380%,2,068,000%,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
P.A. Bolzano,180,206.156,4.221,789,34,1%,32,6,000%,2,037,-3330%,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
P.A. Trento,107,156.417,3.937,726,62,2%,60,11,2240%,2,037,000%,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Piemonte,826,1.103.225,59.712,1.397,755,1%,732,17,720%,23,054,950%,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Puglia,1.368,1.007.349,101.281,2.575,638,1%,601,15,-020%,37,094,1210%,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Sardegna,327,258.376,30.204,1.900,344,1%,323,20,190%,21,132,000%,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Sicilia,1.355,1.056.640,132.186,2.735,947,1%,898,19,-100%,49,101,210%,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Toscana,766,1.054.174,52.830,1.431,735,1%,706,19,440%,29,079,360%,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Umbria,452,254.929,12.636,1.460,244,2%,241,28,-040%,3,035,-2500%,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Valle d'Aosta,21,33.996,1.388,1.119,22,2%,21,17,500%,1,081,000%,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Veneto,1.673,1.598.078,75.610,1.553,650,1%,632,13,100%,18,037,-530%,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Italia,18.380,15.730.676,1.216.843,2.054,10.351,1%,9.940,17,190%,411,069,200%,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
