Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,1.070,477.147,47.002,3.669,279,1%,274,21,460%,5,039,6670%,Dati della Protezione Civile del 18 Luglio 2022 ore 23:45
Basilicata,478,162.024,15.716,2.883,95,1%,95,17,-590%,0,000,000%,Dati della Protezione Civile del 18 Luglio 2022 ore 23:45
Calabria,1.724,464.165,67.985,3.654,340,1%,325,17,250%,15,081,-630%,Dati della Protezione Civile del 18 Luglio 2022 ore 23:45
Campania,3.060,2.020.737,188.340,3.349,777,0%,739,13,1150%,38,068,560%,Dati della Protezione Civile del 18 Luglio 2022 ore 23:45
Emilia-Romagna,4.175,1.693.748,81.992,1.847,1.650,2%,1.598,36,350%,52,117,1060%,Dati della Protezione Civile del 18 Luglio 2022 ore 23:45
Friuli Venezia Giulia,369,431.849,22.366,1.861,295,1%,289,24,630%,6,050,000%,Dati della Protezione Civile del 18 Luglio 2022 ore 23:45
Lazio,3.708,1.881.206,221.550,3.866,1.114,1%,1.043,18,-050%,71,124,-270%,Dati della Protezione Civile del 18 Luglio 2022 ore 23:45
Liguria,679,511.701,23.639,1.557,430,2%,417,27,100%,13,086,830%,Dati della Protezione Civile del 18 Luglio 2022 ore 23:45
Lombardia,3.262,3.257.729,165.705,1.660,1.578,1%,1.538,15,080%,40,040,000%,Dati della Protezione Civile del 18 Luglio 2022 ore 23:45
Marche,1.076,545.796,22.505,1.502,208,1%,199,13,1180%,9,060,8000%,Dati della Protezione Civile del 18 Luglio 2022 ore 23:45
Molise,211,78.180,5.648,1.919,22,0%,20,7,000%,2,068,000%,Dati della Protezione Civile del 18 Luglio 2022 ore 23:45
P.A. Bolzano,308,238.982,7.005,1.310,105,1%,102,19,410%,3,056,000%,Dati della Protezione Civile del 18 Luglio 2022 ore 23:45
P.A. Trento,181,186.548,7.952,1.467,98,1%,95,18,330%,3,055,5000%,Dati della Protezione Civile del 18 Luglio 2022 ore 23:45
Piemonte,1.721,1.334.891,62.554,1.463,608,1%,593,14,370%,15,035,2500%,Dati della Protezione Civile del 18 Luglio 2022 ore 23:45
Puglia,1.936,1.334.114,92.797,2.359,529,1%,513,13,-020%,16,041,-590%,Dati della Protezione Civile del 18 Luglio 2022 ore 23:45
Sardegna,750,394.811,42.040,2.644,186,0%,175,11,-060%,11,069,1000%,Dati della Protezione Civile del 18 Luglio 2022 ore 23:45
Sicilia,2.678,1.489.220,154.988,3.206,1.079,1%,1.032,21,210%,47,097,-780%,Dati della Protezione Civile del 18 Luglio 2022 ore 23:45
Toscana,1.162,1.293.782,92.750,2.512,791,1%,759,21,130%,32,087,1850%,Dati della Protezione Civile del 18 Luglio 2022 ore 23:45
Umbria,662,334.438,23.447,2.709,293,1%,285,33,360%,8,092,-1110%,Dati della Protezione Civile del 18 Luglio 2022 ore 23:45
Valle d'Aosta,43,40.200,1.784,1.438,31,2%,31,25,3480%,0,000,000%,Dati della Protezione Civile del 18 Luglio 2022 ore 23:45
Veneto,1.951,2.006.642,106.630,2.190,757,1%,726,15,060%,31,064,-310%,Dati della Protezione Civile del 18 Luglio 2022 ore 23:45
Italia,31.204,20.177.910,1.454.395,2.455,11.265,1%,10.848,18,260%,417,070,350%,Dati della Protezione Civile del 18 Luglio 2022 ore 23:45
