Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,53,1538,5,177,23,Dati della Protezione Civile del 17 Ottobre 2021 ore 18:13
Basilicata,24,364,0,88,13,Dati della Protezione Civile del 17 Ottobre 2021 ore 18:13
Calabria,85,966,11,174,3,Dati della Protezione Civile del 17 Ottobre 2021 ore 18:13
Campania,178,3511,18,555,189,Dati della Protezione Civile del 17 Ottobre 2021 ore 18:13
Emilia-Romagna,296,7920,32,889,0,Dati della Protezione Civile del 17 Ottobre 2021 ore 18:13
Friuli Venezia Giulia,39,1277,7,175,0,Dati della Protezione Civile del 17 Ottobre 2021 ore 18:13
Lazio,307,6421,49,943,0,Dati della Protezione Civile del 17 Ottobre 2021 ore 18:13
Liguria,54,1700,7,217,12,Dati della Protezione Civile del 17 Ottobre 2021 ore 18:13
Lombardia,289,6369,52,1530,0,Dati della Protezione Civile del 17 Ottobre 2021 ore 18:13
Marche,41,971,14,212,62,Dati della Protezione Civile del 17 Ottobre 2021 ore 18:13
Molise,2,176,1,39,26,Dati della Protezione Civile del 17 Ottobre 2021 ore 18:13
P.A. Bolzano,21,500,7,100,20,Dati della Protezione Civile del 17 Ottobre 2021 ore 18:13
P.A. Trento,16,517,2,90,0,Dati della Protezione Civile del 17 Ottobre 2021 ore 18:13
Piemonte,181,5824,16,628,99,Dati della Protezione Civile del 17 Ottobre 2021 ore 18:13
Puglia,134,2745,18,482,0,Dati della Protezione Civile del 17 Ottobre 2021 ore 18:13
Sardegna,50,1602,11,204,16,Dati della Protezione Civile del 17 Ottobre 2021 ore 18:13
Sicilia,246,3716,42,894,0,Dati della Protezione Civile del 17 Ottobre 2021 ore 18:13
Toscana,198,5033,21,570,37,Dati della Protezione Civile del 17 Ottobre 2021 ore 18:13
Umbria,35,662,5,84,43,Dati della Protezione Civile del 17 Ottobre 2021 ore 18:13
Valle d'Aosta,4,83,0,33,0,Dati della Protezione Civile del 17 Ottobre 2021 ore 18:13
Veneto,133,6000,31,1000,0,Dati della Protezione Civile del 17 Ottobre 2021 ore 18:13
Italia,2386,57895,349,9084,543,Dati della Protezione Civile del 17 Ottobre 2021 ore 18:13
