Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,1.351,516.687,43.582,3.402,281,1%,272,21,-250%,9,070,-1000%,Dati della Protezione Civile del 06 Agosto 2022 ore 23:45
Basilicata,288,172.656,11.816,2.168,71,1%,68,12,-290%,3,055,000%,Dati della Protezione Civile del 06 Agosto 2022 ore 23:45
Calabria,1.357,506.411,72.616,3.903,293,0%,281,15,110%,12,064,000%,Dati della Protezione Civile del 06 Agosto 2022 ore 23:45
Campania,3.246,2.131.050,137.247,2.440,541,0%,519,9,-440%,22,039,-430%,Dati della Protezione Civile del 06 Agosto 2022 ore 23:45
Emilia-Romagna,2.713,1.778.323,47.287,1.065,1.483,3%,1.440,32,-430%,43,097,000%,Dati della Protezione Civile del 06 Agosto 2022 ore 23:45
Friuli Venezia Giulia,960,459.866,17.691,1.472,229,1%,227,19,-1240%,2,017,-3330%,Dati della Protezione Civile del 06 Agosto 2022 ore 23:45
Lazio,2.799,1.972.985,186.208,3.249,987,1%,934,16,-420%,53,092,-360%,Dati della Protezione Civile del 06 Agosto 2022 ore 23:45
Liguria,1.154,542.769,16.475,1.085,382,2%,377,25,-480%,5,033,000%,Dati della Protezione Civile del 06 Agosto 2022 ore 23:45
Lombardia,4.328,3.401.748,93.956,941,1.182,1%,1.148,12,-510%,34,034,-560%,Dati della Protezione Civile del 06 Agosto 2022 ore 23:45
Marche,1.127,583.889,16.765,1.119,191,1%,186,12,-700%,5,033,-1670%,Dati della Protezione Civile del 06 Agosto 2022 ore 23:45
Molise,100,83.392,5.372,1.825,22,0%,21,7,500%,1,034,000%,Dati della Protezione Civile del 06 Agosto 2022 ore 23:45
P.A. Bolzano,360,249.403,4.143,775,65,2%,65,12,000%,0,000,000%,Dati della Protezione Civile del 06 Agosto 2022 ore 23:45
P.A. Trento,391,196.756,5.004,923,76,2%,73,13,1230%,3,055,-2500%,Dati della Protezione Civile del 06 Agosto 2022 ore 23:45
Piemonte,1.943,1.397.296,42.897,1.003,494,1%,481,11,-460%,13,030,000%,Dati della Protezione Civile del 06 Agosto 2022 ore 23:45
Puglia,2.404,1.415.878,46.894,1.192,439,1%,422,11,-250%,17,043,-560%,Dati della Protezione Civile del 06 Agosto 2022 ore 23:45
Sardegna,848,423.973,25.142,1.581,174,1%,163,10,-300%,11,069,000%,Dati della Protezione Civile del 06 Agosto 2022 ore 23:45
Sicilia,2.931,1.576.724,150.398,3.111,861,1%,816,17,-170%,45,093,-430%,Dati della Protezione Civile del 06 Agosto 2022 ore 23:45
Toscana,1.777,1.350.544,88.268,2.390,623,1%,602,16,-400%,21,057,500%,Dati della Protezione Civile del 06 Agosto 2022 ore 23:45
Umbria,690,355.504,17.089,1.975,242,1%,237,27,040%,5,058,2500%,Dati della Protezione Civile del 06 Agosto 2022 ore 23:45
Valle d'Aosta,68,42.446,1.217,981,17,1%,17,14,-1500%,0,000,000%,Dati della Protezione Civile del 06 Agosto 2022 ore 23:45
Veneto,4.169,2.128.471,75.391,1.548,706,1%,674,14,-560%,32,066,-1350%,Dati della Protezione Civile del 06 Agosto 2022 ore 23:45
Italia,35.004,21.286.771,1.105.458,1.866,9.359,1%,9.023,15,-400%,336,057,-430%,Dati della Protezione Civile del 06 Agosto 2022 ore 23:45
