Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,2.900,324.619,42.625,3.327,338,1%,323,25,450%,15,117,1540%,Dati della Protezione Civile del 05 Aprile 2022 ore 19:27
Basilicata,1.094,110.575,26.574,4.875,100,0%,99,18,-100%,1,018,000%,Dati della Protezione Civile del 05 Aprile 2022 ore 19:27
Calabria,3.641,308.883,79.972,4.298,384,0%,364,20,000%,20,107,000%,Dati della Protezione Civile del 05 Aprile 2022 ore 19:27
Campania,10.099,1.435.599,169.629,3.016,760,0%,725,13,-050%,35,062,000%,Dati della Protezione Civile del 05 Aprile 2022 ore 19:27
Emilia-Romagna,3.103,1.301.617,54.197,1.221,1.244,2%,1.206,27,-270%,38,086,4070%,Dati della Protezione Civile del 05 Aprile 2022 ore 19:27
Friuli Venezia Giulia,1.562,339.378,24.141,2.009,148,1%,143,12,-070%,5,042,-2860%,Dati della Protezione Civile del 05 Aprile 2022 ore 19:27
Lazio,9.903,1.324.791,133.217,2.325,1.224,1%,1.146,20,-430%,78,136,680%,Dati della Protezione Civile del 05 Aprile 2022 ore 19:27
Liguria,1.979,391.943,17.154,1.130,258,2%,250,16,-160%,8,053,-1110%,Dati della Protezione Civile del 05 Aprile 2022 ore 19:27
Lombardia,11.666,2.575.651,162.035,1.623,1.198,1%,1.159,12,470%,39,039,-1330%,Dati della Protezione Civile del 05 Aprile 2022 ore 19:27
Marche,2.814,400.611,12.606,841,241,2%,231,15,-570%,10,067,000%,Dati della Protezione Civile del 05 Aprile 2022 ore 19:27
Molise,378,50.757,8.068,2.741,28,0%,28,10,370%,0,000,000%,Dati della Protezione Civile del 05 Aprile 2022 ore 19:27
P.A. Bolzano,847,200.602,6.276,1.173,54,1%,50,9,-1800%,4,075,000%,Dati della Protezione Civile del 05 Aprile 2022 ore 19:27
P.A. Trento,536,151.385,3.942,727,62,2%,59,11,-780%,3,055,-2500%,Dati della Protezione Civile del 05 Aprile 2022 ore 19:27
Piemonte,3.895,1.064.329,54.472,1.274,654,1%,627,15,030%,27,063,-1290%,Dati della Protezione Civile del 05 Aprile 2022 ore 19:27
Puglia,8.441,947.421,114.657,2.915,730,1%,690,18,120%,40,102,000%,Dati della Protezione Civile del 05 Aprile 2022 ore 19:27
Sardegna,2.631,237.800,30.437,1.914,353,1%,330,21,060%,23,145,-800%,Dati della Protezione Civile del 05 Aprile 2022 ore 19:27
Sicilia,5.769,1.000.371,186.617,3.861,1.058,1%,1.009,21,-040%,49,101,-1970%,Dati della Protezione Civile del 05 Aprile 2022 ore 19:27
Toscana,5.974,1.005.371,49.928,1.352,954,2%,908,25,190%,46,125,700%,Dati della Protezione Civile del 05 Aprile 2022 ore 19:27
Umbria,1.745,240.543,16.607,1.919,284,2%,281,32,560%,3,035,000%,Dati della Protezione Civile del 05 Aprile 2022 ore 19:27
Valle d'Aosta,116,32.947,1.125,907,25,2%,25,20,-740%,0,000,000%,Dati della Protezione Civile del 05 Aprile 2022 ore 19:27
Veneto,9.080,1.520.865,80.109,1.645,620,1%,593,12,420%,27,055,-1560%,Dati della Protezione Civile del 05 Aprile 2022 ore 19:27
Italia,88.173,14.966.058,1.274.388,2.151,10.717,1%,10.246,17,000%,471,080,-250%,Dati della Protezione Civile del 05 Aprile 2022 ore 19:27
