Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,634,582.448,16.901,1.319,179,1%,171,13,-060%,8,062,000%,Dati della Protezione Civile del 23 Ottobre 2022 ore 23:45
Basilicata,109,187.928,5.127,941,29,1%,28,5,370%,1,018,000%,Dati della Protezione Civile del 23 Ottobre 2022 ore 23:45
Calabria,528,576.471,10.644,572,147,1%,140,8,-480%,7,038,1670%,Dati della Protezione Civile del 23 Ottobre 2022 ore 23:45
Campania,1.592,2.280.603,45.291,805,299,1%,285,5,-030%,14,025,1670%,Dati della Protezione Civile del 23 Ottobre 2022 ore 23:45
Emilia-Romagna,2.586,1.942.216,43.103,971,1.129,3%,1.099,25,130%,30,068,1110%,Dati della Protezione Civile del 23 Ottobre 2022 ore 23:45
Friuli Venezia Giulia,568,519.824,11.102,924,198,2%,190,16,220%,8,067,3330%,Dati della Protezione Civile del 23 Ottobre 2022 ore 23:45
Lazio,2.674,2.147.532,59.748,1.043,661,1%,630,11,000%,31,054,-1620%,Dati della Protezione Civile del 23 Ottobre 2022 ore 23:45
Liguria,657,599.229,9.537,628,250,3%,241,16,040%,9,059,-1000%,Dati della Protezione Civile del 23 Ottobre 2022 ore 23:45
Lombardia,4.646,3.743.685,86.041,862,1.195,1%,1.177,12,-190%,18,018,590%,Dati della Protezione Civile del 23 Ottobre 2022 ore 23:45
Marche,689,648.408,8.147,544,162,2%,157,10,130%,5,033,000%,Dati della Protezione Civile del 23 Ottobre 2022 ore 23:45
Molise,93,93.217,4.609,1.566,11,0%,11,4,2220%,0,000,000%,Dati della Protezione Civile del 23 Ottobre 2022 ore 23:45
P.A. Bolzano,218,279.417,4.926,921,87,2%,85,16,-1500%,2,037,000%,Dati della Protezione Civile del 23 Ottobre 2022 ore 23:45
P.A. Trento,314,227.641,3.738,689,87,2%,83,15,120%,4,074,3330%,Dati della Protezione Civile del 23 Ottobre 2022 ore 23:45
Piemonte,2.181,1.572.527,50.793,1.188,760,1%,744,17,090%,16,037,-590%,Dati della Protezione Civile del 23 Ottobre 2022 ore 23:45
Puglia,1.018,1.509.728,14.397,366,163,1%,155,4,200%,8,020,1430%,Dati della Protezione Civile del 23 Ottobre 2022 ore 23:45
Sardegna,485,464.139,8.354,525,95,1%,90,6,-430%,5,031,2500%,Dati della Protezione Civile del 23 Ottobre 2022 ore 23:45
Sicilia,1.281,1.679.806,18.922,391,283,1%,266,6,-220%,17,035,-560%,Dati della Protezione Civile del 23 Ottobre 2022 ore 23:45
Toscana,1.361,1.455.701,50.645,1.371,480,1%,469,13,110%,11,030,000%,Dati della Protezione Civile del 23 Ottobre 2022 ore 23:45
Umbria,627,396.971,6.854,792,228,3%,224,26,370%,4,046,-2000%,Dati della Protezione Civile del 23 Ottobre 2022 ore 23:45
Valle d'Aosta,55,47.122,1.208,973,24,2%,24,19,-1110%,0,000,000%,Dati della Protezione Civile del 23 Ottobre 2022 ore 23:45
Veneto,3.238,2.393.462,59.710,1.226,779,1%,748,15,-230%,31,064,000%,Dati della Protezione Civile del 23 Ottobre 2022 ore 23:45
Italia,25.554,23.348.075,519.797,877,7.246,1%,7.017,12,-040%,229,039,090%,Dati della Protezione Civile del 23 Ottobre 2022 ore 23:45
