Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,507,518.227,43.786,3.418,278,1%,267,21,000%,11,086,2220%,Dati della Protezione Civile del 08 Agosto 2022 ore 23:45
Basilicata,129,172.977,11.335,2.079,67,1%,64,12,-300%,3,055,-2500%,Dati della Protezione Civile del 08 Agosto 2022 ore 23:45
Calabria,612,507.985,71.422,3.839,299,0%,288,15,400%,11,059,2220%,Dati della Protezione Civile del 08 Agosto 2022 ore 23:45
Campania,1.051,2.134.799,134.488,2.391,527,0%,503,9,-180%,24,043,430%,Dati della Protezione Civile del 08 Agosto 2022 ore 23:45
Emilia-Romagna,1.494,1.782.284,42.304,953,1.541,4%,1.498,34,240%,43,097,000%,Dati della Protezione Civile del 08 Agosto 2022 ore 23:45
Friuli Venezia Giulia,254,460.669,15.954,1.328,233,1%,229,19,270%,4,033,10000%,Dati della Protezione Civile del 08 Agosto 2022 ore 23:45
Lazio,1.334,1.976.780,177.032,3.089,1.007,1%,950,17,440%,57,099,360%,Dati della Protezione Civile del 08 Agosto 2022 ore 23:45
Liguria,330,543.938,15.915,1.048,410,3%,403,27,410%,7,046,4000%,Dati della Protezione Civile del 08 Agosto 2022 ore 23:45
Lombardia,1.169,3.406.062,91.741,919,1.160,1%,1.125,11,110%,35,035,-280%,Dati della Protezione Civile del 08 Agosto 2022 ore 23:45
Marche,403,585.371,16.424,1.096,183,1%,179,12,-110%,4,027,000%,Dati della Protezione Civile del 08 Agosto 2022 ore 23:45
Molise,106,83.747,5.727,1.946,27,0%,26,9,400%,1,034,000%,Dati della Protezione Civile del 08 Agosto 2022 ore 23:45
P.A. Bolzano,91,249.728,3.574,668,76,2%,76,14,1010%,0,000,000%,Dati della Protezione Civile del 08 Agosto 2022 ore 23:45
P.A. Trento,97,197.140,4.700,867,80,2%,77,14,130%,3,055,000%,Dati della Protezione Civile del 08 Agosto 2022 ore 23:45
Piemonte,674,1.399.274,42.132,986,500,1%,488,11,230%,12,028,-770%,Dati della Protezione Civile del 08 Agosto 2022 ore 23:45
Puglia,752,1.418.393,45.675,1.161,435,1%,419,11,-020%,16,041,-590%,Dati della Protezione Civile del 08 Agosto 2022 ore 23:45
Sardegna,489,424.992,24.906,1.566,172,1%,161,10,190%,11,069,-830%,Dati della Protezione Civile del 08 Agosto 2022 ore 23:45
Sicilia,710,1.579.354,129.291,2.675,859,1%,816,17,160%,43,089,-850%,Dati della Protezione Civile del 08 Agosto 2022 ore 23:45
Toscana,428,1.352.301,87.260,2.363,585,1%,564,15,-340%,21,057,-450%,Dati della Protezione Civile del 08 Agosto 2022 ore 23:45
Umbria,261,356.368,16.519,1.909,249,2%,243,28,-040%,6,069,000%,Dati della Protezione Civile del 08 Agosto 2022 ore 23:45
Valle d'Aosta,22,42.536,1.185,955,17,1%,17,14,630%,0,000,000%,Dati della Protezione Civile del 08 Agosto 2022 ore 23:45
Veneto,1.063,2.132.477,72.797,1.495,686,1%,659,14,060%,27,055,-1290%,Dati della Protezione Civile del 08 Agosto 2022 ore 23:45
Italia,11.976,21.325.402,1.054.167,1.780,9.391,1%,9.052,15,140%,339,057,-090%,Dati della Protezione Civile del 08 Agosto 2022 ore 23:45
