Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,54,74.025,5.559,430,147,3%,133,10,-220%,14,108,-670%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16
Basilicata,19,26.310,3.800,687,59,2%,57,10,-500%,2,036,-3330%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16
Calabria,139,66.875,9.999,528,260,3%,243,13,-280%,17,090,-560%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16
Campania,385,418.985,67.354,1.179,794,1%,733,13,-210%,61,107,-320%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16
Emilia-Romagna,190,383.693,15.762,353,620,4%,521,12,-210%,99,222,-480%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16
Friuli Venezia Giulia,34,106.998,4.916,408,41,1%,36,3,-530%,5,041,000%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16
Lazio,278,341.772,19.815,344,1.065,5%,913,16,-210%,152,264,-190%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16
Liguria,41,102.718,1.176,77,152,13%,121,8,340%,31,203,-610%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16
Lombardia,458,834.985,32.063,320,1.322,4%,1.076,11,-490%,246,245,120%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16
Marche,81,102.632,3.936,260,141,4%,113,7,-580%,28,185,-670%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16
Molise,7,13.586,138,46,11,8%,9,3,-1000%,2,067,-5000%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16
P.A. Bolzano,42,72.886,686,129,19,3%,16,3,1430%,3,056,000%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16
P.A. Trento,28,45.417,480,88,33,7%,20,4,000%,13,238,-710%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16
Piemonte,233,360.148,5.379,125,705,13%,625,14,-050%,80,186,-480%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16
Puglia,90,250.277,25.683,650,635,2%,572,14,-560%,63,159,-310%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16
Sardegna,30,56.643,12.784,793,155,1%,141,9,-280%,14,087,000%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16
Sicilia,348,225.551,9.883,203,549,6%,484,10,-360%,65,133,-970%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16
Toscana,263,241.275,8.387,227,532,6%,422,11,-470%,110,298,-350%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16
Umbria,63,56.377,1.558,179,68,4%,62,7,-880%,6,069,000%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16
Valle d'Aosta,16,11.583,228,182,7,3%,6,5,000%,1,080,000%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16
Veneto,150,423.267,8.710,179,337,4%,288,6,-140%,49,100,-200%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16
Italia,2.949,4.216.003,238.296,400,7.652,3%,6.591,11,-310%,1.061,178,-310%,Dati della Protezione Civile del 30 Maggio 2021 ore 18:16
