Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,1.982,326.601,42.680,3.332,326,1%,309,24,-430%,17,133,1330%,Dati della Protezione Civile del 06 Aprile 2022 ore 19:34
Basilicata,712,111.287,26.700,4.898,103,0%,102,19,300%,1,018,000%,Dati della Protezione Civile del 06 Aprile 2022 ore 19:34
Calabria,2.342,311.225,80.216,4.311,368,0%,347,19,-470%,21,113,500%,Dati della Protezione Civile del 06 Aprile 2022 ore 19:34
Campania,7.277,1.442.876,165.731,2.947,756,0%,725,13,000%,31,055,-1140%,Dati della Protezione Civile del 06 Aprile 2022 ore 19:34
Emilia-Romagna,5.343,1.306.958,56.356,1.270,1.260,2%,1.222,28,130%,38,086,000%,Dati della Protezione Civile del 06 Aprile 2022 ore 19:34
Friuli Venezia Giulia,1.133,340.509,23.782,1.979,140,1%,135,11,-560%,5,042,000%,Dati della Protezione Civile del 06 Aprile 2022 ore 19:34
Lazio,7.782,1.332.573,135.607,2.366,1.233,1%,1.152,20,050%,81,141,380%,Dati della Protezione Civile del 06 Aprile 2022 ore 19:34
Liguria,1.518,393.461,17.344,1.142,253,1%,245,16,-200%,8,053,000%,Dati della Protezione Civile del 06 Aprile 2022 ore 19:34
Lombardia,9.094,2.584.745,166.033,1.663,1.179,1%,1.144,11,-130%,35,035,-1030%,Dati della Protezione Civile del 06 Aprile 2022 ore 19:34
Marche,1.981,402.592,12.432,830,245,2%,235,16,170%,10,067,000%,Dati della Protezione Civile del 06 Aprile 2022 ore 19:34
Molise,430,51.187,8.196,2.785,30,0%,30,10,710%,0,000,000%,Dati della Protezione Civile del 06 Aprile 2022 ore 19:34
P.A. Bolzano,512,201.114,5.805,1.085,50,1%,47,9,-600%,3,056,-2500%,Dati della Protezione Civile del 06 Aprile 2022 ore 19:34
P.A. Trento,466,151.851,4.016,741,58,1%,55,10,-680%,3,055,000%,Dati della Protezione Civile del 06 Aprile 2022 ore 19:34
Piemonte,3.368,1.067.697,55.103,1.289,648,1%,622,15,-080%,26,061,-370%,Dati della Protezione Civile del 06 Aprile 2022 ore 19:34
Puglia,5.773,953.194,113.347,2.881,724,1%,688,17,-030%,36,092,-1000%,Dati della Protezione Civile del 06 Aprile 2022 ore 19:34
Sardegna,1.989,239.789,30.297,1.905,347,1%,323,20,-210%,24,151,430%,Dati della Protezione Civile del 06 Aprile 2022 ore 19:34
Sicilia,4.566,1.005.548,183.722,3.801,1.057,1%,1.001,21,-080%,56,116,1430%,Dati della Protezione Civile del 06 Aprile 2022 ore 19:34
Toscana,4.458,1.009.829,49.301,1.335,924,2%,881,24,-300%,43,116,-650%,Dati della Protezione Civile del 06 Aprile 2022 ore 19:34
Umbria,1.473,242.016,16.367,1.891,282,2%,279,32,-070%,3,035,000%,Dati della Protezione Civile del 06 Aprile 2022 ore 19:34
Valle d'Aosta,90,33.037,1.123,905,21,2%,21,17,-1600%,0,000,000%,Dati della Protezione Civile del 06 Aprile 2022 ore 19:34
Veneto,6.989,1.527.854,80.128,1.645,626,1%,601,12,130%,25,051,-740%,Dati della Protezione Civile del 06 Aprile 2022 ore 19:34
Italia,69.278,15.035.943,1.274.286,2.151,10.630,1%,10.164,17,-080%,466,079,-110%,Dati della Protezione Civile del 06 Aprile 2022 ore 19:34
