Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,427,569.701,17.524,1.368,161,1%,159,12,130%,2,016,10000%,Dati della Protezione Civile del 10 Ottobre 2022 ore 23:45
Basilicata,117,185.704,5.312,974,31,1%,31,6,1070%,0,000,000%,Dati della Protezione Civile del 10 Ottobre 2022 ore 23:45
Calabria,430,565.905,14.848,798,147,1%,142,8,520%,5,027,-1670%,Dati della Protezione Civile del 10 Ottobre 2022 ore 23:45
Campania,991,2.251.570,44.982,800,291,1%,281,5,-310%,10,018,1110%,Dati della Protezione Civile del 10 Ottobre 2022 ore 23:45
Emilia-Romagna,2.194,1.898.382,39.263,885,956,2%,927,21,450%,29,065,2080%,Dati della Protezione Civile del 10 Ottobre 2022 ore 23:45
Friuli Venezia Giulia,425,504.290,12.864,1.071,248,2%,237,20,300%,11,092,000%,Dati della Protezione Civile del 10 Ottobre 2022 ore 23:45
Lazio,1.781,2.103.052,51.033,891,535,1%,500,9,200%,35,061,000%,Dati della Protezione Civile del 10 Ottobre 2022 ore 23:45
Liguria,379,585.305,8.836,582,193,2%,186,12,1200%,7,046,000%,Dati della Protezione Civile del 10 Ottobre 2022 ore 23:45
Lombardia,2.229,3.641.974,81.182,813,967,1%,953,10,360%,14,014,-670%,Dati della Protezione Civile del 10 Ottobre 2022 ore 23:45
Marche,501,633.785,8.430,563,105,1%,103,7,3210%,2,013,000%,Dati della Protezione Civile del 10 Ottobre 2022 ore 23:45
Molise,80,91.536,4.287,1.457,8,0%,8,3,1430%,0,000,000%,Dati della Protezione Civile del 10 Ottobre 2022 ore 23:45
P.A. Bolzano,221,270.649,5.498,1.028,149,3%,144,27,1520%,5,093,-1670%,Dati della Protezione Civile del 10 Ottobre 2022 ore 23:45
P.A. Trento,144,219.919,5.259,970,87,2%,84,15,770%,3,055,000%,Dati della Protezione Civile del 10 Ottobre 2022 ore 23:45
Piemonte,1.335,1.518.467,54.005,1.263,673,1%,657,15,750%,16,037,-1110%,Dati della Protezione Civile del 10 Ottobre 2022 ore 23:45
Puglia,510,1.490.661,12.786,325,139,1%,134,3,-150%,5,013,000%,Dati della Protezione Civile del 10 Ottobre 2022 ore 23:45
Sardegna,383,454.936,6.166,388,100,2%,94,6,930%,6,038,2000%,Dati della Protezione Civile del 10 Ottobre 2022 ore 23:45
Sicilia,532,1.661.400,12.589,260,243,2%,229,5,600%,14,029,000%,Dati della Protezione Civile del 10 Ottobre 2022 ore 23:45
Toscana,581,1.426.086,45.845,1.241,387,1%,369,10,450%,18,049,1250%,Dati della Protezione Civile del 10 Ottobre 2022 ore 23:45
Umbria,416,386.115,7.968,921,174,2%,169,20,830%,5,058,000%,Dati della Protezione Civile del 10 Ottobre 2022 ore 23:45
Valle d'Aosta,35,45.648,1.378,1.110,21,2%,21,17,500%,0,000,000%,Dati della Protezione Civile del 10 Ottobre 2022 ore 23:45
Veneto,1.378,2.325.740,63.372,1.301,588,1%,559,11,550%,29,060,000%,Dati della Protezione Civile del 10 Ottobre 2022 ore 23:45
Italia,15.089,22.830.825,503.427,850,6.203,1%,5.987,10,510%,216,036,240%,Dati della Protezione Civile del 10 Ottobre 2022 ore 23:45
