Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,1.080,579.179,17.170,1.340,182,1%,176,14,170%,6,047,2000%,Dati della Protezione Civile del 19 Ottobre 2022 ore 23:45
Basilicata,134,187.391,5.308,974,29,1%,29,5,-1210%,0,000,000%,Dati della Protezione Civile del 19 Ottobre 2022 ore 23:45
Calabria,830,573.727,11.464,616,155,1%,148,8,140%,7,038,-2220%,Dati della Protezione Civile del 19 Ottobre 2022 ore 23:45
Campania,2.246,2.272.646,45.343,806,303,1%,290,5,-070%,13,023,-1880%,Dati della Protezione Civile del 19 Ottobre 2022 ore 23:45
Emilia-Romagna,4.133,1.929.820,45.097,1.016,1.092,2%,1.057,24,310%,35,079,-540%,Dati della Protezione Civile del 19 Ottobre 2022 ore 23:45
Friuli Venezia Giulia,1.371,516.219,12.397,1.032,222,2%,217,18,-360%,5,042,-1670%,Dati della Protezione Civile del 19 Ottobre 2022 ore 23:45
Lazio,3.533,2.134.982,58.005,1.012,650,1%,616,11,200%,34,059,-810%,Dati della Protezione Civile del 19 Ottobre 2022 ore 23:45
Liguria,1.113,595.728,10.149,668,248,2%,239,16,210%,9,059,2860%,Dati della Protezione Civile del 19 Ottobre 2022 ore 23:45
Lombardia,8.230,3.718.092,94.313,945,1.215,1%,1.192,12,000%,23,023,2110%,Dati della Protezione Civile del 19 Ottobre 2022 ore 23:45
Marche,1.058,644.884,8.722,582,157,2%,151,10,270%,6,040,2000%,Dati della Protezione Civile del 19 Ottobre 2022 ore 23:45
Molise,147,92.773,4.517,1.535,11,0%,11,4,2220%,0,000,000%,Dati della Protezione Civile del 19 Ottobre 2022 ore 23:45
P.A. Bolzano,641,277.628,5.997,1.121,107,2%,104,19,-1480%,3,056,5000%,Dati della Protezione Civile del 19 Ottobre 2022 ore 23:45
P.A. Trento,578,225.905,4.337,800,85,2%,81,15,-470%,4,074,000%,Dati della Protezione Civile del 19 Ottobre 2022 ore 23:45
Piemonte,3.946,1.559.632,54.043,1.264,764,1%,747,17,-040%,17,040,-1500%,Dati della Protezione Civile del 19 Ottobre 2022 ore 23:45
Puglia,1.469,1.504.600,14.840,377,149,1%,142,4,140%,7,018,000%,Dati della Protezione Civile del 19 Ottobre 2022 ore 23:45
Sardegna,740,461.709,7.651,481,100,1%,94,6,1190%,6,038,2000%,Dati della Protezione Civile del 19 Ottobre 2022 ore 23:45
Sicilia,1.608,1.674.315,20.972,434,291,1%,273,6,580%,18,037,-1430%,Dati della Protezione Civile del 19 Ottobre 2022 ore 23:45
Toscana,2.213,1.448.124,50.527,1.368,493,1%,480,13,600%,13,035,000%,Dati della Protezione Civile del 19 Ottobre 2022 ore 23:45
Umbria,812,394.047,7.565,874,210,3%,208,24,150%,2,023,10000%,Dati della Protezione Civile del 19 Ottobre 2022 ore 23:45
Valle d'Aosta,121,46.778,1.384,1.115,34,2%,34,27,000%,0,000,-10000%,Dati della Protezione Civile del 19 Ottobre 2022 ore 23:45
Veneto,5.709,2.375.894,62.991,1.293,816,1%,773,16,-120%,43,088,1030%,Dati della Protezione Civile del 19 Ottobre 2022 ore 23:45
Italia,41.712,23.214.073,542.792,916,7.313,1%,7.062,12,100%,251,042,-120%,Dati della Protezione Civile del 19 Ottobre 2022 ore 23:45
