Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,524,531.773,25.133,1.962,189,1%,182,14,830%,7,055,000%,Dati della Protezione Civile del 22 Agosto 2022 ore 17:43
Basilicata,139,176.225,8.418,1.544,41,0%,39,7,260%,2,037,000%,Dati della Protezione Civile del 22 Agosto 2022 ore 17:43
Calabria,699,525.901,68.401,3.676,203,0%,192,10,790%,11,059,1000%,Dati della Protezione Civile del 22 Agosto 2022 ore 17:43
Campania,827,2.164.417,117.238,2.085,381,0%,365,6,-370%,16,028,-590%,Dati della Protezione Civile del 22 Agosto 2022 ore 17:43
Emilia-Romagna,1.185,1.806.974,26.360,594,1.188,5%,1.159,26,220%,29,065,-1210%,Dati della Protezione Civile del 22 Agosto 2022 ore 17:43
Friuli Venezia Giulia,189,470.158,8.315,692,199,2%,195,16,000%,4,033,000%,Dati della Protezione Civile del 22 Agosto 2022 ore 17:43
Lazio,882,2.003.083,128.709,2.246,742,1%,702,12,-080%,40,070,-700%,Dati della Protezione Civile del 22 Agosto 2022 ore 17:43
Liguria,247,554.567,8.069,531,324,4%,317,21,780%,7,046,-2220%,Dati della Protezione Civile del 22 Agosto 2022 ore 17:43
Lombardia,1.042,3.444.682,45.295,454,810,2%,790,8,100%,20,020,-480%,Dati della Protezione Civile del 22 Agosto 2022 ore 17:43
Marche,433,597.725,7.858,524,104,1%,100,7,-830%,4,027,000%,Dati della Protezione Civile del 22 Agosto 2022 ore 17:43
Molise,113,86.014,4.873,1.656,23,0%,21,7,000%,2,068,-3330%,Dati della Protezione Civile del 22 Agosto 2022 ore 17:43
P.A. Bolzano,73,253.195,2.092,391,39,2%,39,7,2190%,0,000,000%,Dati della Protezione Civile del 22 Agosto 2022 ore 17:43
P.A. Trento,98,201.211,3.142,580,77,2%,77,14,550%,0,000,000%,Dati della Protezione Civile del 22 Agosto 2022 ore 17:43
Piemonte,485,1.417.015,32.709,765,349,1%,342,8,590%,7,016,1670%,Dati della Protezione Civile del 22 Agosto 2022 ore 17:43
Puglia,872,1.441.481,32.515,827,329,1%,312,8,000%,17,043,000%,Dati della Protezione Civile del 22 Agosto 2022 ore 17:43
Sardegna,363,434.127,14.838,933,135,1%,124,8,-080%,11,069,1000%,Dati della Protezione Civile del 22 Agosto 2022 ore 17:43
Sicilia,836,1.606.088,92.568,1.915,588,1%,555,11,110%,33,068,650%,Dati della Protezione Civile del 22 Agosto 2022 ore 17:43
Toscana,330,1.367.422,82.941,2.246,368,0%,350,9,-110%,18,049,590%,Dati della Protezione Civile del 22 Agosto 2022 ore 17:43
Umbria,190,362.419,4.803,555,168,3%,166,19,120%,2,023,000%,Dati della Protezione Civile del 22 Agosto 2022 ore 17:43
Valle d'Aosta,20,43.223,821,662,9,1%,9,7,000%,0,000,000%,Dati della Protezione Civile del 22 Agosto 2022 ore 17:43
Veneto,871,2.173.185,51.979,1.067,505,1%,480,10,-300%,25,051,-380%,Dati della Protezione Civile del 22 Agosto 2022 ore 17:43
Italia,10.418,21.660.885,767.077,1.295,6.771,1%,6.516,11,110%,255,043,-270%,Dati della Protezione Civile del 22 Agosto 2022 ore 17:43
