Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,34,34471,11885,910,465,4%,429,33,-1.4&,36,2.76,5.9%,Dati della Protezione Civile del 26 Dicembre 2020 ore 19:05
Basilicata,25,10472,5960,1070,96,2%,89,16,2.3&,7,1.26,0%,Dati della Protezione Civile del 26 Dicembre 2020 ore 19:05
Calabria,237,22515,8561,445,281,3%,263,14,-2.6&,18,0.94,-14.3%,Dati della Protezione Civile del 26 Dicembre 2020 ore 19:05
Campania,539,185821,80563,1392,1529,2%,1431,25,-1.2&,98,1.69,-3.9%,Dati della Protezione Civile del 26 Dicembre 2020 ore 19:05
Emilia-Romagna,1756,165044,57287,1282,2844,5%,2630,59,-3&,214,4.79,3.9%,Dati della Protezione Civile del 26 Dicembre 2020 ore 19:05
Friuli Venezia Giulia,224,47523,12125,1001,643,5%,587,48,2.6&,56,4.62,3.7%,Dati della Protezione Civile del 26 Dicembre 2020 ore 19:05
Lazio,1123,156790,76294,1301,3039,4%,2742,47,2.9&,297,5.06,2.4%,Dati della Protezione Civile del 26 Dicembre 2020 ore 19:05
Liguria,34,59005,5672,368,738,13%,672,44,1.4&,66,4.28,3.1%,Dati della Protezione Civile del 26 Dicembre 2020 ore 19:05
Lombardia,1606,471489,59622,590,4352,7%,3839,38,-3.4&,513,5.08,-1.7%,Dati della Protezione Civile del 26 Dicembre 2020 ore 19:05
Marche,206,39516,9635,635,476,5%,412,27,3.5&,64,4.21,6.7%,Dati della Protezione Civile del 26 Dicembre 2020 ore 19:05
Molise,28,6381,2323,769,63,3%,55,18,5.8&,8,2.65,14.3%,Dati della Protezione Civile del 26 Dicembre 2020 ore 19:05
P.A. Bolzano,0,28722,10564,1985,166,2%,147,28,0&,19,3.57,0%,Dati della Protezione Civile del 26 Dicembre 2020 ore 19:05
P.A. Trento,124,20963,1726,318,379,22%,331,61,8.2&,48,8.84,-2%,Dati della Protezione Civile del 26 Dicembre 2020 ore 19:05
Piemonte,417,193792,31557,727,3219,10%,3011,69,-0.6&,208,4.79,-2.8%,Dati della Protezione Civile del 26 Dicembre 2020 ore 19:05
Puglia,544,86218,53790,1342,1593,3%,1435,36,1.6&,158,3.94,-4.8%,Dati della Protezione Civile del 26 Dicembre 2020 ore 19:05
Sardegna,173,30049,16400,1006,521,3%,478,29,-1.2&,43,2.64,0%,Dati della Protezione Civile del 26 Dicembre 2020 ore 19:05
Sicilia,337,88934,33290,670,1184,4%,1014,20,1.9&,170,3.42,-2.3%,Dati della Protezione Civile del 26 Dicembre 2020 ore 19:05
Toscana,402,118557,10878,292,991,9%,825,22,-2.1&,166,4.46,0%,Dati della Protezione Civile del 26 Dicembre 2020 ore 19:05
Umbria,51,28028,3549,403,282,8%,248,28,3.3&,34,3.86,-5.6%,Dati della Protezione Civile del 26 Dicembre 2020 ore 19:05
Valle d'Aosta,24,7154,418,333,81,19%,77,61,-8.3&,4,3.19,0%,Dati della Protezione Civile del 26 Dicembre 2020 ore 19:05
Veneto,2523,237315,88842,1810,2944,3%,2589,53,0.3&,355,7.23,2.6%,Dati della Protezione Civile del 26 Dicembre 2020 ore 19:05
Italia,10407,2038759,580941,964,25886,4%,23304,39,-0.4&,2582,4.29,-0.1%,Dati della Protezione Civile del 26 Dicembre 2020 ore 19:05
