Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,1.958,287.652,36.676,2.863,265,1%,253,20,-380%,12,094,910%,Dati della Protezione Civile del 18 Marzo 2022 ore 18:33
Basilicata,949,94.609,20.072,3.682,87,0%,84,15,-560%,3,055,000%,Dati della Protezione Civile del 18 Marzo 2022 ore 18:33
Calabria,2.984,259.086,60.514,3.252,374,1%,359,19,350%,15,081,710%,Dati della Protezione Civile del 18 Marzo 2022 ore 18:33
Campania,8.409,1.297.490,138.386,2.461,628,0%,588,10,440%,40,071,-240%,Dati della Protezione Civile del 18 Marzo 2022 ore 18:33
Emilia-Romagna,4.151,1.231.488,35.876,808,1.017,3%,965,22,-260%,52,117,-190%,Dati della Protezione Civile del 18 Marzo 2022 ore 18:33
Friuli Venezia Giulia,1.045,321.070,19.871,1.654,134,1%,128,11,-380%,6,050,-2500%,Dati della Protezione Civile del 18 Marzo 2022 ore 18:33
Lazio,9.004,1.178.673,101.898,1.778,1.090,1%,1.015,18,-200%,75,131,140%,Dati della Protezione Civile del 18 Marzo 2022 ore 18:33
Liguria,1.514,366.469,14.020,923,230,2%,220,14,-310%,10,066,000%,Dati della Protezione Civile del 18 Marzo 2022 ore 18:33
Lombardia,8.555,2.432.568,131.813,1.321,916,1%,858,9,170%,58,058,000%,Dati della Protezione Civile del 18 Marzo 2022 ore 18:33
Marche,2.862,360.011,15.192,1.014,191,1%,181,12,840%,10,067,2500%,Dati della Protezione Civile del 18 Marzo 2022 ore 18:33
Molise,450,44.196,6.966,2.367,22,0%,21,7,1050%,1,034,000%,Dati della Protezione Civile del 18 Marzo 2022 ore 18:33
P.A. Bolzano,704,198.382,5.719,1.069,57,1%,54,10,1250%,3,056,-4000%,Dati della Protezione Civile del 18 Marzo 2022 ore 18:33
P.A. Trento,391,144.459,3.354,619,35,1%,34,6,-810%,1,018,000%,Dati della Protezione Civile del 18 Marzo 2022 ore 18:33
Piemonte,2.575,1.015.027,47.207,1.104,606,1%,583,14,100%,23,054,950%,Dati della Protezione Civile del 18 Marzo 2022 ore 18:33
Puglia,8.521,822.949,96.493,2.453,589,1%,560,14,180%,29,074,740%,Dati della Protezione Civile del 18 Marzo 2022 ore 18:33
Sardegna,2.113,205.258,27.431,1.725,356,1%,338,21,030%,18,113,-530%,Dati della Protezione Civile del 18 Marzo 2022 ore 18:33
Sicilia,5.946,891.982,233.721,4.835,918,0%,858,18,-180%,60,124,-770%,Dati della Protezione Civile del 18 Marzo 2022 ore 18:33
Toscana,5.689,921.405,39.778,1.077,709,2%,680,18,410%,29,079,740%,Dati della Protezione Civile del 18 Marzo 2022 ore 18:33
Umbria,2.307,211.616,20.298,2.345,179,1%,176,20,-380%,3,035,000%,Dati della Protezione Civile del 18 Marzo 2022 ore 18:33
Valle d'Aosta,62,31.863,1.125,907,16,1%,16,13,000%,0,000,000%,Dati della Protezione Civile del 18 Marzo 2022 ore 18:33
Veneto,6.061,1.408.158,63.811,1.310,458,1%,432,9,-250%,26,053,830%,Dati della Protezione Civile del 18 Marzo 2022 ore 18:33
Italia,76.250,13.724.411,1.120.221,1.891,8.877,1%,8.403,14,010%,474,080,020%,Dati della Protezione Civile del 18 Marzo 2022 ore 18:33
