Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,437,1382,17,181,14,Dati della Protezione Civile del 21 Febbraio 2022 ore 18:20
Basilicata,106,375,1,79,13,Dati della Protezione Civile del 21 Febbraio 2022 ore 18:20
Calabria,346,1118,28,202,0,Dati della Protezione Civile del 21 Febbraio 2022 ore 18:20
Campania,984,4476,55,812,0,Dati della Protezione Civile del 21 Febbraio 2022 ore 18:20
Emilia-Romagna,1757,9001,100,889,0,Dati della Protezione Civile del 21 Febbraio 2022 ore 18:20
Friuli Venezia Giulia,323,1277,17,175,0,Dati della Protezione Civile del 21 Febbraio 2022 ore 18:20
Lazio,1683,6421,148,943,243,Dati della Protezione Civile del 21 Febbraio 2022 ore 18:20
Liguria,478,1821,25,221,12,Dati della Protezione Civile del 21 Febbraio 2022 ore 18:20
Lombardia,1340,10457,143,1810,0,Dati della Protezione Civile del 21 Febbraio 2022 ore 18:20
Marche,272,1025,31,256,49,Dati della Protezione Civile del 21 Febbraio 2022 ore 18:20
Molise,27,176,4,39,26,Dati della Protezione Civile del 21 Febbraio 2022 ore 18:20
P.A. Bolzano,86,500,3,100,20,Dati della Protezione Civile del 21 Febbraio 2022 ore 18:20
P.A. Trento,80,517,6,90,0,Dati della Protezione Civile del 21 Febbraio 2022 ore 18:20
Piemonte,1223,6794,49,628,99,Dati della Protezione Civile del 21 Febbraio 2022 ore 18:20
Puglia,733,2923,56,503,0,Dati della Protezione Civile del 21 Febbraio 2022 ore 18:20
Sardegna,370,1602,26,204,16,Dati della Protezione Civile del 21 Febbraio 2022 ore 18:20
Sicilia,1162,3792,94,858,0,Dati della Protezione Civile del 21 Febbraio 2022 ore 18:20
Toscana,980,5033,58,570,8,Dati della Protezione Civile del 21 Febbraio 2022 ore 18:20
Umbria,175,662,8,86,41,Dati della Protezione Civile del 21 Febbraio 2022 ore 18:20
Valle d'Aosta,25,163,4,34,0,Dati della Protezione Civile del 21 Febbraio 2022 ore 18:20
Veneto,788,6000,55,1000,0,Dati della Protezione Civile del 21 Febbraio 2022 ore 18:20
Italia,13375,65515,928,9680,541,Dati della Protezione Civile del 21 Febbraio 2022 ore 18:20
