Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,700,551.869,27.553,2.151,121,0%,120,9,910%,1,008,-5000%,Dati della Protezione Civile del 21 Settembre 2022 ore 23:45
Basilicata,167,182.365,5.435,997,19,0%,18,3,-530%,1,018,000%,Dati della Protezione Civile del 21 Settembre 2022 ore 23:45
Calabria,580,551.804,38.632,2.076,126,0%,120,6,-160%,6,032,2000%,Dati della Protezione Civile del 21 Settembre 2022 ore 23:45
Campania,1.791,2.214.944,39.314,699,236,1%,227,4,-380%,9,016,-1000%,Dati della Protezione Civile del 21 Settembre 2022 ore 23:45
Emilia-Romagna,1.555,1.847.075,15.750,355,623,4%,599,13,-230%,24,054,000%,Dati della Protezione Civile del 21 Settembre 2022 ore 23:45
Friuli Venezia Giulia,649,485.200,5.050,420,99,2%,95,8,-1280%,4,033,000%,Dati della Protezione Civile del 21 Settembre 2022 ore 23:45
Lazio,1.819,2.050.000,39.702,693,374,1%,347,6,-170%,27,047,380%,Dati della Protezione Civile del 21 Settembre 2022 ore 23:45
Liguria,478,569.714,4.984,328,136,3%,133,9,230%,3,020,000%,Dati della Protezione Civile del 21 Settembre 2022 ore 23:45
Lombardia,3.525,3.528.736,37.116,372,485,1%,475,5,-420%,10,010,000%,Dati della Protezione Civile del 21 Settembre 2022 ore 23:45
Marche,567,615.070,3.364,225,50,1%,47,3,-600%,3,020,000%,Dati della Protezione Civile del 21 Settembre 2022 ore 23:45
Molise,75,89.298,3.461,1.176,5,0%,5,2,-1670%,0,000,000%,Dati della Protezione Civile del 21 Settembre 2022 ore 23:45
P.A. Bolzano,403,260.097,2.481,464,51,2%,48,9,2000%,3,056,-2500%,Dati della Protezione Civile del 21 Settembre 2022 ore 23:45
P.A. Trento,442,209.453,2.336,431,45,2%,43,8,-1040%,2,037,000%,Dati della Protezione Civile del 21 Settembre 2022 ore 23:45
Piemonte,1.601,1.455.764,32.500,760,248,1%,241,6,-040%,7,016,000%,Dati della Protezione Civile del 21 Settembre 2022 ore 23:45
Puglia,814,1.469.719,10.337,263,118,1%,109,3,-1070%,9,023,-1000%,Dati della Protezione Civile del 21 Settembre 2022 ore 23:45
Sardegna,381,446.101,4.159,262,64,2%,58,4,-1080%,6,038,-1430%,Dati della Protezione Civile del 21 Settembre 2022 ore 23:45
Sicilia,1.059,1.640.614,21.376,442,230,1%,214,4,340%,16,033,000%,Dati della Protezione Civile del 21 Settembre 2022 ore 23:45
Toscana,985,1.393.170,80.889,2.190,157,0%,154,4,-490%,3,008,-4000%,Dati della Protezione Civile del 21 Settembre 2022 ore 23:45
Umbria,484,372.226,3.281,379,109,3%,108,12,-090%,1,012,000%,Dati della Protezione Civile del 21 Settembre 2022 ore 23:45
Valle d'Aosta,28,44.207,554,446,11,2%,11,9,-1540%,0,000,000%,Dati della Protezione Civile del 21 Settembre 2022 ore 23:45
Veneto,3.087,2.241.420,34.833,715,255,1%,244,5,040%,11,023,1000%,Dati della Protezione Civile del 21 Settembre 2022 ore 23:45
Italia,21.190,22.218.846,413.107,697,3.562,1%,3.416,6,-230%,146,025,-270%,Dati della Protezione Civile del 21 Settembre 2022 ore 23:45
