Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,1.609,252.924,92.436,7.216,448,0%,431,34,-550%,17,133,-1500%,Dati della Protezione Civile del 19 Febbraio 2022 ore 22:48
Basilicata,642,78.896,19.754,3.624,99,1%,98,18,-490%,1,018,000%,Dati della Protezione Civile del 19 Febbraio 2022 ore 22:48
Calabria,1.589,202.216,48.698,2.617,355,1%,332,18,-510%,23,124,-420%,Dati della Protezione Civile del 19 Febbraio 2022 ore 22:48
Campania,5.053,1.172.927,155.602,2.767,1.076,1%,1.017,18,-200%,59,105,-630%,Dati della Protezione Civile del 19 Febbraio 2022 ore 22:48
Emilia-Romagna,3.332,1.164.370,57.295,1.291,1.838,3%,1.744,39,-140%,94,212,-210%,Dati della Protezione Civile del 19 Febbraio 2022 ore 22:48
Friuli Venezia Giulia,925,302.674,25.120,2.091,349,1%,328,27,-630%,21,175,500%,Dati della Protezione Civile del 19 Febbraio 2022 ore 22:48
Lazio,5.583,1.033.551,199.879,3.488,1.807,1%,1.659,29,-460%,148,258,-630%,Dati della Protezione Civile del 19 Febbraio 2022 ore 22:48
Liguria,1.268,335.924,18.430,1.214,493,3%,468,31,-370%,25,165,-380%,Dati della Protezione Civile del 19 Febbraio 2022 ore 22:48
Lombardia,5.231,2.294.807,141.222,1.415,1.547,1%,1.391,14,-870%,156,156,060%,Dati della Protezione Civile del 19 Febbraio 2022 ore 22:48
Marche,1.813,314.948,24.305,1.622,308,1%,276,18,-320%,32,214,-300%,Dati della Protezione Civile del 19 Febbraio 2022 ore 22:48
Molise,142,36.749,6.716,2.282,38,1%,34,12,-560%,4,136,000%,Dati della Protezione Civile del 19 Febbraio 2022 ore 22:48
P.A. Bolzano,609,183.544,8.021,1.499,75,1%,72,13,-1530%,3,056,-5000%,Dati della Protezione Civile del 19 Febbraio 2022 ore 22:48
P.A. Trento,426,136.322,5.364,989,85,2%,79,15,-130%,6,111,-1430%,Dati della Protezione Civile del 19 Febbraio 2022 ore 22:48
Piemonte,2.393,960.901,54.861,1.283,1.275,2%,1.222,29,-700%,53,124,-190%,Dati della Protezione Civile del 19 Febbraio 2022 ore 22:48
Puglia,4.244,705.005,87.931,2.235,782,1%,725,18,040%,57,145,-810%,Dati della Protezione Civile del 19 Febbraio 2022 ore 22:48
Sardegna,1.355,164.991,36.172,2.275,399,1%,371,23,000%,28,176,770%,Dati della Protezione Civile del 19 Febbraio 2022 ore 22:48
Sicilia,5.504,746.269,248.459,5.140,1.288,1%,1.189,25,-090%,99,205,210%,Dati della Protezione Civile del 19 Febbraio 2022 ore 22:48
Toscana,3.050,834.334,50.648,1.372,1.021,2%,960,26,-180%,61,165,-760%,Dati della Protezione Civile del 19 Febbraio 2022 ore 22:48
Umbria,843,177.731,11.840,1.368,178,2%,169,20,-610%,9,104,-1000%,Dati della Protezione Civile del 19 Febbraio 2022 ore 22:48
Valle d'Aosta,53,31.076,1.598,1.288,28,2%,23,19,-2330%,5,403,6670%,Dati della Protezione Civile del 19 Febbraio 2022 ore 22:48
Veneto,4.870,1.297.614,75.427,1.549,851,1%,799,16,-630%,52,107,-710%,Dati della Protezione Civile del 19 Febbraio 2022 ore 22:48
Italia,50.534,12.427.773,1.369.778,2.312,14.340,1%,13.387,23,-400%,953,161,-340%,Dati della Protezione Civile del 19 Febbraio 2022 ore 22:48
