Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,353,62525,11182,856,756,7%,671,51,0.4%,85,6.51,2.4%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Basilicata,108,18358,4470,803,175,4%,162,29,-2.4%,13,2.33,-7.1%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Calabria,412,43511,8727,453,343,4%,311,16,2%,32,1.66,-13.5%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Campania,1810,318992,100676,1740,1786,2%,1613,28,2.4%,173,2.99,7.5%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Emilia-Romagna,2448,316967,74464,1667,3962,5%,3566,80,1.3%,396,8.86,-1.2%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Friuli Venezia Giulia,578,91655,16145,1333,677,4%,596,49,5.7%,81,6.69,1.3%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Lazio,1793,268322,47690,813,2904,6%,2583,44,4%,321,5.47,3.9%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Liguria,380,85139,5951,386,645,11%,586,38,0.2%,59,3.82,-9.2%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Lombardia,4003,697920,105775,1047,7732,7%,6926,69,0.5%,806,7.98,1.9%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Marche,700,83173,10065,663,907,9%,761,50,0.8%,146,9.62,4.3%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Molise,57,11980,1347,446,116,9%,100,33,3.1%,16,5.29,0%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
P.A. Bolzano,76,57163,3308,622,153,5%,123,23,1.7%,30,5.64,-6.3%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
P.A. Trento,155,39393,3706,683,266,7%,214,39,5.4%,52,9.58,0%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Piemonte,1751,288915,34531,795,3801,11%,3455,80,2.8%,346,7.97,4.2%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Puglia,1546,176529,43079,1075,1895,4%,1683,42,0.9%,212,5.29,1.4%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Sardegna,176,43257,13016,798,199,2%,178,11,1.7%,21,1.29,-4.5%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Sicilia,699,165839,16192,326,876,5%,751,15,2.7%,125,2.52,2.5%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Toscana,1358,182356,26348,708,1653,6%,1408,38,-1.1%,245,6.58,2.1%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Umbria,142,49224,5516,627,438,8%,366,42,-1.6%,72,8.18,-2.7%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Valle d'Aosta,28,8603,530,422,24,5%,22,18,-12%,2,1.59,0%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Veneto,1586,366555,38954,794,1624,4%,1409,29,2.7%,215,4.38,4.9%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Italia,20159,3376376,571672,949,30932,5%,27484,46,1.6%,3448,5.72,1.8%,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
