Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,58,76.267,1.507,116,34,2%,34,3,4780%,0,000,000%,Dati della Protezione Civile del 01 Agosto 2021 ore 18:45
Basilicata,24,27.424,699,126,17,2%,17,3,000%,0,000,000%,Dati della Protezione Civile del 01 Agosto 2021 ore 18:45
Calabria,126,71.081,2.837,150,72,3%,66,3,310%,6,032,000%,Dati della Protezione Civile del 01 Agosto 2021 ore 18:45
Campania,377,431.440,8.696,152,230,3%,218,4,1120%,12,021,000%,Dati della Protezione Civile del 01 Agosto 2021 ore 18:45
Emilia-Romagna,606,394.934,7.642,171,240,3%,223,5,720%,17,038,1330%,Dati della Protezione Civile del 01 Agosto 2021 ore 18:45
Friuli Venezia Giulia,50,108.084,703,58,19,3%,16,1,1430%,3,025,000%,Dati della Protezione Civile del 01 Agosto 2021 ore 18:45
Lazio,716,359.244,10.791,187,343,3%,297,5,350%,46,080,220%,Dati della Protezione Civile del 01 Agosto 2021 ore 18:45
Liguria,172,105.500,1.373,90,43,3%,34,2,300%,9,059,000%,Dati della Protezione Civile del 01 Agosto 2021 ore 18:45
Lombardia,522,853.492,11.174,111,235,2%,208,2,100%,27,027,800%,Dati della Protezione Civile del 01 Agosto 2021 ore 18:45
Marche,126,105.688,2.062,136,31,2%,25,2,1360%,6,040,2000%,Dati della Protezione Civile del 01 Agosto 2021 ore 18:45
Molise,23,13.939,129,43,1,1%,0,0,-10000%,1,033,000%,Dati della Protezione Civile del 01 Agosto 2021 ore 18:45
P.A. Bolzano,21,73.818,348,65,8,2%,5,1,000%,3,056,000%,Dati della Protezione Civile del 01 Agosto 2021 ore 18:45
P.A. Trento,35,46.430,381,70,9,2%,9,2,1250%,0,000,000%,Dati della Protezione Civile del 01 Agosto 2021 ore 18:45
Piemonte,146,365.973,2.475,57,87,4%,81,2,1740%,6,014,000%,Dati della Protezione Civile del 01 Agosto 2021 ore 18:45
Puglia,158,256.189,2.421,61,84,3%,75,2,-740%,9,023,1250%,Dati della Protezione Civile del 01 Agosto 2021 ore 18:45
Sardegna,314,62.365,5.211,323,91,2%,74,5,-130%,17,105,3080%,Dati della Protezione Civile del 01 Agosto 2021 ore 18:45
Sicilia,581,243.541,11.219,230,328,3%,295,6,730%,33,068,650%,Dati della Protezione Civile del 01 Agosto 2021 ore 18:45
Toscana,702,252.675,7.568,205,167,2%,149,4,880%,18,049,590%,Dati della Protezione Civile del 01 Agosto 2021 ore 18:45
Umbria,77,58.429,1.704,196,20,1%,18,2,590%,2,023,000%,Dati della Protezione Civile del 01 Agosto 2021 ore 18:45
Valle d'Aosta,4,11.769,58,46,2,3%,2,2,000%,0,000,000%,Dati della Protezione Civile del 01 Agosto 2021 ore 18:45
Veneto,483,437.066,12.352,253,123,1%,108,2,-270%,15,031,710%,Dati della Protezione Civile del 01 Agosto 2021 ore 18:45
Italia,5.321,4.355.348,91.350,153,2.184,2%,1.954,3,560%,230,039,750%,Dati della Protezione Civile del 01 Agosto 2021 ore 18:45
