Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,70,79.661,2.164,167,89,4%,83,6,000%,6,046,5000%,Dati della Protezione Civile del 07 Settembre 2021 ore 17:47
Basilicata,94,29.298,1.425,258,53,4%,50,9,640%,3,054,000%,Dati della Protezione Civile del 07 Settembre 2021 ore 17:47
Calabria,245,79.590,5.083,268,194,4%,181,10,170%,13,069,000%,Dati della Protezione Civile del 07 Settembre 2021 ore 17:47
Campania,311,448.450,8.248,144,380,5%,354,6,090%,26,046,-710%,Dati della Protezione Civile del 07 Settembre 2021 ore 17:47
Emilia-Romagna,396,415.448,15.593,349,455,3%,410,9,000%,45,101,-820%,Dati della Protezione Civile del 07 Settembre 2021 ore 17:47
Friuli Venezia Giulia,77,111.635,1.370,114,62,5%,49,4,210%,13,108,-1330%,Dati della Protezione Civile del 07 Settembre 2021 ore 17:47
Lazio,354,377.307,13.761,239,544,4%,481,8,260%,63,109,-160%,Dati della Protezione Civile del 07 Settembre 2021 ore 17:47
Liguria,107,110.680,1.857,122,81,4%,73,5,-140%,8,052,-1110%,Dati della Protezione Civile del 07 Settembre 2021 ore 17:47
Lombardia,510,873.353,11.460,114,438,4%,384,4,240%,54,054,-360%,Dati della Protezione Civile del 07 Settembre 2021 ore 17:47
Marche,110,111.551,3.413,226,79,2%,59,4,350%,20,132,-480%,Dati della Protezione Civile del 07 Settembre 2021 ore 17:47
Molise,0,14.355,244,81,13,5%,13,4,000%,0,000,000%,Dati della Protezione Civile del 07 Settembre 2021 ore 17:47
P.A. Bolzano,70,75.507,877,165,31,4%,24,5,000%,7,131,000%,Dati della Protezione Civile del 07 Settembre 2021 ore 17:47
P.A. Trento,41,47.710,435,80,18,4%,18,3,590%,0,000,000%,Dati della Protezione Civile del 07 Settembre 2021 ore 17:47
Piemonte,242,374.123,3.736,87,201,5%,178,4,-430%,23,053,950%,Dati della Protezione Civile del 07 Settembre 2021 ore 17:47
Puglia,119,265.024,4.095,104,244,6%,213,5,-660%,31,078,4090%,Dati della Protezione Civile del 07 Settembre 2021 ore 17:47
Sardegna,99,73.449,6.291,390,262,4%,232,14,-130%,30,186,710%,Dati della Protezione Civile del 07 Settembre 2021 ore 17:47
Sicilia,875,284.277,28.547,586,966,3%,850,17,-060%,116,238,-330%,Dati della Protezione Civile del 07 Settembre 2021 ore 17:47
Toscana,303,274.607,10.447,283,447,4%,394,11,-050%,53,144,-540%,Dati della Protezione Civile del 07 Settembre 2021 ore 17:47
Umbria,104,62.383,1.577,181,57,4%,51,6,200%,6,069,-1430%,Dati della Protezione Civile del 07 Settembre 2021 ore 17:47
Valle d'Aosta,10,12.044,97,78,1,1%,1,1,000%,0,000,000%,Dati della Protezione Civile del 07 Settembre 2021 ore 17:47
Veneto,583,459.050,13.067,268,255,2%,209,4,200%,46,094,-210%,Dati della Protezione Civile del 07 Settembre 2021 ore 17:47
Italia,4.720,4.579.502,133.787,224,4.870,4%,4.307,7,010%,563,094,-120%,Dati della Protezione Civile del 07 Settembre 2021 ore 17:47
