Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,821,585.748,14.925,1.165,173,1%,166,13,-180%,7,055,000%,Dati della Protezione Civile del 27 Ottobre 2022 ore 23:45
Basilicata,141,188.528,4.870,893,35,1%,34,6,300%,1,018,000%,Dati della Protezione Civile del 27 Ottobre 2022 ore 23:45
Calabria,688,579.151,9.791,526,136,1%,132,7,-360%,4,021,-2000%,Dati della Protezione Civile del 27 Ottobre 2022 ore 23:45
Campania,1.918,2.288.334,43.483,773,279,1%,268,5,-150%,11,020,000%,Dati della Protezione Civile del 27 Ottobre 2022 ore 23:45
Emilia-Romagna,2.961,1.952.413,39.557,891,1.136,3%,1.106,25,-070%,30,068,710%,Dati della Protezione Civile del 27 Ottobre 2022 ore 23:45
Friuli Venezia Giulia,947,523.476,10.122,842,208,2%,203,17,-150%,5,042,000%,Dati della Protezione Civile del 27 Ottobre 2022 ore 23:45
Lazio,2.981,2.159.971,55.576,970,650,1%,618,11,-170%,32,056,320%,Dati della Protezione Civile del 27 Ottobre 2022 ore 23:45
Liguria,817,602.629,8.863,584,250,3%,242,16,170%,8,053,-2000%,Dati della Protezione Civile del 27 Ottobre 2022 ore 23:45
Lombardia,6.173,3.767.693,75.376,755,1.131,2%,1.108,11,-410%,23,023,450%,Dati della Protezione Civile del 27 Ottobre 2022 ore 23:45
Marche,858,651.785,7.697,514,155,2%,148,10,-330%,7,047,000%,Dati della Protezione Civile del 27 Ottobre 2022 ore 23:45
Molise,94,93.574,4.716,1.602,7,0%,6,2,-2500%,1,034,000%,Dati della Protezione Civile del 27 Ottobre 2022 ore 23:45
P.A. Bolzano,358,280.986,3.949,738,89,2%,89,17,720%,0,000,-10000%,Dati della Protezione Civile del 27 Ottobre 2022 ore 23:45
P.A. Trento,301,228.932,2.885,532,85,3%,82,15,-120%,3,055,000%,Dati della Protezione Civile del 27 Ottobre 2022 ore 23:45
Piemonte,2.115,1.583.395,45.399,1.062,693,2%,680,16,-330%,13,030,1820%,Dati della Protezione Civile del 27 Ottobre 2022 ore 23:45
Puglia,1.327,1.514.895,14.235,362,169,1%,161,4,130%,8,020,-2000%,Dati della Protezione Civile del 27 Ottobre 2022 ore 23:45
Sardegna,657,466.848,7.896,497,94,1%,87,5,-220%,7,044,-1250%,Dati della Protezione Civile del 27 Ottobre 2022 ore 23:45
Sicilia,1.331,1.685.368,19.980,413,312,2%,294,6,030%,18,037,590%,Dati della Protezione Civile del 27 Ottobre 2022 ore 23:45
Toscana,2.192,1.464.371,50.182,1.359,491,1%,475,13,-120%,16,043,-1580%,Dati della Protezione Civile del 27 Ottobre 2022 ore 23:45
Umbria,679,399.695,6.394,739,236,4%,230,27,-530%,6,069,2000%,Dati della Protezione Civile del 27 Ottobre 2022 ore 23:45
Valle d'Aosta,91,47.448,1.202,969,16,1%,16,13,-1580%,0,000,000%,Dati della Protezione Civile del 27 Ottobre 2022 ore 23:45
Veneto,4.310,2.409.947,57.143,1.173,759,1%,736,15,-210%,23,047,-1150%,Dati della Protezione Civile del 27 Ottobre 2022 ore 23:45
Italia,31.760,23.475.187,484.241,817,7.104,1%,6.881,12,-200%,223,038,-180%,Dati della Protezione Civile del 27 Ottobre 2022 ore 23:45
