Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,318,40343,10499,804,481,5%,441,34,-0.2&,40,3.06,-7%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26
Basilicata,51,12735,6969,1251,88,1%,83,15,3.8&,5,0.9,-16.7%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26
Calabria,368,30459,10106,525,302,3%,278,14,-6.4&,24,1.25,-7.7%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26
Campania,1106,211803,62133,1074,1542,2%,1438,25,-0.1&,104,1.8,4%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26
Emilia-Romagna,1347,207925,51211,1146,2622,5%,2402,54,-2.2&,220,4.92,0.9%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26
Friuli Venezia Giulia,452,63154,12090,998,730,6%,669,55,-1.6&,61,5.04,3.4%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26
Lazio,1141,195340,71446,1218,2962,4%,2673,46,0.8&,289,4.93,3.2%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26
Liguria,313,67102,4518,293,676,15%,615,40,-3.1&,61,3.95,-1.6%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26
Lombardia,1969,522364,53215,527,3987,7%,3579,35,-1.8&,408,4.04,-0.7%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26
Marche,437,51981,8271,545,634,8%,555,37,0&,79,5.2,-4.8%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26
Molise,57,7749,1051,348,61,6%,53,18,-5.4&,8,2.65,0%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26
P.A. Bolzano,510,35637,13041,2451,251,2%,227,43,0.4&,24,4.51,-14.3%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26
P.A. Trento,179,25893,2045,377,260,13%,219,40,-7.2&,41,7.55,-4.7%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26
Piemonte,849,216127,13356,308,2494,19%,2342,54,-3.2&,152,3.5,-4.4%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26
Puglia,1018,114133,54547,1361,1480,3%,1327,33,-1.4&,153,3.82,1.3%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26
Sardegna,212,36685,17003,1043,501,3%,449,28,-3.6&,52,3.19,2%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26
Sicilia,1355,127719,47289,952,1663,4%,1441,29,0.3&,222,4.47,0.5%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26
Toscana,429,129813,8202,220,752,9%,642,17,-2.6&,110,2.95,-5.2%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26
Umbria,305,33490,4880,554,327,7%,283,32,-1&,44,5,-4.3%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26
Valle d'Aosta,19,7715,331,264,42,13%,40,32,-4.8&,2,1.59,0%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26
Veneto,1198,303687,49850,1016,2226,4%,1935,39,-2.8&,291,5.93,-4.6%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26
Italia,13633,2441854,502053,833,24081,5%,21691,36,-1.6&,2390,3.97,-1.2%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26
