Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,27,74.523,1.359,105,64,5%,61,5,-620%,3,023,-2500%,Dati della Protezione Civile del 16 Giugno 2021 ore 17:49
Basilicata,16,26.733,2.841,514,37,1%,37,7,-260%,0,000,000%,Dati della Protezione Civile del 16 Giugno 2021 ore 17:49
Calabria,66,68.348,7.417,392,150,2%,140,7,-540%,10,053,000%,Dati della Protezione Civile del 16 Giugno 2021 ore 17:49
Campania,167,422.922,11.434,200,360,3%,337,6,-790%,23,040,000%,Dati della Protezione Civile del 16 Giugno 2021 ore 17:49
Emilia-Romagna,73,385.941,6.671,149,320,5%,269,6,-360%,51,114,-890%,Dati della Protezione Civile del 16 Giugno 2021 ore 17:49
Friuli Venezia Giulia,23,107.408,4.540,376,10,0%,8,1,-2000%,2,017,-3330%,Dati della Protezione Civile del 16 Giugno 2021 ore 17:49
Lazio,143,344.779,5.244,91,477,9%,392,7,-880%,85,148,-560%,Dati della Protezione Civile del 16 Giugno 2021 ore 17:49
Liguria,21,103.085,317,21,48,15%,37,2,-2750%,11,072,-830%,Dati della Protezione Civile del 16 Giugno 2021 ore 17:49
Lombardia,256,840.015,17.244,172,626,4%,534,5,-950%,92,092,-800%,Dati della Protezione Civile del 16 Giugno 2021 ore 17:49
Marche,29,103.459,2.650,175,49,2%,41,3,-1960%,8,053,-1110%,Dati della Protezione Civile del 16 Giugno 2021 ore 17:49
Molise,1,13.647,78,26,9,12%,9,3,1250%,0,000,000%,Dati della Protezione Civile del 16 Giugno 2021 ore 17:49
P.A. Bolzano,8,73.210,358,67,11,3%,9,2,000%,2,038,000%,Dati della Protezione Civile del 16 Giugno 2021 ore 17:49
P.A. Trento,4,45.700,193,35,13,7%,10,2,000%,3,055,000%,Dati della Protezione Civile del 16 Giugno 2021 ore 17:49
Piemonte,59,362.367,2.199,51,311,14%,272,6,-650%,39,090,-1700%,Dati della Protezione Civile del 16 Giugno 2021 ore 17:49
Puglia,112,252.561,11.029,279,252,2%,231,6,-650%,21,053,-450%,Dati della Protezione Civile del 16 Giugno 2021 ore 17:49
Sardegna,24,57.085,11.764,730,76,1%,70,4,-410%,6,037,000%,Dati della Protezione Civile del 16 Giugno 2021 ore 17:49
Sicilia,168,229.871,6.003,123,328,5%,292,6,-550%,36,074,590%,Dati della Protezione Civile del 16 Giugno 2021 ore 17:49
Toscana,106,243.620,3.861,105,223,6%,173,5,-700%,50,135,-740%,Dati della Protezione Civile del 16 Giugno 2021 ore 17:49
Umbria,12,56.704,963,111,37,4%,32,4,-2200%,5,057,000%,Dati della Protezione Civile del 16 Giugno 2021 ore 17:49
Valle d'Aosta,1,11.662,81,65,2,2%,2,2,-5000%,0,000,000%,Dati della Protezione Civile del 16 Giugno 2021 ore 17:49
Veneto,84,424.792,5.609,115,132,2%,108,2,-1500%,24,049,000%,Dati della Protezione Civile del 16 Giugno 2021 ore 17:49
Italia,1.400,4.248.432,101.855,171,3.535,3%,3.064,5,-810%,471,079,-650%,Dati della Protezione Civile del 16 Giugno 2021 ore 17:49
