Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,125,1382,1,181,0,Dati della Protezione Civile del 15 Giugno 2022 ore 23:45
Basilicata,36,358,1,79,14,Dati della Protezione Civile del 15 Giugno 2022 ore 23:45
Calabria,135,978,2,183,0,Dati della Protezione Civile del 15 Giugno 2022 ore 23:45
Campania,299,3941,15,575,0,Dati della Protezione Civile del 15 Giugno 2022 ore 23:45
Emilia-Romagna,672,9001,25,889,0,Dati della Protezione Civile del 15 Giugno 2022 ore 23:45
Friuli Venezia Giulia,93,1277,3,175,0,Dati della Protezione Civile del 15 Giugno 2022 ore 23:45
Lazio,480,6421,32,943,243,Dati della Protezione Civile del 15 Giugno 2022 ore 23:45
Liguria,142,1635,5,218,12,Dati della Protezione Civile del 15 Giugno 2022 ore 23:45
Lombardia,493,10457,19,1810,0,Dati della Protezione Civile del 15 Giugno 2022 ore 23:45
Marche,64,983,4,230,49,Dati della Protezione Civile del 15 Giugno 2022 ore 23:45
Molise,10,176,2,39,26,Dati della Protezione Civile del 15 Giugno 2022 ore 23:45
P.A. Bolzano,47,500,1,100,20,Dati della Protezione Civile del 15 Giugno 2022 ore 23:45
P.A. Trento,24,517,1,90,0,Dati della Protezione Civile del 15 Giugno 2022 ore 23:45
Piemonte,214,6794,9,628,99,Dati della Protezione Civile del 15 Giugno 2022 ore 23:45
Puglia,216,2903,10,503,0,Dati della Protezione Civile del 15 Giugno 2022 ore 23:45
Sardegna,95,1602,7,204,16,Dati della Protezione Civile del 15 Giugno 2022 ore 23:45
Sicilia,560,3598,26,795,0,Dati della Protezione Civile del 15 Giugno 2022 ore 23:45
Toscana,214,5033,14,570,13,Dati della Protezione Civile del 15 Giugno 2022 ore 23:45
Umbria,95,662,0,86,41,Dati della Protezione Civile del 15 Giugno 2022 ore 23:45
Valle d'Aosta,13,85,1,13,21,Dati della Protezione Civile del 15 Giugno 2022 ore 23:45
Veneto,191,6000,11,1000,0,Dati della Protezione Civile del 15 Giugno 2022 ore 23:45
Italia,4218,64303,189,9311,554,Dati della Protezione Civile del 15 Giugno 2022 ore 23:45
