Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,320,1382,9,181,14,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Basilicata,98,375,4,79,13,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Calabria,300,1037,17,198,0,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Campania,688,4060,38,581,0,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Emilia-Romagna,1336,9001,36,889,0,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Friuli Venezia Giulia,155,1277,4,175,0,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Lazio,1166,6421,63,943,243,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Liguria,300,1646,10,215,12,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Lombardia,1116,10457,36,1810,0,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Marche,190,1013,7,256,57,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Molise,25,176,2,39,26,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
P.A. Bolzano,32,500,2,100,20,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
P.A. Trento,60,517,2,90,0,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Piemonte,732,6794,23,628,99,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Puglia,601,2903,37,503,0,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Sardegna,323,1602,21,204,16,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Sicilia,898,3732,49,823,0,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Toscana,706,5033,29,570,10,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Umbria,241,662,3,86,41,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Valle d'Aosta,21,163,1,34,0,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Veneto,632,6000,18,1000,0,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
Italia,9940,64751,411,9404,551,Dati della Protezione Civile del 18 Aprile 2022 ore 23:45
