Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,603,549.556,27.651,2.159,108,0%,105,8,-450%,3,023,000%,Dati della Protezione Civile del 17 Settembre 2022 ore 23:45
Basilicata,153,181.792,6.100,1.119,22,0%,22,4,-1200%,0,000,000%,Dati della Protezione Civile del 17 Settembre 2022 ore 23:45
Calabria,473,549.698,39.374,2.116,136,0%,129,7,-230%,7,038,1670%,Dati della Protezione Civile del 17 Settembre 2022 ore 23:45
Campania,1.430,2.208.777,38.840,691,242,1%,228,4,-690%,14,025,-670%,Dati della Protezione Civile del 17 Settembre 2022 ore 23:45
Emilia-Romagna,1.263,1.842.757,15.772,355,633,4%,612,14,-220%,21,047,000%,Dati della Protezione Civile del 17 Settembre 2022 ore 23:45
Friuli Venezia Giulia,544,483.302,4.902,408,111,2%,109,9,-600%,2,017,000%,Dati della Protezione Civile del 17 Settembre 2022 ore 23:45
Lazio,1.528,2.043.354,40.504,707,403,1%,378,7,-030%,25,044,420%,Dati della Protezione Civile del 17 Settembre 2022 ore 23:45
Liguria,447,567.981,4.673,308,120,3%,117,8,-1140%,3,020,000%,Dati della Protezione Civile del 17 Settembre 2022 ore 23:45
Lombardia,2.868,3.517.114,34.117,342,494,1%,482,5,-120%,12,012,3330%,Dati della Protezione Civile del 17 Settembre 2022 ore 23:45
Marche,517,613.172,3.512,234,55,2%,52,3,-370%,3,020,5000%,Dati della Protezione Civile del 17 Settembre 2022 ore 23:45
Molise,79,89.003,3.694,1.255,10,0%,10,3,000%,0,000,000%,Dati della Protezione Civile del 17 Settembre 2022 ore 23:45
P.A. Bolzano,295,258.809,2.137,400,29,1%,26,5,-2780%,3,056,000%,Dati della Protezione Civile del 17 Settembre 2022 ore 23:45
P.A. Trento,321,208.163,2.079,383,46,2%,44,8,-220%,2,037,000%,Dati della Protezione Civile del 17 Settembre 2022 ore 23:45
Piemonte,1.453,1.449.860,31.566,738,230,1%,223,5,-300%,7,016,000%,Dati della Protezione Civile del 17 Settembre 2022 ore 23:45
Puglia,684,1.466.825,10.468,266,126,1%,116,3,-790%,10,025,2500%,Dati della Protezione Civile del 17 Settembre 2022 ore 23:45
Sardegna,234,444.762,4.798,302,79,2%,72,5,-400%,7,044,000%,Dati della Protezione Civile del 17 Settembre 2022 ore 23:45
Sicilia,809,1.636.873,38.049,787,220,1%,204,4,-330%,16,033,-590%,Dati della Protezione Civile del 17 Settembre 2022 ore 23:45
Toscana,819,1.389.951,79.936,2.165,178,0%,170,5,-120%,8,022,3330%,Dati della Protezione Civile del 17 Settembre 2022 ore 23:45
Umbria,357,370.747,3.018,349,115,4%,114,13,-950%,1,012,000%,Dati della Protezione Civile del 17 Settembre 2022 ore 23:45
Valle d'Aosta,27,44.126,617,497,12,2%,12,10,2000%,0,000,000%,Dati della Protezione Civile del 17 Settembre 2022 ore 23:45
Veneto,2.250,2.232.313,35.144,722,255,1%,249,5,-120%,6,012,-1430%,Dati della Protezione Civile del 17 Settembre 2022 ore 23:45
Italia,17.154,22.148.935,426.951,721,3.624,1%,3.474,6,-350%,150,025,560%,Dati della Protezione Civile del 17 Settembre 2022 ore 23:45
