Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,2.713,337.992,44.918,3.506,326,1%,315,25,-030%,11,086,1000%,Dati della Protezione Civile del 12 Aprile 2022 ore 23:29
Basilicata,865,115.294,26.567,4.874,95,0%,93,17,-700%,2,037,10000%,Dati della Protezione Civile del 12 Aprile 2022 ore 23:29
Calabria,2.869,323.743,83.063,4.464,360,0%,343,18,-200%,17,091,000%,Dati della Protezione Civile del 12 Aprile 2022 ore 23:29
Campania,9.248,1.482.619,160.062,2.846,745,0%,710,13,-060%,35,062,610%,Dati della Protezione Civile del 12 Aprile 2022 ore 23:29
Emilia-Romagna,3.330,1.332.550,56.778,1.279,1.336,2%,1.297,29,-080%,39,088,830%,Dati della Protezione Civile del 12 Aprile 2022 ore 23:29
Friuli Venezia Giulia,1.474,346.554,24.926,2.075,151,1%,148,12,-130%,3,025,20000%,Dati della Protezione Civile del 12 Aprile 2022 ore 23:29
Lazio,9.056,1.373.519,141.332,2.466,1.255,1%,1.184,21,-130%,71,124,440%,Dati della Protezione Civile del 12 Aprile 2022 ore 23:29
Liguria,2.249,401.981,17.346,1.142,294,2%,284,19,520%,10,066,-910%,Dati della Protezione Civile del 12 Aprile 2022 ore 23:29
Lombardia,11.669,2.632.174,162.268,1.626,1.148,1%,1.105,11,010%,43,043,240%,Dati della Protezione Civile del 12 Aprile 2022 ore 23:29
Marche,2.656,413.971,10.177,679,209,2%,200,13,-050%,9,060,-1000%,Dati della Protezione Civile del 12 Aprile 2022 ore 23:29
Molise,324,53.128,8.121,2.759,33,0%,30,10,000%,3,102,000%,Dati della Protezione Civile del 12 Aprile 2022 ore 23:29
P.A. Bolzano,826,203.853,5.342,999,52,1%,50,9,640%,2,037,-3330%,Dati della Protezione Civile del 12 Aprile 2022 ore 23:29
P.A. Trento,520,154.270,4.098,756,63,2%,59,11,000%,4,074,3330%,Dati della Protezione Civile del 12 Aprile 2022 ore 23:29
Piemonte,4.064,1.085.953,56.786,1.328,718,1%,696,16,120%,22,051,1000%,Dati della Protezione Civile del 12 Aprile 2022 ore 23:29
Puglia,7.780,983.378,105.260,2.676,677,1%,640,16,-140%,37,094,-510%,Dati della Protezione Civile del 12 Aprile 2022 ore 23:29
Sardegna,2.692,249.942,30.559,1.922,367,1%,342,22,000%,25,157,-380%,Dati della Protezione Civile del 12 Aprile 2022 ore 23:29
Sicilia,5.692,1.032.721,148.307,3.068,1.027,1%,967,20,-440%,60,124,-770%,Dati della Protezione Civile del 12 Aprile 2022 ore 23:29
Toscana,5.478,1.033.846,50.168,1.359,845,2%,807,22,100%,38,103,-730%,Dati della Protezione Civile del 12 Aprile 2022 ore 23:29
Umbria,1.256,248.698,13.872,1.603,278,2%,270,31,-290%,8,092,1430%,Dati della Protezione Civile del 12 Aprile 2022 ore 23:29
Valle d'Aosta,159,33.505,1.247,1.005,19,2%,18,15,590%,1,081,-5000%,Dati della Protezione Civile del 12 Aprile 2022 ore 23:29
Veneto,8.723,1.565.118,77.548,1.592,672,1%,649,13,400%,23,047,-1790%,Dati della Protezione Civile del 12 Aprile 2022 ore 23:29
Italia,83.643,15.404.809,1.228.745,2.074,10.670,1%,10.207,17,-050%,463,078,-060%,Dati della Protezione Civile del 12 Aprile 2022 ore 23:29
