Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,273,1382,13,181,14,Dati della Protezione Civile del 21 Marzo 2022 ore 18:56
Basilicata,105,377,3,79,14,Dati della Protezione Civile del 21 Marzo 2022 ore 18:56
Calabria,372,1108,12,202,0,Dati della Protezione Civile del 21 Marzo 2022 ore 18:56
Campania,599,4149,34,610,0,Dati della Protezione Civile del 21 Marzo 2022 ore 18:56
Emilia-Romagna,914,9001,52,889,0,Dati della Protezione Civile del 21 Marzo 2022 ore 18:56
Friuli Venezia Giulia,136,1277,4,175,0,Dati della Protezione Civile del 21 Marzo 2022 ore 18:56
Lazio,1069,6421,76,943,243,Dati della Protezione Civile del 21 Marzo 2022 ore 18:56
Liguria,235,1641,8,219,12,Dati della Protezione Civile del 21 Marzo 2022 ore 18:56
Lombardia,904,10457,52,1810,0,Dati della Protezione Civile del 21 Marzo 2022 ore 18:56
Marche,213,1020,5,256,49,Dati della Protezione Civile del 21 Marzo 2022 ore 18:56
Molise,26,176,0,39,26,Dati della Protezione Civile del 21 Marzo 2022 ore 18:56
P.A. Bolzano,60,500,6,100,20,Dati della Protezione Civile del 21 Marzo 2022 ore 18:56
P.A. Trento,40,517,1,90,0,Dati della Protezione Civile del 21 Marzo 2022 ore 18:56
Piemonte,573,6794,23,628,99,Dati della Protezione Civile del 21 Marzo 2022 ore 18:56
Puglia,575,2923,26,503,0,Dati della Protezione Civile del 21 Marzo 2022 ore 18:56
Sardegna,332,1602,22,204,16,Dati della Protezione Civile del 21 Marzo 2022 ore 18:56
Sicilia,922,3785,59,853,0,Dati della Protezione Civile del 21 Marzo 2022 ore 18:56
Toscana,736,5033,33,570,10,Dati della Protezione Civile del 21 Marzo 2022 ore 18:56
Umbria,196,662,6,86,41,Dati della Protezione Civile del 21 Marzo 2022 ore 18:56
Valle d'Aosta,19,163,0,34,0,Dati della Protezione Civile del 21 Marzo 2022 ore 18:56
Veneto,429,6000,28,1000,0,Dati della Protezione Civile del 21 Marzo 2022 ore 18:56
Italia,8728,64988,463,9471,544,Dati della Protezione Civile del 21 Marzo 2022 ore 18:56
