Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,1.000,530.452,24.887,1.943,180,1%,174,14,060%,6,047,000%,Dati della Protezione Civile del 20 Agosto 2022 ore 18:09
Basilicata,352,175.894,8.447,1.550,38,0%,36,7,000%,2,037,10000%,Dati della Protezione Civile del 20 Agosto 2022 ore 18:09
Calabria,1.548,523.984,68.271,3.669,183,0%,173,9,-170%,10,054,000%,Dati della Protezione Civile del 20 Agosto 2022 ore 18:09
Campania,2.129,2.161.826,118.817,2.113,396,0%,381,7,-500%,15,027,-630%,Dati della Protezione Civile del 20 Agosto 2022 ore 18:09
Emilia-Romagna,1.744,1.804.062,28.984,653,1.175,4%,1.145,26,-230%,30,068,-630%,Dati della Protezione Civile del 20 Agosto 2022 ore 18:09
Friuli Venezia Giulia,766,469.530,8.945,744,195,2%,190,16,-500%,5,042,000%,Dati della Protezione Civile del 20 Agosto 2022 ore 18:09
Lazio,1.757,2.000.637,132.660,2.315,752,1%,711,12,-170%,41,072,-470%,Dati della Protezione Civile del 20 Agosto 2022 ore 18:09
Liguria,749,553.774,8.811,580,321,4%,312,21,-770%,9,059,1250%,Dati della Protezione Civile del 20 Agosto 2022 ore 18:09
Lombardia,2.799,3.441.405,46.324,464,820,2%,799,8,-540%,21,021,000%,Dati della Protezione Civile del 20 Agosto 2022 ore 18:09
Marche,873,596.483,9.104,608,119,1%,115,8,-940%,4,027,-2000%,Dati della Protezione Civile del 20 Agosto 2022 ore 18:09
Molise,175,85.666,4.529,1.539,22,0%,20,7,000%,2,068,000%,Dati della Protezione Civile del 20 Agosto 2022 ore 18:09
P.A. Bolzano,261,252.954,2.363,442,34,1%,32,6,-2890%,2,037,000%,Dati della Protezione Civile del 20 Agosto 2022 ore 18:09
P.A. Trento,322,200.906,3.244,598,73,2%,72,13,000%,1,018,000%,Dati della Protezione Civile del 20 Agosto 2022 ore 18:09
Piemonte,1.254,1.415.531,32.548,761,333,1%,327,8,-660%,6,014,-1430%,Dati della Protezione Civile del 20 Agosto 2022 ore 18:09
Puglia,1.526,1.439.393,32.811,834,330,1%,313,8,-220%,17,043,000%,Dati della Protezione Civile del 20 Agosto 2022 ore 18:09
Sardegna,669,433.426,14.797,931,140,1%,129,8,-230%,11,069,000%,Dati della Protezione Civile del 20 Agosto 2022 ore 18:09
Sicilia,1.930,1.603.782,95.560,1.977,604,1%,573,12,-190%,31,064,-310%,Dati della Protezione Civile del 20 Agosto 2022 ore 18:09
Toscana,1.063,1.366.204,83.187,2.253,373,0%,357,10,-220%,16,043,000%,Dati della Protezione Civile del 20 Agosto 2022 ore 18:09
Umbria,399,361.874,4.955,573,163,3%,161,19,000%,2,023,000%,Dati della Protezione Civile del 20 Agosto 2022 ore 18:09
Valle d'Aosta,43,43.165,835,673,9,1%,9,7,000%,0,000,000%,Dati della Protezione Civile del 20 Agosto 2022 ore 18:09
Veneto,3.035,2.170.050,52.549,1.079,524,1%,499,10,-640%,25,051,000%,Dati della Protezione Civile del 20 Agosto 2022 ore 18:09
Italia,24.394,21.630.998,782.628,1.321,6.784,1%,6.528,11,-370%,256,043,-150%,Dati della Protezione Civile del 20 Agosto 2022 ore 18:09
