Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,744,335.286,43.626,3.406,326,1%,316,25,230%,10,078,000%,Dati della Protezione Civile del 11 Aprile 2022 ore 20:10
Basilicata,350,114.429,26.765,4.910,101,0%,100,18,310%,1,018,000%,Dati della Protezione Civile del 11 Aprile 2022 ore 20:10
Calabria,1.431,320.874,82.072,4.411,367,0%,350,19,200%,17,091,-1500%,Dati della Protezione Civile del 11 Aprile 2022 ore 20:10
Campania,2.862,1.473.371,160.162,2.848,747,0%,714,13,060%,33,059,-570%,Dati della Protezione Civile del 11 Aprile 2022 ore 20:10
Emilia-Romagna,2.909,1.329.222,57.085,1.286,1.343,2%,1.307,29,290%,36,081,290%,Dati della Protezione Civile del 11 Aprile 2022 ore 20:10
Friuli Venezia Giulia,210,345.081,24.577,2.046,151,1%,150,12,710%,1,008,000%,Dati della Protezione Civile del 11 Aprile 2022 ore 20:10
Lazio,3.780,1.364.463,139.022,2.426,1.267,1%,1.199,21,470%,68,119,000%,Dati della Protezione Civile del 11 Aprile 2022 ore 20:10
Liguria,569,399.732,17.273,1.138,281,2%,270,18,110%,11,072,2220%,Dati della Protezione Civile del 11 Aprile 2022 ore 20:10
Lombardia,2.560,2.620.505,165.472,1.658,1.146,1%,1.104,11,230%,42,042,-230%,Dati della Protezione Civile del 11 Aprile 2022 ore 20:10
Marche,714,411.315,10.596,707,211,2%,201,13,-340%,10,067,000%,Dati della Protezione Civile del 11 Aprile 2022 ore 20:10
Molise,181,52.804,8.375,2.846,33,0%,30,10,340%,3,102,000%,Dati della Protezione Civile del 11 Aprile 2022 ore 20:10
P.A. Bolzano,145,203.027,4.775,893,50,1%,47,9,1190%,3,056,000%,Dati della Protezione Civile del 11 Aprile 2022 ore 20:10
P.A. Trento,145,153.750,4.144,764,62,1%,59,11,-170%,3,055,000%,Dati della Protezione Civile del 11 Aprile 2022 ore 20:10
Piemonte,2.832,1.081.889,56.115,1.313,708,1%,688,16,240%,20,047,000%,Dati della Protezione Civile del 11 Aprile 2022 ore 20:10
Puglia,1.859,975.598,107.848,2.742,688,1%,649,16,-120%,39,099,-250%,Dati della Protezione Civile del 11 Aprile 2022 ore 20:10
Sardegna,1.164,247.250,30.718,1.932,368,1%,342,22,300%,26,164,000%,Dati della Protezione Civile del 11 Aprile 2022 ore 20:10
Sicilia,1.818,1.026.606,147.980,3.061,1.077,1%,1.012,21,250%,65,134,480%,Dati della Protezione Civile del 11 Aprile 2022 ore 20:10
Toscana,1.606,1.028.368,51.959,1.407,840,2%,799,22,180%,41,111,000%,Dati della Protezione Civile del 11 Aprile 2022 ore 20:10
Umbria,621,247.442,14.528,1.679,285,2%,278,32,000%,7,081,1670%,Dati della Protezione Civile del 11 Aprile 2022 ore 20:10
Valle d'Aosta,21,33.346,1.201,968,19,2%,17,14,2140%,2,161,10000%,Dati della Protezione Civile del 11 Aprile 2022 ore 20:10
Veneto,1.847,1.556.395,78.469,1.611,652,1%,624,13,160%,28,057,000%,Dati della Protezione Civile del 11 Aprile 2022 ore 20:10
Italia,28.368,15.320.753,1.232.762,2.081,10.722,1%,10.256,17,220%,466,079,020%,Dati della Protezione Civile del 11 Aprile 2022 ore 20:10
