Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,1.568,193.172,92.661,7.233,456,0%,419,33,170%,37,289,280%,Dati della Protezione Civile del 24 Gennaio 2022 ore 19:21
Basilicata,548,56.779,17.153,3.147,94,1%,88,16,110%,6,110,2000%,Dati della Protezione Civile del 24 Gennaio 2022 ore 19:21
Calabria,776,160.262,41.323,2.221,468,1%,435,23,-090%,33,177,000%,Dati della Protezione Civile del 24 Gennaio 2022 ore 19:21
Campania,5.930,952.719,242.281,4.308,1.491,1%,1.391,25,050%,100,178,100%,Dati della Protezione Civile del 24 Gennaio 2022 ore 19:21
Emilia-Romagna,14.719,948.126,376.703,8.486,2.773,1%,2.625,59,330%,148,333,-260%,Dati della Protezione Civile del 24 Gennaio 2022 ore 19:21
Friuli Venezia Giulia,2.119,241.016,62.141,5.172,503,1%,464,39,310%,39,325,260%,Dati della Protezione Civile del 24 Gennaio 2022 ore 19:21
Lazio,7.622,793.727,271.699,4.741,2.249,1%,2.047,36,140%,202,353,-240%,Dati della Protezione Civile del 24 Gennaio 2022 ore 19:21
Liguria,2.221,264.328,40.427,2.662,774,2%,735,48,-190%,39,257,-250%,Dati della Protezione Civile del 24 Gennaio 2022 ore 19:21
Lombardia,8.844,1.987.944,451.170,4.520,3.681,1%,3.416,34,060%,265,265,-070%,Dati della Protezione Civile del 24 Gennaio 2022 ore 19:21
Marche,2.268,224.393,20.562,1.372,350,2%,296,20,280%,54,360,190%,Dati della Protezione Civile del 24 Gennaio 2022 ore 19:21
Molise,210,27.264,9.448,3.210,21,0%,19,6,560%,2,068,000%,Dati della Protezione Civile del 24 Gennaio 2022 ore 19:21
P.A. Bolzano,1.225,147.428,26.422,4.940,125,0%,108,20,190%,17,318,-560%,Dati della Protezione Civile del 24 Gennaio 2022 ore 19:21
P.A. Trento,1.094,111.193,26.401,4.870,169,1%,145,27,430%,24,443,430%,Dati della Protezione Civile del 24 Gennaio 2022 ore 19:21
Piemonte,7.526,796.880,173.294,4.054,2.293,1%,2.140,50,090%,153,358,-130%,Dati della Protezione Civile del 24 Gennaio 2022 ore 19:21
Puglia,3.471,548.925,126.262,3.210,784,1%,717,18,330%,67,170,-150%,Dati della Protezione Civile del 24 Gennaio 2022 ore 19:21
Sardegna,1.224,117.095,23.096,1.453,321,1%,291,18,140%,30,189,000%,Dati della Protezione Civile del 24 Gennaio 2022 ore 19:21
Sicilia,3.629,575.344,214.783,4.443,1.625,1%,1.461,30,250%,164,339,000%,Dati della Protezione Civile del 24 Gennaio 2022 ore 19:21
Toscana,5.603,669.850,179.800,4.869,1.478,1%,1.353,37,150%,125,338,330%,Dati della Protezione Civile del 24 Gennaio 2022 ore 19:21
Umbria,787,142.714,24.899,2.877,199,1%,191,22,-050%,8,092,000%,Dati della Protezione Civile del 24 Gennaio 2022 ore 19:21
Valle d'Aosta,124,27.035,5.838,4.705,88,2%,81,65,660%,7,564,000%,Dati della Protezione Civile del 24 Gennaio 2022 ore 19:21
Veneto,6.188,1.015.150,283.494,5.821,1.605,1%,1.440,30,-200%,165,339,380%,Dati della Protezione Civile del 24 Gennaio 2022 ore 19:21
Italia,77.696,10.001.344,2.709.857,4.575,21.547,1%,19.862,34,120%,1.685,284,000%,Dati della Protezione Civile del 24 Gennaio 2022 ore 19:21
