Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,2.208,285.710,35.043,2.736,274,1%,263,21,-400%,11,086,-830%,Dati della Protezione Civile del 17 Marzo 2022 ore 18:22
Basilicata,1.011,93.660,19.593,3.594,92,0%,89,16,-330%,3,055,5000%,Dati della Protezione Civile del 17 Marzo 2022 ore 18:22
Calabria,4.008,256.102,58.748,3.157,361,1%,347,19,330%,14,075,-1250%,Dati della Protezione Civile del 17 Marzo 2022 ore 18:22
Campania,8.370,1.289.081,134.097,2.384,604,0%,563,10,-190%,41,073,790%,Dati della Protezione Civile del 17 Marzo 2022 ore 18:22
Emilia-Romagna,3.738,1.227.339,33.991,766,1.044,3%,991,22,-240%,53,119,000%,Dati della Protezione Civile del 17 Marzo 2022 ore 18:22
Friuli Venezia Giulia,1.241,320.027,19.390,1.614,141,1%,133,11,230%,8,067,-1110%,Dati della Protezione Civile del 17 Marzo 2022 ore 18:22
Lazio,9.504,1.169.669,99.641,1.739,1.110,1%,1.036,18,060%,74,129,720%,Dati della Protezione Civile del 17 Marzo 2022 ore 18:22
Liguria,1.800,364.955,13.870,913,237,2%,227,15,-420%,10,066,-910%,Dati della Protezione Civile del 17 Marzo 2022 ore 18:22
Lombardia,8.670,2.424.013,127.737,1.280,902,1%,844,8,430%,58,058,-1830%,Dati della Protezione Civile del 17 Marzo 2022 ore 18:22
Marche,2.889,357.149,14.507,968,175,1%,167,11,440%,8,053,000%,Dati della Protezione Civile del 17 Marzo 2022 ore 18:22
Molise,292,43.746,6.868,2.334,20,0%,19,6,-500%,1,034,-5000%,Dati della Protezione Civile del 17 Marzo 2022 ore 18:22
P.A. Bolzano,648,197.678,5.723,1.070,53,1%,48,9,-1110%,5,093,6670%,Dati della Protezione Civile del 17 Marzo 2022 ore 18:22
P.A. Trento,393,144.068,3.325,613,38,1%,37,7,000%,1,018,-5000%,Dati della Protezione Civile del 17 Marzo 2022 ore 18:22
Piemonte,2.967,1.012.452,46.540,1.089,598,1%,577,13,-290%,21,049,500%,Dati della Protezione Civile del 17 Marzo 2022 ore 18:22
Puglia,8.559,814.428,92.101,2.341,577,1%,550,14,150%,27,069,2270%,Dati della Protezione Civile del 17 Marzo 2022 ore 18:22
Sardegna,2.411,203.145,26.896,1.692,356,1%,337,21,090%,19,119,000%,Dati della Protezione Civile del 17 Marzo 2022 ore 18:22
Sicilia,6.230,883.689,231.815,4.796,939,0%,874,18,-070%,65,134,480%,Dati della Protezione Civile del 17 Marzo 2022 ore 18:22
Toscana,5.529,915.716,37.245,1.009,680,2%,653,18,-220%,27,073,-1290%,Dati della Protezione Civile del 17 Marzo 2022 ore 18:22
Umbria,2.522,209.309,19.315,2.232,186,1%,183,21,960%,3,035,-2500%,Dati della Protezione Civile del 17 Marzo 2022 ore 18:22
Valle d'Aosta,76,31.801,1.105,890,16,1%,16,13,1430%,0,000,000%,Dati della Protezione Civile del 17 Marzo 2022 ore 18:22
Veneto,6.829,1.402.097,60.667,1.246,467,1%,443,9,000%,24,049,430%,Dati della Protezione Civile del 17 Marzo 2022 ore 18:22
Italia,79.895,13.645.834,1.088.217,1.837,8.870,1%,8.397,14,-020%,473,080,-080%,Dati della Protezione Civile del 17 Marzo 2022 ore 18:22
