Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,261,550.278,27.705,2.163,107,0%,104,8,-280%,3,023,000%,Dati della Protezione Civile del 19 Settembre 2022 ore 17:15
Basilicata,74,181.969,5.969,1.095,20,0%,20,4,-480%,0,000,000%,Dati della Protezione Civile del 19 Settembre 2022 ore 17:15
Calabria,285,550.408,39.369,2.116,121,0%,116,6,450%,5,027,-1670%,Dati della Protezione Civile del 19 Settembre 2022 ore 17:15
Campania,609,2.210.772,38.999,693,247,1%,233,4,090%,14,025,000%,Dati della Protezione Civile del 19 Settembre 2022 ore 17:15
Emilia-Romagna,731,1.844.561,15.170,342,662,4%,639,14,420%,23,052,000%,Dati della Protezione Civile del 19 Settembre 2022 ore 17:15
Friuli Venezia Giulia,153,483.758,4.776,397,110,2%,107,9,390%,3,025,000%,Dati della Protezione Civile del 19 Settembre 2022 ore 17:15
Lazio,815,2.045.661,40.501,707,371,1%,346,6,-600%,25,044,000%,Dati della Protezione Civile del 19 Settembre 2022 ore 17:15
Liguria,154,568.456,4.753,313,136,3%,133,9,1180%,3,020,000%,Dati della Protezione Civile del 19 Settembre 2022 ore 17:15
Lombardia,2.243,3.519.641,34.670,347,487,1%,477,5,280%,10,010,-1670%,Dati della Protezione Civile del 19 Settembre 2022 ore 17:15
Marche,181,613.761,3.413,228,59,2%,57,4,2130%,2,013,-3330%,Dati della Protezione Civile del 19 Settembre 2022 ore 17:15
Molise,41,89.120,3.811,1.295,9,0%,9,3,000%,0,000,000%,Dati della Protezione Civile del 19 Settembre 2022 ore 17:15
P.A. Bolzano,108,259.080,1.989,372,46,2%,43,8,1940%,3,056,000%,Dati della Protezione Civile del 19 Settembre 2022 ore 17:15
P.A. Trento,71,208.497,2.048,378,43,2%,41,8,-470%,2,037,000%,Dati della Protezione Civile del 19 Settembre 2022 ore 17:15
Piemonte,528,1.451.449,31.481,736,250,1%,243,6,300%,7,016,-1250%,Dati della Protezione Civile del 19 Settembre 2022 ore 17:15
Puglia,259,1.467.669,10.397,264,129,1%,119,3,080%,10,025,000%,Dati della Protezione Civile del 19 Settembre 2022 ore 17:15
Sardegna,222,445.184,4.424,278,81,2%,74,5,1040%,7,044,000%,Dati della Protezione Civile del 19 Settembre 2022 ore 17:15
Sicilia,472,1.638.078,39.253,812,227,1%,212,4,240%,15,031,-1180%,Dati della Protezione Civile del 19 Settembre 2022 ore 17:15
Toscana,220,1.390.777,80.090,2.169,168,0%,161,4,060%,7,019,-2220%,Dati della Protezione Civile del 19 Settembre 2022 ore 17:15
Umbria,149,371.271,3.060,354,112,4%,111,13,370%,1,012,000%,Dati della Protezione Civile del 19 Settembre 2022 ore 17:15
Valle d'Aosta,6,44.140,584,471,11,2%,11,9,-830%,0,000,000%,Dati della Protezione Civile del 19 Settembre 2022 ore 17:15
Veneto,677,2.234.743,34.760,714,248,1%,237,5,-170%,11,023,3750%,Dati della Protezione Civile del 19 Settembre 2022 ore 17:15
Italia,8.259,22.169.273,427.222,721,3.644,1%,3.493,6,210%,151,025,-380%,Dati della Protezione Civile del 19 Settembre 2022 ore 17:15
