Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,665,540.255,26.953,2.104,139,1%,130,10,-080%,9,070,000%,Dati della Protezione Civile del 01 Settembre 2022 ore 23:45
Basilicata,253,179.158,7.139,1.310,43,1%,42,8,-230%,1,018,000%,Dati della Protezione Civile del 01 Settembre 2022 ore 23:45
Calabria,1.124,539.629,63.274,3.401,161,0%,156,8,-490%,5,027,000%,Dati della Protezione Civile del 01 Settembre 2022 ore 23:45
Campania,1.947,2.185.046,103.810,1.846,286,0%,277,5,-140%,9,016,-3080%,Dati della Protezione Civile del 01 Settembre 2022 ore 23:45
Emilia-Romagna,1.657,1.823.059,25.809,581,926,4%,896,20,-040%,30,068,710%,Dati della Protezione Civile del 01 Settembre 2022 ore 23:45
Friuli Venezia Giulia,591,476.338,7.093,590,150,2%,148,12,-450%,2,017,000%,Dati della Protezione Civile del 01 Settembre 2022 ore 23:45
Lazio,1.698,2.020.463,65.976,1.151,568,1%,527,9,-200%,41,072,-470%,Dati della Protezione Civile del 01 Settembre 2022 ore 23:45
Liguria,562,560.894,7.478,492,210,3%,205,14,-510%,5,033,000%,Dati della Protezione Civile del 01 Settembre 2022 ore 23:45
Lombardia,2.972,3.476.403,43.007,431,627,1%,605,6,-440%,22,022,000%,Dati della Protezione Civile del 01 Settembre 2022 ore 23:45
Marche,598,605.266,6.208,414,84,1%,81,5,520%,3,020,000%,Dati della Protezione Civile del 01 Settembre 2022 ore 23:45
Molise,146,87.537,4.426,1.504,17,0%,17,6,-560%,0,000,000%,Dati della Protezione Civile del 01 Settembre 2022 ore 23:45
P.A. Bolzano,233,255.460,2.016,377,41,2%,40,7,1760%,1,019,000%,Dati della Protezione Civile del 01 Settembre 2022 ore 23:45
P.A. Trento,326,204.213,3.220,594,69,2%,68,13,-680%,1,018,000%,Dati della Protezione Civile del 01 Settembre 2022 ore 23:45
Piemonte,1.050,1.430.944,32.820,768,284,1%,277,6,-040%,7,016,1670%,Dati della Protezione Civile del 01 Settembre 2022 ore 23:45
Puglia,1.025,1.454.413,19.503,496,219,1%,208,5,-960%,11,028,000%,Dati della Protezione Civile del 01 Settembre 2022 ore 23:45
Sardegna,423,439.544,9.957,626,99,1%,91,6,-220%,8,050,1430%,Dati della Protezione Civile del 01 Settembre 2022 ore 23:45
Sicilia,1.387,1.621.759,70.176,1.452,422,1%,401,8,000%,21,043,-1600%,Dati della Protezione Civile del 01 Settembre 2022 ore 23:45
Toscana,933,1.377.549,82.771,2.241,277,0%,267,7,-460%,10,027,-910%,Dati della Protezione Civile del 01 Settembre 2022 ore 23:45
Umbria,365,365.914,3.742,432,145,4%,141,16,-600%,4,046,3330%,Dati della Protezione Civile del 01 Settembre 2022 ore 23:45
Valle d'Aosta,35,43.676,769,620,9,1%,9,7,-1820%,0,000,000%,Dati della Protezione Civile del 01 Settembre 2022 ore 23:45
Veneto,2.513,2.200.735,48.047,987,393,1%,376,8,-230%,17,035,-560%,Dati della Protezione Civile del 01 Settembre 2022 ore 23:45
Italia,20.503,21.888.255,634.194,1.071,5.169,1%,4.962,8,-250%,207,035,-280%,Dati della Protezione Civile del 01 Settembre 2022 ore 23:45
