Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,1.500,375.636,57.853,4.516,340,1%,329,26,-240%,11,086,000%,Dati della Protezione Civile del 01 Maggio 2022 ore 23:45
Basilicata,440,127.974,29.904,5.486,107,0%,104,19,000%,3,055,000%,Dati della Protezione Civile del 01 Maggio 2022 ore 23:45
Calabria,1.246,359.129,84.156,4.523,273,0%,255,14,-590%,18,097,-530%,Dati della Protezione Civile del 01 Maggio 2022 ore 23:45
Campania,4.786,1.609.181,180.359,3.207,763,0%,724,13,-040%,39,069,-710%,Dati della Protezione Civile del 01 Maggio 2022 ore 23:45
Emilia-Romagna,3.736,1.415.062,59.649,1.344,1.378,2%,1.349,30,100%,29,065,000%,Dati della Protezione Civile del 01 Maggio 2022 ore 23:45
Friuli Venezia Giulia,588,363.896,24.133,2.009,166,1%,163,14,450%,3,025,000%,Dati della Protezione Civile del 01 Maggio 2022 ore 23:45
Lazio,4.133,1.487.834,154.701,2.700,1.189,1%,1.127,20,-150%,62,108,000%,Dati della Protezione Civile del 01 Maggio 2022 ore 23:45
Liguria,868,427.791,16.082,1.059,326,2%,312,21,-130%,14,092,000%,Dati della Protezione Civile del 01 Maggio 2022 ore 23:45
Lombardia,5.254,2.770.646,156.426,1.567,1.219,1%,1.183,12,-360%,36,036,910%,Dati della Protezione Civile del 01 Maggio 2022 ore 23:45
Marche,1.382,445.882,5.425,362,175,3%,170,11,-230%,5,033,2500%,Dati della Protezione Civile del 01 Maggio 2022 ore 23:45
Molise,397,60.284,8.966,3.047,40,0%,39,13,000%,1,034,000%,Dati della Protezione Civile del 01 Maggio 2022 ore 23:45
P.A. Bolzano,219,211.144,3.597,672,45,1%,44,8,000%,1,019,000%,Dati della Protezione Civile del 01 Maggio 2022 ore 23:45
P.A. Trento,286,161.473,3.808,702,70,2%,66,12,-430%,4,074,000%,Dati della Protezione Civile del 01 Maggio 2022 ore 23:45
Piemonte,2.108,1.146.480,63.228,1.479,787,1%,771,18,290%,16,037,670%,Dati della Protezione Civile del 01 Maggio 2022 ore 23:45
Puglia,2.830,1.069.433,101.770,2.587,551,1%,525,13,-570%,26,066,-370%,Dati della Protezione Civile del 01 Maggio 2022 ore 23:45
Sardegna,727,280.646,29.454,1.852,320,1%,308,19,200%,12,075,-2000%,Dati della Protezione Civile del 01 Maggio 2022 ore 23:45
Sicilia,2.817,1.115.665,116.344,2.407,848,1%,802,17,-120%,46,095,000%,Dati della Protezione Civile del 01 Maggio 2022 ore 23:45
Toscana,2.424,1.099.975,53.870,1.459,619,1%,600,16,-310%,19,051,-1360%,Dati della Protezione Civile del 01 Maggio 2022 ore 23:45
Umbria,814,269.015,11.834,1.367,213,2%,209,24,200%,4,046,000%,Dati della Protezione Civile del 01 Maggio 2022 ore 23:45
Valle d'Aosta,59,35.111,1.583,1.276,21,1%,21,17,2350%,0,000,000%,Dati della Protezione Civile del 01 Maggio 2022 ore 23:45
Veneto,4.143,1.672.534,68.528,1.407,654,1%,637,13,260%,17,035,1330%,Dati della Protezione Civile del 01 Maggio 2022 ore 23:45
Italia,40.757,16.504.791,1.231.670,2.079,10.104,1%,9.738,16,-090%,366,062,000%,Dati della Protezione Civile del 01 Maggio 2022 ore 23:45
