Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,282,1382,10,181,0,Dati della Protezione Civile del 17 Maggio 2022 ore 23:45
Basilicata,80,389,2,79,13,Dati della Protezione Civile del 17 Maggio 2022 ore 23:45
Calabria,185,1009,11,194,0,Dati della Protezione Civile del 17 Maggio 2022 ore 23:45
Campania,562,4028,35,585,0,Dati della Protezione Civile del 17 Maggio 2022 ore 23:45
Emilia-Romagna,1139,9001,31,889,0,Dati della Protezione Civile del 17 Maggio 2022 ore 23:45
Friuli Venezia Giulia,149,1277,2,175,0,Dati della Protezione Civile del 17 Maggio 2022 ore 23:45
Lazio,800,6421,53,943,243,Dati della Protezione Civile del 17 Maggio 2022 ore 23:45
Liguria,228,1643,11,218,12,Dati della Protezione Civile del 17 Maggio 2022 ore 23:45
Lombardia,912,10457,37,1810,0,Dati della Protezione Civile del 17 Maggio 2022 ore 23:45
Marche,110,996,4,230,49,Dati della Protezione Civile del 17 Maggio 2022 ore 23:45
Molise,23,176,2,39,26,Dati della Protezione Civile del 17 Maggio 2022 ore 23:45
P.A. Bolzano,41,500,0,100,20,Dati della Protezione Civile del 17 Maggio 2022 ore 23:45
P.A. Trento,51,517,4,90,0,Dati della Protezione Civile del 17 Maggio 2022 ore 23:45
Piemonte,530,6794,23,628,99,Dati della Protezione Civile del 17 Maggio 2022 ore 23:45
Puglia,433,2903,28,503,0,Dati della Protezione Civile del 17 Maggio 2022 ore 23:45
Sardegna,236,1602,10,204,16,Dati della Protezione Civile del 17 Maggio 2022 ore 23:45
Sicilia,639,3610,37,813,0,Dati della Protezione Civile del 17 Maggio 2022 ore 23:45
Toscana,419,5033,16,570,8,Dati della Protezione Civile del 17 Maggio 2022 ore 23:45
Umbria,182,662,1,86,41,Dati della Protezione Civile del 17 Maggio 2022 ore 23:45
Valle d'Aosta,24,163,0,34,0,Dati della Protezione Civile del 17 Maggio 2022 ore 23:45
Veneto,440,6000,20,1000,0,Dati della Protezione Civile del 17 Maggio 2022 ore 23:45
Italia,7465,64563,337,9371,527,Dati della Protezione Civile del 17 Maggio 2022 ore 23:45
