Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,1.332,578.099,17.845,1.393,178,1%,173,14,-340%,5,039,000%,Dati della Protezione Civile del 18 Ottobre 2022 ore 23:45
Basilicata,261,187.257,5.410,992,33,1%,33,6,-290%,0,000,000%,Dati della Protezione Civile del 18 Ottobre 2022 ore 23:45
Calabria,1.261,572.897,11.775,633,155,1%,146,8,-460%,9,048,000%,Dati della Protezione Civile del 18 Ottobre 2022 ore 23:45
Campania,3.473,2.270.400,45.941,817,308,1%,292,5,250%,16,028,-590%,Dati della Protezione Civile del 18 Ottobre 2022 ore 23:45
Emilia-Romagna,2.786,1.925.691,44.106,994,1.062,2%,1.025,23,-020%,37,083,570%,Dati della Protezione Civile del 18 Ottobre 2022 ore 23:45
Friuli Venezia Giulia,1.599,514.853,13.267,1.104,231,2%,225,19,-550%,6,050,-4550%,Dati della Protezione Civile del 18 Ottobre 2022 ore 23:45
Lazio,4.710,2.131.449,58.982,1.029,641,1%,604,11,-020%,37,065,-510%,Dati della Protezione Civile del 18 Ottobre 2022 ore 23:45
Liguria,1.737,594.615,9.917,653,241,2%,234,15,000%,7,046,1670%,Dati della Protezione Civile del 18 Ottobre 2022 ore 23:45
Lombardia,12.757,3.709.862,92.489,927,1.211,1%,1.192,12,370%,19,019,-500%,Dati della Protezione Civile del 18 Ottobre 2022 ore 23:45
Marche,1.533,643.826,8.853,591,152,2%,147,10,280%,5,033,000%,Dati della Protezione Civile del 18 Ottobre 2022 ore 23:45
Molise,138,92.626,4.526,1.538,9,0%,9,3,-1000%,0,000,000%,Dati della Protezione Civile del 18 Ottobre 2022 ore 23:45
P.A. Bolzano,1.159,276.987,6.665,1.246,124,2%,122,23,-760%,2,037,000%,Dati della Protezione Civile del 18 Ottobre 2022 ore 23:45
P.A. Trento,789,225.327,4.404,812,89,2%,85,16,-1050%,4,074,3330%,Dati della Protezione Civile del 18 Ottobre 2022 ore 23:45
Piemonte,6.818,1.555.686,53.781,1.258,770,1%,750,18,-420%,20,047,000%,Dati della Protezione Civile del 18 Ottobre 2022 ore 23:45
Puglia,2.331,1.503.131,14.577,371,147,1%,140,4,1570%,7,018,000%,Dati della Protezione Civile del 18 Ottobre 2022 ore 23:45
Sardegna,1.200,460.969,7.485,471,89,1%,84,5,630%,5,031,000%,Dati della Protezione Civile del 18 Ottobre 2022 ore 23:45
Sicilia,2.071,1.672.707,19.738,408,279,1%,258,5,-150%,21,043,500%,Dati della Protezione Civile del 18 Ottobre 2022 ore 23:45
Toscana,3.459,1.445.911,50.749,1.374,466,1%,453,12,440%,13,035,-710%,Dati della Protezione Civile del 18 Ottobre 2022 ore 23:45
Umbria,1.015,393.235,7.781,899,206,3%,205,24,570%,1,012,000%,Dati della Protezione Civile del 18 Ottobre 2022 ore 23:45
Valle d'Aosta,187,46.657,1.384,1.115,35,3%,34,27,-560%,1,081,000%,Dati della Protezione Civile del 18 Ottobre 2022 ore 23:45
Veneto,7.744,2.370.185,63.532,1.305,821,1%,782,16,640%,39,080,1140%,Dati della Protezione Civile del 18 Ottobre 2022 ore 23:45
Italia,58.360,23.172.370,543.207,917,7.247,1%,6.993,12,090%,254,043,000%,Dati della Protezione Civile del 18 Ottobre 2022 ore 23:45
