Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,39,74.277,5.152,398,99,2%,90,7,-820%,9,070,-1820%,Dati della Protezione Civile del 06 Giugno 2021 ore 18:57
Basilicata,31,26.493,3.338,603,49,1%,49,9,-580%,0,000,000%,Dati della Protezione Civile del 06 Giugno 2021 ore 18:57
Calabria,128,67.658,8.966,473,205,2%,191,10,-770%,14,074,000%,Dati della Protezione Civile del 06 Giugno 2021 ore 18:57
Campania,255,421.112,63.483,1.111,617,1%,571,10,-020%,46,081,-610%,Dati della Protezione Civile del 06 Giugno 2021 ore 18:57
Emilia-Romagna,172,384.820,11.454,257,482,4%,412,9,-260%,70,157,290%,Dati della Protezione Civile del 06 Giugno 2021 ore 18:57
Friuli Venezia Giulia,13,107.177,4.725,392,29,1%,28,2,-670%,1,008,000%,Dati della Protezione Civile del 06 Giugno 2021 ore 18:57
Lazio,233,343.265,11.992,208,815,7%,690,12,-800%,125,217,-080%,Dati della Protezione Civile del 06 Giugno 2021 ore 18:57
Liguria,36,102.934,785,51,107,14%,81,5,130%,26,171,-370%,Dati della Protezione Civile del 06 Giugno 2021 ore 18:57
Lombardia,359,837.586,20.641,206,1.000,5%,833,8,-610%,167,167,-180%,Dati della Protezione Civile del 06 Giugno 2021 ore 18:57
Marche,75,103.120,3.377,223,96,3%,79,5,-1410%,17,112,000%,Dati della Protezione Civile del 06 Giugno 2021 ore 18:57
Molise,4,13.607,96,32,5,5%,5,2,000%,0,000,000%,Dati della Protezione Civile del 06 Giugno 2021 ore 18:57
P.A. Bolzano,39,73.060,569,107,15,3%,13,2,-710%,2,038,000%,Dati della Protezione Civile del 06 Giugno 2021 ore 18:57
P.A. Trento,15,45.568,356,65,26,7%,20,4,1110%,6,110,000%,Dati della Protezione Civile del 06 Giugno 2021 ore 18:57
Piemonte,129,361.401,3.813,88,524,14%,461,11,-130%,63,146,330%,Dati della Protezione Civile del 06 Giugno 2021 ore 18:57
Puglia,139,251.382,18.830,476,444,2%,411,10,-280%,33,083,000%,Dati della Protezione Civile del 06 Giugno 2021 ore 18:57
Sardegna,31,56.877,12.477,774,118,1%,110,7,-090%,8,050,-3330%,Dati della Protezione Civile del 06 Giugno 2021 ore 18:57
Sicilia,275,227.524,7.971,163,426,5%,382,8,-350%,44,090,-220%,Dati della Protezione Civile del 06 Giugno 2021 ore 18:57
Toscana,193,242.409,5.985,162,384,6%,291,8,-640%,93,252,-310%,Dati della Protezione Civile del 06 Giugno 2021 ore 18:57
Umbria,24,56.530,1.233,142,51,4%,45,5,-1350%,6,069,2000%,Dati della Protezione Civile del 06 Giugno 2021 ore 18:57
Valle d'Aosta,5,11.626,149,119,4,3%,4,3,-3330%,0,000,000%,Dati della Protezione Civile del 06 Giugno 2021 ore 18:57
Veneto,80,424.002,6.880,141,241,4%,197,4,-100%,44,090,-220%,Dati della Protezione Civile del 06 Giugno 2021 ore 18:57
Italia,2.275,4.232.428,192.272,322,5.737,3%,4.963,8,-440%,774,130,-180%,Dati della Protezione Civile del 06 Giugno 2021 ore 18:57
