Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,1.179,521.230,25.858,2.019,257,1%,249,19,-350%,8,062,000%,Dati della Protezione Civile del 10 Agosto 2022 ore 23:45
Basilicata,231,173.568,10.122,1.857,58,1%,55,10,-680%,3,055,000%,Dati della Protezione Civile del 10 Agosto 2022 ore 23:45
Calabria,1.385,511.265,70.460,3.787,284,0%,275,15,-250%,9,048,000%,Dati della Protezione Civile del 10 Agosto 2022 ore 23:45
Campania,2.545,2.141.456,128.446,2.284,498,0%,474,8,-270%,24,043,-400%,Dati della Protezione Civile del 10 Agosto 2022 ore 23:45
Emilia-Romagna,3.488,1.787.044,40.628,915,1.502,4%,1.458,33,080%,44,099,230%,Dati della Protezione Civile del 10 Agosto 2022 ore 23:45
Friuli Venezia Giulia,956,462.802,14.793,1.231,246,2%,243,20,170%,3,025,000%,Dati della Protezione Civile del 10 Agosto 2022 ore 23:45
Lazio,2.415,1.982.528,167.111,2.916,950,1%,893,16,-180%,57,099,-170%,Dati della Protezione Civile del 10 Agosto 2022 ore 23:45
Liguria,1.005,546.489,14.221,937,361,3%,356,23,-750%,5,033,-2860%,Dati della Protezione Civile del 10 Agosto 2022 ore 23:45
Lombardia,3.740,3.415.276,77.511,777,1.123,1%,1.081,11,-490%,42,042,1350%,Dati della Protezione Civile del 10 Agosto 2022 ore 23:45
Marche,928,587.813,15.878,1.060,167,1%,163,11,-410%,4,027,000%,Dati della Protezione Civile del 10 Agosto 2022 ore 23:45
Molise,220,84.125,5.874,1.996,31,1%,29,10,000%,2,068,10000%,Dati della Protezione Civile del 10 Agosto 2022 ore 23:45
P.A. Bolzano,325,250.599,3.526,659,57,2%,57,11,-170%,0,000,000%,Dati della Protezione Civile del 10 Agosto 2022 ore 23:45
P.A. Trento,382,198.022,4.380,808,72,2%,71,13,-140%,1,018,-6670%,Dati della Protezione Civile del 10 Agosto 2022 ore 23:45
Piemonte,1.481,1.403.385,39.306,919,456,1%,447,10,-130%,9,021,-1000%,Dati della Protezione Civile del 10 Agosto 2022 ore 23:45
Puglia,2.168,1.423.868,42.172,1.072,419,1%,403,10,-050%,16,041,1430%,Dati della Protezione Civile del 10 Agosto 2022 ore 23:45
Sardegna,1.029,427.221,21.431,1.348,165,1%,156,10,-310%,9,057,-1820%,Dati della Protezione Civile del 10 Agosto 2022 ore 23:45
Sicilia,2.189,1.585.280,119.546,2.473,816,1%,778,16,-380%,38,079,-950%,Dati della Protezione Civile del 10 Agosto 2022 ore 23:45
Toscana,1.397,1.355.935,86.491,2.342,562,1%,540,15,-220%,22,060,000%,Dati della Protezione Civile del 10 Agosto 2022 ore 23:45
Umbria,646,357.736,14.531,1.679,235,2%,232,27,-450%,3,035,5000%,Dati della Protezione Civile del 10 Agosto 2022 ore 23:45
Valle d'Aosta,65,42.702,1.080,870,13,1%,13,10,-1880%,0,000,000%,Dati della Protezione Civile del 10 Agosto 2022 ore 23:45
Veneto,3.929,2.141.835,66.465,1.365,641,1%,619,13,-420%,22,045,-2410%,Dati della Protezione Civile del 10 Agosto 2022 ore 23:45
Italia,31.703,21.400.179,969.830,1.637,8.913,1%,8.592,15,-250%,321,054,-300%,Dati della Protezione Civile del 10 Agosto 2022 ore 23:45
