Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,192,405.228,21.472,1.676,212,1%,202,16,-150%,10,078,000%,Dati della Protezione Civile del 30 Maggio 2022 ore 23:45
Basilicata,119,137.481,22.413,4.111,66,0%,65,12,-1100%,1,018,000%,Dati della Protezione Civile del 30 Maggio 2022 ore 23:45
Calabria,437,388.905,38.984,2.095,175,0%,170,9,830%,5,027,2500%,Dati della Protezione Civile del 30 Maggio 2022 ore 23:45
Campania,824,1.708.464,128.527,2.285,401,0%,380,7,-180%,21,037,-450%,Dati della Protezione Civile del 30 Maggio 2022 ore 23:45
Emilia-Romagna,826,1.485.943,20.311,458,897,4%,866,20,200%,31,070,690%,Dati della Protezione Civile del 30 Maggio 2022 ore 23:45
Friuli Venezia Giulia,60,378.595,19.577,1.629,102,1%,99,8,310%,3,025,5000%,Dati della Protezione Civile del 30 Maggio 2022 ore 23:45
Lazio,1.233,1.574.650,121.119,2.114,630,1%,597,10,380%,33,058,-570%,Dati della Protezione Civile del 30 Maggio 2022 ore 23:45
Liguria,118,449.146,5.918,390,153,3%,145,10,-140%,8,053,-1110%,Dati della Protezione Civile del 30 Maggio 2022 ore 23:45
Lombardia,750,2.889.641,104.828,1.050,650,1%,615,6,120%,35,035,000%,Dati della Protezione Civile del 30 Maggio 2022 ore 23:45
Marche,206,472.889,3.751,250,76,2%,72,5,000%,4,027,000%,Dati della Protezione Civile del 30 Maggio 2022 ore 23:45
Molise,49,65.890,4.029,1.369,13,0%,10,3,-910%,3,102,000%,Dati della Protezione Civile del 30 Maggio 2022 ore 23:45
P.A. Bolzano,49,217.985,1.518,284,35,2%,34,6,300%,1,019,-5000%,Dati della Protezione Civile del 30 Maggio 2022 ore 23:45
P.A. Trento,45,167.577,1.468,271,33,2%,30,6,-910%,3,055,000%,Dati della Protezione Civile del 30 Maggio 2022 ore 23:45
Piemonte,340,1.196.777,26.797,627,348,1%,331,8,470%,17,040,000%,Dati della Protezione Civile del 30 Maggio 2022 ore 23:45
Puglia,518,1.131.618,27.070,688,319,1%,306,8,130%,13,033,830%,Dati della Protezione Civile del 30 Maggio 2022 ore 23:45
Sardegna,344,311.411,15.835,996,165,1%,156,10,-660%,9,057,-1820%,Dati della Protezione Civile del 30 Maggio 2022 ore 23:45
Sicilia,563,1.190.082,70.850,1.466,550,1%,529,11,020%,21,043,-450%,Dati della Protezione Civile del 30 Maggio 2022 ore 23:45
Toscana,320,1.149.679,27.666,749,323,1%,302,8,000%,21,057,500%,Dati della Protezione Civile del 30 Maggio 2022 ore 23:45
Umbria,154,286.046,7.334,847,108,1%,105,12,400%,3,035,000%,Dati della Protezione Civile del 30 Maggio 2022 ore 23:45
Valle d'Aosta,4,36.560,964,777,12,1%,12,10,910%,0,000,-10000%,Dati della Protezione Civile del 30 Maggio 2022 ore 23:45
Veneto,386,1.752.156,28.430,584,268,1%,255,5,-230%,13,027,-1330%,Dati della Protezione Civile del 30 Maggio 2022 ore 23:45
Italia,7.537,17.396.723,698.861,1.180,5.536,1%,5.281,9,090%,255,043,-190%,Dati della Protezione Civile del 30 Maggio 2022 ore 23:45
