Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,477,406.349,19.188,1.498,190,1%,182,14,-810%,8,062,-2000%,Dati della Protezione Civile del 01 Giugno 2022 ore 23:45
Basilicata,148,137.852,19.738,3.621,57,0%,57,10,-340%,0,000,-10000%,Dati della Protezione Civile del 01 Giugno 2022 ore 23:45
Calabria,601,390.339,36.190,1.945,177,0%,174,9,120%,3,016,-4000%,Dati della Protezione Civile del 01 Giugno 2022 ore 23:45
Campania,1.947,1.713.160,125.128,2.225,421,0%,404,7,580%,17,030,-1050%,Dati della Protezione Civile del 01 Giugno 2022 ore 23:45
Emilia-Romagna,1.441,1.488.279,19.115,431,832,4%,804,18,-410%,28,063,-970%,Dati della Protezione Civile del 01 Giugno 2022 ore 23:45
Friuli Venezia Giulia,283,379.263,19.325,1.608,89,0%,86,7,-950%,3,025,000%,Dati della Protezione Civile del 01 Giugno 2022 ore 23:45
Lazio,2.489,1.580.357,119.367,2.083,592,0%,561,10,-360%,31,054,000%,Dati della Protezione Civile del 01 Giugno 2022 ore 23:45
Liguria,469,450.180,5.642,372,139,2%,132,9,-1020%,7,046,-1250%,Dati della Protezione Civile del 01 Giugno 2022 ore 23:45
Lombardia,2.240,2.895.171,100.534,1.007,607,1%,575,6,-620%,32,032,-860%,Dati della Protezione Civile del 01 Giugno 2022 ore 23:45
Marche,411,473.847,3.717,248,67,2%,64,4,-150%,3,020,-2500%,Dati della Protezione Civile del 01 Giugno 2022 ore 23:45
Molise,105,65.999,4.107,1.396,13,0%,10,3,000%,3,102,000%,Dati della Protezione Civile del 01 Giugno 2022 ore 23:45
P.A. Bolzano,138,218.401,1.532,286,35,2%,34,6,000%,1,019,000%,Dati della Protezione Civile del 01 Giugno 2022 ore 23:45
P.A. Trento,91,167.792,1.291,238,28,2%,26,5,-710%,2,037,-3330%,Dati della Protezione Civile del 01 Giugno 2022 ore 23:45
Piemonte,1.004,1.199.091,25.624,599,290,1%,277,6,-1040%,13,030,-1330%,Dati della Protezione Civile del 01 Giugno 2022 ore 23:45
Puglia,1.206,1.134.580,26.154,665,283,1%,271,7,-150%,12,031,000%,Dati della Protezione Civile del 01 Giugno 2022 ore 23:45
Sardegna,745,313.160,13.866,872,130,1%,121,8,-1880%,9,057,000%,Dati della Protezione Civile del 01 Giugno 2022 ore 23:45
Sicilia,1.798,1.195.447,66.745,1.381,551,1%,527,11,-080%,24,050,000%,Dati della Protezione Civile del 01 Giugno 2022 ore 23:45
Toscana,969,1.152.078,26.837,727,271,1%,256,7,-1050%,15,041,-1670%,Dati della Protezione Civile del 01 Giugno 2022 ore 23:45
Umbria,420,286.863,7.051,815,91,1%,89,10,-820%,2,023,-5000%,Dati della Protezione Civile del 01 Giugno 2022 ore 23:45
Valle d'Aosta,21,36.643,880,709,6,1%,6,5,-2500%,0,000,000%,Dati della Protezione Civile del 01 Giugno 2022 ore 23:45
Veneto,1.388,1.755.381,26.878,552,232,1%,222,5,-860%,10,021,-1670%,Dati della Protezione Civile del 01 Giugno 2022 ore 23:45
Italia,18.391,17.440.232,668.909,1.129,5.101,1%,4.878,8,-470%,223,038,-1010%,Dati della Protezione Civile del 01 Giugno 2022 ore 23:45
