Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,120,78.544,2.230,172,86,4%,73,6,740%,13,100,000%,Dati della Protezione Civile del 25 Agosto 2021 ore 19:03
Basilicata,84,28.599,1.337,242,41,3%,41,7,-240%,0,000,000%,Dati della Protezione Civile del 25 Agosto 2021 ore 19:03
Calabria,349,76.132,4.328,228,139,3%,127,7,160%,12,063,2000%,Dati della Protezione Civile del 25 Agosto 2021 ore 19:03
Campania,569,442.853,9.009,158,364,4%,346,6,-550%,18,032,-1000%,Dati della Protezione Civile del 25 Agosto 2021 ore 19:03
Emilia-Romagna,412,408.320,14.887,333,465,3%,410,9,-020%,55,123,190%,Dati della Protezione Civile del 25 Agosto 2021 ore 19:03
Friuli Venezia Giulia,222,110.231,1.076,89,39,4%,28,2,-970%,11,091,000%,Dati della Protezione Civile del 25 Agosto 2021 ore 19:03
Lazio,442,372.124,16.501,287,582,4%,516,9,-150%,66,115,-290%,Dati della Protezione Civile del 25 Agosto 2021 ore 19:03
Liguria,212,108.999,2.029,133,86,4%,75,5,-1180%,11,072,1000%,Dati della Protezione Civile del 25 Agosto 2021 ore 19:03
Lombardia,605,866.485,11.989,120,383,3%,340,3,330%,43,043,-440%,Dati della Protezione Civile del 25 Agosto 2021 ore 19:03
Marche,259,109.494,3.172,210,78,2%,67,4,2180%,11,073,000%,Dati della Protezione Civile del 25 Agosto 2021 ore 19:03
Molise,21,14.160,185,62,9,5%,8,3,000%,1,033,000%,Dati della Protezione Civile del 25 Agosto 2021 ore 19:03
P.A. Bolzano,81,74.767,722,136,22,3%,19,4,560%,3,056,000%,Dati della Protezione Civile del 25 Agosto 2021 ore 19:03
P.A. Trento,46,47.278,471,86,28,6%,28,5,-670%,0,000,000%,Dati della Protezione Civile del 25 Agosto 2021 ore 19:03
Piemonte,262,371.162,3.459,80,148,4%,137,3,-350%,11,026,2220%,Dati della Protezione Civile del 25 Agosto 2021 ore 19:03
Puglia,327,262.141,4.550,115,242,5%,217,5,480%,25,063,000%,Dati della Protezione Civile del 25 Agosto 2021 ore 19:03
Sardegna,487,70.340,7.932,492,249,3%,225,14,040%,24,149,910%,Dati della Protezione Civile del 25 Agosto 2021 ore 19:03
Sicilia,1.409,268.573,25.506,523,853,3%,751,15,150%,102,209,000%,Dati della Protezione Civile del 25 Agosto 2021 ore 19:03
Toscana,654,267.976,11.832,320,419,4%,379,10,-160%,40,108,-240%,Dati della Protezione Civile del 25 Agosto 2021 ore 19:03
Umbria,129,61.110,1.834,211,62,3%,54,6,000%,8,092,000%,Dati della Protezione Civile del 25 Agosto 2021 ore 19:03
Valle d'Aosta,11,11.997,138,110,3,2%,3,2,-2500%,0,000,000%,Dati della Protezione Civile del 25 Agosto 2021 ore 19:03
Veneto,847,451.111,12.537,257,224,2%,179,4,-480%,45,092,-1180%,Dati della Protezione Civile del 25 Agosto 2021 ore 19:03
Italia,7.548,4.502.396,135.724,228,4.522,3%,4.023,7,-030%,499,084,-100%,Dati della Protezione Civile del 25 Agosto 2021 ore 19:03
