Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,2.265,456.253,46.601,3.638,207,0%,204,16,360%,3,023,-2500%,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Basilicata,687,154.843,12.882,2.363,77,1%,77,14,850%,0,000,000%,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Calabria,1.957,441.809,55.522,2.984,304,1%,290,16,070%,14,075,1670%,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Campania,11.234,1.940.599,177.785,3.161,683,0%,649,12,-090%,34,060,-560%,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Emilia-Romagna,6.738,1.639.400,76.735,1.729,1.333,2%,1.290,29,500%,43,097,490%,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Friuli Venezia Giulia,1.162,417.698,20.099,1.673,184,1%,178,15,170%,6,050,000%,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Lazio,9.547,1.815.393,199.093,3.474,891,0%,829,14,180%,62,108,-460%,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Liguria,1.765,495.064,20.681,1.362,347,2%,340,22,690%,7,046,-1250%,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Lombardia,9.295,3.167.086,153.195,1.535,1.307,1%,1.279,13,130%,28,028,370%,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Marche,2.596,524.388,20.277,1.353,163,1%,156,10,200%,7,047,1670%,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Molise,461,75.095,4.759,1.617,22,0%,22,7,480%,0,000,-10000%,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
P.A. Bolzano,441,233.045,5.799,1.084,83,1%,83,16,1860%,0,000,-10000%,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
P.A. Trento,603,180.770,6.110,1.127,74,1%,74,14,140%,0,000,000%,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Piemonte,4.014,1.296.579,56.587,1.324,505,1%,491,11,320%,14,033,2730%,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Puglia,6.275,1.280.493,83.697,2.128,456,1%,437,11,280%,19,048,1180%,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Sardegna,1.825,375.299,36.688,2.307,173,0%,160,10,060%,13,082,830%,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Sicilia,6.436,1.382.969,124.792,2.582,1.007,1%,964,20,-060%,43,089,490%,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Toscana,3.824,1.259.519,78.781,2.133,651,1%,630,17,190%,21,057,000%,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Umbria,1.685,321.782,20.732,2.396,238,1%,231,27,650%,7,081,1670%,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Valle d'Aosta,113,38.972,1.270,1.023,18,1%,17,14,1330%,1,081,000%,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Veneto,6.997,1.942.445,97.987,2.012,671,1%,643,13,-230%,28,057,370%,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Italia,79.920,19.439.501,1.300.072,2.195,9.394,1%,9.044,15,200%,350,059,170%,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
