Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,483,406.832,18.843,1.471,175,1%,168,13,-770%,7,055,-1250%,Dati della Protezione Civile del 02 Giugno 2022 ore 23:45
Basilicata,135,137.987,18.917,3.470,54,0%,54,10,-530%,0,000,000%,Dati della Protezione Civile del 02 Giugno 2022 ore 23:45
Calabria,528,390.867,35.293,1.897,168,0%,164,9,-570%,4,021,3330%,Dati della Protezione Civile del 02 Giugno 2022 ore 23:45
Campania,1.943,1.715.103,125.147,2.225,361,0%,344,6,-1490%,17,030,000%,Dati della Protezione Civile del 02 Giugno 2022 ore 23:45
Emilia-Romagna,79,1.488.357,19.189,432,770,4%,745,17,-730%,25,056,-1070%,Dati della Protezione Civile del 02 Giugno 2022 ore 23:45
Friuli Venezia Giulia,327,379.589,19.287,1.605,83,0%,79,7,-810%,4,033,3330%,Dati della Protezione Civile del 02 Giugno 2022 ore 23:45
Lazio,2.645,1.583.002,119.998,2.094,587,0%,556,10,-090%,31,054,000%,Dati della Protezione Civile del 02 Giugno 2022 ore 23:45
Liguria,416,450.596,5.059,333,132,3%,125,8,-530%,7,046,000%,Dati della Protezione Civile del 02 Giugno 2022 ore 23:45
Lombardia,2.361,2.897.532,98.259,984,567,1%,533,5,-730%,34,034,630%,Dati della Protezione Civile del 02 Giugno 2022 ore 23:45
Marche,421,474.268,3.654,244,70,2%,68,5,630%,2,013,-3330%,Dati della Protezione Civile del 02 Giugno 2022 ore 23:45
Molise,93,66.092,3.984,1.354,10,0%,8,3,-2000%,2,068,-3330%,Dati della Protezione Civile del 02 Giugno 2022 ore 23:45
P.A. Bolzano,173,218.574,1.534,287,35,2%,34,6,000%,1,019,000%,Dati della Protezione Civile del 02 Giugno 2022 ore 23:45
P.A. Trento,131,167.923,1.291,238,24,2%,21,4,-1920%,3,055,5000%,Dati della Protezione Civile del 02 Giugno 2022 ore 23:45
Piemonte,715,1.199.806,25.509,597,272,1%,261,6,-580%,11,026,-1540%,Dati della Protezione Civile del 02 Giugno 2022 ore 23:45
Puglia,1.205,1.135.785,25.822,656,281,1%,264,7,-260%,17,043,4170%,Dati della Protezione Civile del 02 Giugno 2022 ore 23:45
Sardegna,527,313.687,13.330,838,129,1%,120,8,-080%,9,057,000%,Dati della Protezione Civile del 02 Giugno 2022 ore 23:45
Sicilia,1.910,1.197.884,59.189,1.225,525,1%,500,10,-510%,25,052,420%,Dati della Protezione Civile del 02 Giugno 2022 ore 23:45
Toscana,1.061,1.153.139,26.715,723,247,1%,231,6,-980%,16,043,670%,Dati della Protezione Civile del 02 Giugno 2022 ore 23:45
Umbria,420,287.283,7.032,813,93,1%,91,11,220%,2,023,000%,Dati della Protezione Civile del 02 Giugno 2022 ore 23:45
Valle d'Aosta,19,36.662,886,714,7,1%,7,6,1670%,0,000,000%,Dati della Protezione Civile del 02 Giugno 2022 ore 23:45
Veneto,1.601,1.756.982,26.962,554,225,1%,216,4,-270%,9,018,-1000%,Dati della Protezione Civile del 02 Giugno 2022 ore 23:45
Italia,17.193,17.457.950,655.900,1.107,4.815,1%,4.589,8,-590%,226,038,130%,Dati della Protezione Civile del 02 Giugno 2022 ore 23:45
