Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,438,49229,12207,935,614,5%,551,42,3%,63,4.82,-1.6%,Dati della Protezione Civile del 17 Febbraio 2021 ore 17:53
Basilicata,85,14445,3453,620,79,2%,72,13,0%,7,1.26,0%,Dati della Protezione Civile del 17 Febbraio 2021 ore 17:53
Calabria,170,35855,6531,339,197,3%,179,9,-9.1%,18,0.94,-10%,Dati della Protezione Civile del 17 Febbraio 2021 ore 17:53
Campania,1575,246592,69679,1204,1408,2%,1301,22,1.3%,107,1.85,0.9%,Dati della Protezione Civile del 17 Febbraio 2021 ore 17:53
Emilia-Romagna,1025,239091,35268,790,2078,6%,1902,43,-3.7%,176,3.94,0.6%,Dati della Protezione Civile del 17 Febbraio 2021 ore 17:53
Friuli Venezia Giulia,333,72781,9412,777,443,5%,384,32,-3%,59,4.87,-1.7%,Dati della Protezione Civile del 17 Febbraio 2021 ore 17:53
Lazio,871,221830,36607,624,2283,6%,2044,35,-1%,239,4.07,-5.5%,Dati della Protezione Civile del 17 Febbraio 2021 ore 17:53
Liguria,309,74539,4856,315,629,13%,569,37,-3.1%,60,3.89,1.7%,Dati della Protezione Civile del 17 Febbraio 2021 ore 17:53
Lombardia,1764,567483,48693,482,4103,8%,3740,37,1.3%,363,3.59,-2.7%,Dati della Protezione Civile del 17 Febbraio 2021 ore 17:53
Marche,471,61684,8155,537,612,8%,534,35,-0.2%,78,5.14,-2.5%,Dati della Protezione Civile del 17 Febbraio 2021 ore 17:53
Molise,120,9651,1554,514,89,6%,77,25,-3.8%,12,3.97,9.1%,Dati della Protezione Civile del 17 Febbraio 2021 ore 17:53
P.A. Bolzano,450,49798,7812,1468,293,4%,254,48,0%,39,7.33,0%,Dati della Protezione Civile del 17 Febbraio 2021 ore 17:53
P.A. Trento,311,30863,2787,514,188,7%,162,30,-3.6%,26,4.79,-3.7%,Dati della Protezione Civile del 17 Febbraio 2021 ore 17:53
Piemonte,959,235574,12167,280,2013,17%,1875,43,-1.3%,138,3.18,-2.1%,Dati della Protezione Civile del 17 Febbraio 2021 ore 17:53
Puglia,883,137078,38034,949,1470,4%,1314,33,-0.8%,156,3.89,0%,Dati della Protezione Civile del 17 Febbraio 2021 ore 17:53
Sardegna,109,40438,13658,838,331,2%,302,19,-2.9%,29,1.78,20.8%,Dati della Protezione Civile del 17 Febbraio 2021 ore 17:53
Sicilia,484,147185,33655,677,1115,3%,961,19,-4.4%,154,3.1,-2.5%,Dati della Protezione Civile del 17 Febbraio 2021 ore 17:53
Toscana,773,145020,12396,333,836,7%,699,19,-2.6%,137,3.68,3%,Dati della Protezione Civile del 17 Febbraio 2021 ore 17:53
Umbria,438,41739,8431,958,554,7%,471,54,1.7%,83,9.43,-1.2%,Dati della Protezione Civile del 17 Febbraio 2021 ore 17:53
Valle d'Aosta,14,7936,131,104,10,8%,8,6,0%,2,1.59,0%,Dati della Protezione Civile del 17 Febbraio 2021 ore 17:53
Veneto,492,322846,23378,476,972,4%,875,18,-2%,97,1.98,-4.9%,Dati della Protezione Civile del 17 Febbraio 2021 ore 17:53
Italia,12074,2751657,388864,645,20317,5%,18274,30,-1%,2043,3.39,-1.5%,Dati della Protezione Civile del 17 Febbraio 2021 ore 17:53
