Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,314,65237,10132,776,675,7%,607,46,-2.4%,68,5.21,-1.4%,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46
Basilicata,149,19458,4774,857,184,4%,170,31,9.7%,14,2.51,7.7%,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46
Calabria,347,46958,10325,536,425,4%,389,20,1.6%,36,1.87,-2.7%,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46
Campania,2016,337289,93117,1609,1747,2%,1587,27,0%,160,2.77,-1.8%,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46
Emilia-Romagna,1490,335820,72435,1622,3817,5%,3427,77,-1.7%,390,8.73,-0.5%,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46
Friuli Venezia Giulia,644,97490,15197,1255,746,5%,664,55,-1%,82,6.77,2.5%,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46
Lazio,1800,285447,51051,870,3415,7%,3044,52,0.5%,371,6.33,-2.1%,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46
Liguria,383,89324,7095,460,710,10%,642,42,0.5%,68,4.41,-2.9%,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46
Lombardia,3943,735484,95855,949,7896,8%,7033,70,-1.1%,863,8.54,0.1%,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46
Marche,807,88370,9367,617,949,10%,803,53,-0.5%,146,9.62,-2.7%,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46
Molise,17,12270,866,287,79,9%,63,21,-4.5%,16,5.29,0%,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46
P.A. Bolzano,120,68954,686,129,110,16%,90,17,-9.1%,20,3.76,0%,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46
P.A. Trento,187,41231,2863,528,252,9%,201,37,-1.5%,51,9.4,6.3%,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46
Piemonte,2298,309280,35059,808,4249,12%,3873,89,0.5%,376,8.66,1.9%,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46
Puglia,1962,193012,46857,1169,2100,4%,1840,46,-1.2%,260,6.49,-1.5%,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46
Sardegna,444,45503,14397,883,256,2%,222,14,5.7%,34,2.09,3%,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46
Sicilia,2904,175354,19920,401,1031,5%,891,18,1.7%,140,2.82,5.3%,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46
Toscana,1538,195374,28107,755,1825,6%,1560,42,1.2%,265,7.12,0%,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46
Umbria,162,50908,4806,546,409,9%,349,40,-1.4%,60,6.82,0%,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46
Valle d'Aosta,62,9298,902,719,57,6%,49,39,8.9%,8,6.37,0%,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46
Veneto,2317,382838,38697,788,1958,5%,1676,34,2.9%,282,5.75,-1.1%,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46
Italia,23904,3584899,562508,934,32890,6%,29180,48,-0.2%,3710,6.16,-0.2%,Dati della Protezione Civile del 31 Marzo 2021 ore 19:46
