Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,337,1382,12,181,0,Dati della Protezione Civile del 02 Maggio 2022 ore 23:45
Basilicata,104,394,3,79,14,Dati della Protezione Civile del 02 Maggio 2022 ore 23:45
Calabria,257,1009,18,194,0,Dati della Protezione Civile del 02 Maggio 2022 ore 23:45
Campania,701,3994,39,567,0,Dati della Protezione Civile del 02 Maggio 2022 ore 23:45
Emilia-Romagna,1393,9001,30,889,0,Dati della Protezione Civile del 02 Maggio 2022 ore 23:45
Friuli Venezia Giulia,166,1277,5,175,0,Dati della Protezione Civile del 02 Maggio 2022 ore 23:45
Lazio,1140,6421,59,943,243,Dati della Protezione Civile del 02 Maggio 2022 ore 23:45
Liguria,314,1646,16,218,12,Dati della Protezione Civile del 02 Maggio 2022 ore 23:45
Lombardia,1177,10457,35,1810,0,Dati della Protezione Civile del 02 Maggio 2022 ore 23:45
Marche,169,1006,5,232,52,Dati della Protezione Civile del 02 Maggio 2022 ore 23:45
Molise,37,176,1,39,26,Dati della Protezione Civile del 02 Maggio 2022 ore 23:45
P.A. Bolzano,45,500,1,100,20,Dati della Protezione Civile del 02 Maggio 2022 ore 23:45
P.A. Trento,75,517,4,90,0,Dati della Protezione Civile del 02 Maggio 2022 ore 23:45
Piemonte,765,6794,12,628,99,Dati della Protezione Civile del 02 Maggio 2022 ore 23:45
Puglia,530,2903,26,503,0,Dati della Protezione Civile del 02 Maggio 2022 ore 23:45
Sardegna,302,1602,11,204,16,Dati della Protezione Civile del 02 Maggio 2022 ore 23:45
Sicilia,804,3722,46,823,0,Dati della Protezione Civile del 02 Maggio 2022 ore 23:45
Toscana,612,5033,23,570,10,Dati della Protezione Civile del 02 Maggio 2022 ore 23:45
Umbria,219,662,5,86,41,Dati della Protezione Civile del 02 Maggio 2022 ore 23:45
Valle d'Aosta,25,163,0,34,0,Dati della Protezione Civile del 02 Maggio 2022 ore 23:45
Veneto,622,6000,17,1000,0,Dati della Protezione Civile del 02 Maggio 2022 ore 23:45
Italia,9794,64659,368,9365,533,Dati della Protezione Civile del 02 Maggio 2022 ore 23:45
