Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,2.010,429.613,26.524,2.071,136,1%,131,10,480%,5,039,000%,Dati della Protezione Civile del 29 Giugno 2022 ore 23:45
Basilicata,541,145.531,7.973,1.463,52,1%,51,9,200%,1,018,000%,Dati della Protezione Civile del 29 Giugno 2022 ore 23:45
Calabria,1.893,414.650,37.576,2.020,192,1%,184,10,280%,8,043,3330%,Dati della Protezione Civile del 29 Giugno 2022 ore 23:45
Campania,8.386,1.810.246,103.537,1.841,442,0%,417,7,020%,25,044,-740%,Dati della Protezione Civile del 29 Giugno 2022 ore 23:45
Emilia-Romagna,6.756,1.565.255,48.895,1.102,985,2%,955,22,490%,30,068,710%,Dati della Protezione Civile del 29 Giugno 2022 ore 23:45
Friuli Venezia Giulia,1.382,399.468,12.713,1.058,162,1%,155,13,-250%,7,058,-1250%,Dati della Protezione Civile del 29 Giugno 2022 ore 23:45
Lazio,9.849,1.706.683,148.157,2.585,644,0%,593,10,090%,51,089,000%,Dati della Protezione Civile del 29 Giugno 2022 ore 23:45
Liguria,1.686,473.251,14.090,928,211,1%,208,14,1010%,3,020,000%,Dati della Protezione Civile del 29 Giugno 2022 ore 23:45
Lombardia,25.132,3.039.249,103.661,1.039,875,1%,854,9,200%,21,021,2350%,Dati della Protezione Civile del 29 Giugno 2022 ore 23:45
Marche,1.938,496.880,6.935,463,83,1%,79,5,-810%,4,027,3330%,Dati della Protezione Civile del 29 Giugno 2022 ore 23:45
Molise,384,70.530,2.795,950,12,0%,11,4,-1540%,1,034,000%,Dati della Protezione Civile del 29 Giugno 2022 ore 23:45
P.A. Bolzano,572,226.411,4.043,756,59,1%,58,11,-1940%,1,019,-5000%,Dati della Protezione Civile del 29 Giugno 2022 ore 23:45
P.A. Trento,550,174.194,3.608,665,50,1%,50,9,870%,0,000,000%,Dati della Protezione Civile del 29 Giugno 2022 ore 23:45
Piemonte,3.804,1.247.121,40.126,939,342,1%,331,8,380%,11,026,000%,Dati della Protezione Civile del 29 Giugno 2022 ore 23:45
Puglia,6.577,1.200.367,43.416,1.104,311,1%,299,8,1070%,12,031,2000%,Dati della Protezione Civile del 29 Giugno 2022 ore 23:45
Sardegna,2.491,348.227,23.869,1.501,131,1%,124,8,160%,7,044,-1250%,Dati della Protezione Civile del 29 Giugno 2022 ore 23:45
Sicilia,5.832,1.291.132,76.071,1.574,801,1%,772,16,170%,29,060,740%,Dati della Protezione Civile del 29 Giugno 2022 ore 23:45
Toscana,4.543,1.207.510,50.235,1.360,395,1%,382,10,910%,13,035,-710%,Dati della Protezione Civile del 29 Giugno 2022 ore 23:45
Umbria,1.316,303.968,12.889,1.489,158,1%,157,18,750%,1,012,000%,Dati della Protezione Civile del 29 Giugno 2022 ore 23:45
Valle d'Aosta,82,37.771,708,571,14,2%,14,11,2730%,0,000,000%,Dati della Protezione Civile del 29 Giugno 2022 ore 23:45
Veneto,8.441,1.850.820,67.392,1.384,447,1%,429,9,1060%,18,037,2860%,Dati della Protezione Civile del 29 Giugno 2022 ore 23:45
Italia,94.165,18.438.877,835.213,1.410,6.502,1%,6.254,11,360%,248,042,460%,Dati della Protezione Civile del 29 Giugno 2022 ore 23:45
