Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,436,45408,10976,841,521,5%,470,36,2&,51,3.91,4.1%,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04
Basilicata,77,13686,3292,591,85,3%,84,15,0&,1,0.18,0%,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04
Calabria,127,34191,7803,405,259,3%,233,12,-6.4&,26,1.35,-3.7%,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04
Campania,1741,232133,65472,1132,1605,2%,1500,26,0.1&,105,1.81,-2.8%,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04
Emilia-Romagna,1382,226926,43261,968,2131,5%,1950,44,-0.3&,181,4.05,-1.1%,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04
Friuli Venezia Giulia,285,70112,10787,890,584,5%,521,43,-2.3&,63,5.2,0%,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04
Lazio,920,212420,53358,910,2496,5%,2232,38,-1.8&,264,4.5,-2.2%,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04
Liguria,364,71749,4651,301,669,14%,608,39,-0.2&,61,3.95,0%,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04
Lombardia,1515,549485,48840,483,3825,8%,3467,34,-2.1&,358,3.54,1.1%,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04
Marche,394,58141,7626,502,602,8%,528,35,-0.6&,74,4.87,-1.3%,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04
Molise,91,8867,1355,448,80,6%,69,23,4.5&,11,3.64,-8.3%,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04
P.A. Bolzano,470,44481,5289,994,277,5%,242,45,0&,35,6.58,2.9%,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04
P.A. Trento,175,28908,2676,493,162,6%,136,25,3.8&,26,4.79,-7.1%,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04
Piemonte,624,228279,12322,284,2157,18%,2017,46,0.5&,140,3.22,0%,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04
Puglia,765,129090,51266,1279,1596,3%,1434,36,0.5&,162,4.04,3.2%,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04
Sardegna,154,39527,14685,901,416,3%,382,23,-3&,34,2.09,9.7%,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04
Sicilia,574,141554,39009,785,1376,4%,1198,24,-2.4&,178,3.58,0.6%,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04
Toscana,668,138618,10440,280,758,7%,650,17,1.1&,108,2.9,-0.9%,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04
Umbria,382,38484,6784,771,484,7%,411,47,5.9&,73,8.29,4.3%,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04
Valle d'Aosta,1,7843,162,129,27,17%,24,19,0&,3,2.39,0%,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04
Veneto,496,316836,26970,550,1263,5%,1110,23,-1.2&,153,3.12,-3.2%,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04
Italia,11641,2636738,427024,709,21373,5%,19266,32,-0.7&,2107,3.5,-0.1%,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04
