Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,123,76.594,1.615,125,39,2%,38,3,-260%,1,008,000%,Dati della Protezione Civile del 05 Agosto 2021 ore 18:59
Basilicata,63,27.610,816,147,20,2%,19,3,000%,1,018,000%,Dati della Protezione Civile del 05 Agosto 2021 ore 18:59
Calabria,164,71.586,2.529,134,80,3%,75,4,140%,5,026,000%,Dati della Protezione Civile del 05 Agosto 2021 ore 18:59
Campania,670,433.161,7.828,137,259,3%,246,4,290%,13,023,830%,Dati della Protezione Civile del 05 Agosto 2021 ore 18:59
Emilia-Romagna,669,397.005,9.002,202,291,3%,267,6,430%,24,054,910%,Dati della Protezione Civile del 05 Agosto 2021 ore 18:59
Friuli Venezia Giulia,111,108.442,831,69,23,3%,19,2,-950%,4,033,000%,Dati della Protezione Civile del 05 Agosto 2021 ore 18:59
Lazio,544,361.014,12.549,218,445,4%,392,7,340%,53,092,390%,Dati della Protezione Civile del 05 Agosto 2021 ore 18:59
Liguria,169,105.942,1.470,96,53,4%,40,3,1430%,13,085,830%,Dati della Protezione Civile del 05 Agosto 2021 ore 18:59
Lombardia,793,856.003,12.333,123,285,2%,254,3,280%,31,031,-310%,Dati della Protezione Civile del 05 Agosto 2021 ore 18:59
Marche,197,106.286,2.448,162,50,2%,46,3,2430%,4,026,-2000%,Dati della Protezione Civile del 05 Agosto 2021 ore 18:59
Molise,5,13.962,129,43,3,2%,2,1,10000%,1,033,000%,Dati della Protezione Civile del 05 Agosto 2021 ore 18:59
P.A. Bolzano,21,73.891,361,68,10,3%,9,2,1250%,1,019,-5000%,Dati della Protezione Civile del 05 Agosto 2021 ore 18:59
P.A. Trento,33,46.528,373,68,11,3%,10,2,2500%,1,018,000%,Dati della Protezione Civile del 05 Agosto 2021 ore 18:59
Piemonte,259,366.821,2.869,67,95,3%,90,2,470%,5,012,000%,Dati della Protezione Civile del 05 Agosto 2021 ore 18:59
Puglia,243,256.947,2.887,73,108,4%,95,2,1310%,13,033,830%,Dati della Protezione Civile del 05 Agosto 2021 ore 18:59
Sardegna,522,63.625,6.106,379,106,2%,87,5,000%,19,118,000%,Dati della Protezione Civile del 05 Agosto 2021 ore 18:59
Sicilia,831,246.251,12.547,257,402,3%,362,7,310%,40,082,1110%,Dati della Protezione Civile del 05 Agosto 2021 ore 18:59
Toscana,765,254.983,9.092,246,223,2%,201,5,1360%,22,060,480%,Dati della Protezione Civile del 05 Agosto 2021 ore 18:59
Umbria,147,58.860,1.858,214,20,1%,18,2,-1000%,2,023,000%,Dati della Protezione Civile del 05 Agosto 2021 ore 18:59
Valle d'Aosta,13,11.821,100,80,4,4%,4,3,000%,0,000,000%,Dati della Protezione Civile del 05 Agosto 2021 ore 18:59
Veneto,888,439.856,13.303,273,150,1%,135,3,-150%,15,031,-630%,Dati della Protezione Civile del 05 Agosto 2021 ore 18:59
Italia,7.230,4.377.188,101.046,169,2.677,3%,2.409,4,430%,268,045,310%,Dati della Protezione Civile del 05 Agosto 2021 ore 18:59
