Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,2.032,341.741,45.589,3.559,324,1%,310,24,-100%,14,109,770%,Dati della Protezione Civile del 14 Aprile 2022 ore 23:16
Basilicata,647,116.543,26.500,4.861,93,0%,91,17,000%,2,037,000%,Dati della Protezione Civile del 14 Aprile 2022 ore 23:16
Calabria,1.837,327.582,84.066,4.518,343,0%,330,18,030%,13,070,-1330%,Dati della Protezione Civile del 14 Aprile 2022 ore 23:16
Campania,6.627,1.495.525,159.162,2.830,728,0%,698,12,030%,30,053,000%,Dati della Protezione Civile del 14 Aprile 2022 ore 23:16
Emilia-Romagna,5.069,1.343.088,59.349,1.337,1.355,2%,1.321,30,-030%,34,077,-1710%,Dati della Protezione Civile del 14 Aprile 2022 ore 23:16
Friuli Venezia Giulia,1.229,348.855,24.720,2.057,153,1%,150,12,270%,3,025,000%,Dati della Protezione Civile del 14 Aprile 2022 ore 23:16
Lazio,7.200,1.387.344,142.814,2.492,1.275,1%,1.204,21,110%,71,124,000%,Dati della Protezione Civile del 14 Aprile 2022 ore 23:16
Liguria,1.581,405.125,17.585,1.158,298,2%,289,19,210%,9,059,-1000%,Dati della Protezione Civile del 14 Aprile 2022 ore 23:16
Lombardia,8.780,2.649.677,165.667,1.660,1.163,1%,1.125,11,-210%,38,038,-500%,Dati della Protezione Civile del 14 Aprile 2022 ore 23:16
Marche,1.894,416.936,9.892,660,205,2%,197,13,-440%,8,053,-1110%,Dati della Protezione Civile del 14 Aprile 2022 ore 23:16
Molise,387,53.961,7.906,2.686,32,0%,31,11,000%,1,034,-6670%,Dati della Protezione Civile del 14 Aprile 2022 ore 23:16
P.A. Bolzano,492,204.777,4.953,926,41,1%,39,7,-1330%,2,037,000%,Dati della Protezione Civile del 14 Aprile 2022 ore 23:16
P.A. Trento,463,155.162,4.202,775,45,1%,43,8,-1570%,2,037,-3330%,Dati della Protezione Civile del 14 Aprile 2022 ore 23:16
Piemonte,3.803,1.093.436,58.531,1.369,729,1%,710,17,130%,19,044,-500%,Dati della Protezione Civile del 14 Aprile 2022 ore 23:16
Puglia,5.197,992.477,103.266,2.625,650,1%,614,16,-210%,36,092,000%,Dati della Protezione Civile del 14 Aprile 2022 ore 23:16
Sardegna,1.711,253.443,29.658,1.865,361,1%,338,21,-340%,23,145,-800%,Dati della Protezione Civile del 14 Aprile 2022 ore 23:16
Sicilia,3.747,1.041.460,140.387,2.904,987,1%,934,19,-110%,53,110,-1020%,Dati della Protezione Civile del 14 Aprile 2022 ore 23:16
Toscana,4.122,1.041.979,49.908,1.351,783,2%,751,20,-300%,32,087,-860%,Dati della Protezione Civile del 14 Aprile 2022 ore 23:16
Umbria,1.175,251.246,13.668,1.579,273,2%,268,31,-150%,5,058,-2860%,Dati della Protezione Civile del 14 Aprile 2022 ore 23:16
Valle d'Aosta,97,33.698,1.324,1.067,17,1%,15,12,-630%,2,161,10000%,Dati della Protezione Civile del 14 Aprile 2022 ore 23:16
Veneto,6.861,1.578.957,78.515,1.612,640,1%,617,13,-140%,23,047,-420%,Dati della Protezione Civile del 14 Aprile 2022 ore 23:16
Italia,64.951,15.533.012,1.227.662,2.072,10.495,1%,10.075,17,-090%,420,071,-650%,Dati della Protezione Civile del 14 Aprile 2022 ore 23:16
