Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,1.279,564.938,32.284,2.520,150,0%,150,12,140%,0,000,-10000%,Dati della Protezione Civile del 05 Ottobre 2022 ore 23:45
Basilicata,193,184.903,5.248,963,24,0%,24,4,430%,0,000,000%,Dati della Protezione Civile del 05 Ottobre 2022 ore 23:45
Calabria,838,562.046,40.372,2.170,139,0%,133,7,080%,6,032,000%,Dati della Protezione Civile del 05 Ottobre 2022 ore 23:45
Campania,2.178,2.241.865,44.023,783,263,1%,254,5,-380%,9,016,5000%,Dati della Protezione Civile del 05 Ottobre 2022 ore 23:45
Emilia-Romagna,4.508,1.880.402,31.579,711,810,3%,789,18,750%,21,047,1050%,Dati della Protezione Civile del 05 Ottobre 2022 ore 23:45
Friuli Venezia Giulia,1.689,498.750,11.501,957,214,2%,206,17,670%,8,067,000%,Dati della Protezione Civile del 05 Ottobre 2022 ore 23:45
Lazio,3.474,2.087.572,47.678,832,502,1%,473,8,330%,29,051,360%,Dati della Protezione Civile del 05 Ottobre 2022 ore 23:45
Liguria,1.163,580.645,7.773,512,138,2%,132,9,-150%,6,040,000%,Dati della Protezione Civile del 05 Ottobre 2022 ore 23:45
Lombardia,8.498,3.607.020,69.800,699,801,1%,786,8,750%,15,015,000%,Dati della Protezione Civile del 05 Ottobre 2022 ore 23:45
Marche,1.188,628.424,7.403,494,78,1%,77,5,130%,1,007,000%,Dati della Protezione Civile del 05 Ottobre 2022 ore 23:45
Molise,164,90.928,3.943,1.340,8,0%,8,3,-1110%,0,000,000%,Dati della Protezione Civile del 05 Ottobre 2022 ore 23:45
P.A. Bolzano,758,267.573,5.065,947,123,2%,120,22,340%,3,056,5000%,Dati della Protezione Civile del 05 Ottobre 2022 ore 23:45
P.A. Trento,760,216.916,4.688,865,70,1%,66,12,-430%,4,074,000%,Dati della Protezione Civile del 05 Ottobre 2022 ore 23:45
Piemonte,4.899,1.498.917,48.411,1.132,539,1%,527,12,910%,12,028,5000%,Dati della Protezione Civile del 05 Ottobre 2022 ore 23:45
Puglia,1.343,1.484.917,12.935,329,134,1%,126,3,-530%,8,020,000%,Dati della Protezione Civile del 05 Ottobre 2022 ore 23:45
Sardegna,631,452.267,4.948,311,65,1%,62,4,160%,3,019,20000%,Dati della Protezione Civile del 05 Ottobre 2022 ore 23:45
Sicilia,1.430,1.655.884,25.961,537,210,1%,198,4,260%,12,025,000%,Dati della Protezione Civile del 05 Ottobre 2022 ore 23:45
Toscana,2.504,1.416.155,41.196,1.116,304,1%,292,8,500%,12,032,910%,Dati della Protezione Civile del 05 Ottobre 2022 ore 23:45
Umbria,1.078,381.721,6.648,768,148,2%,141,16,600%,7,081,13330%,Dati della Protezione Civile del 05 Ottobre 2022 ore 23:45
Valle d'Aosta,141,45.120,1.006,811,11,1%,11,9,1000%,0,000,000%,Dati della Protezione Civile del 05 Ottobre 2022 ore 23:45
Veneto,6.509,2.301.100,57.278,1.176,513,1%,498,10,1420%,15,031,-630%,Dati della Protezione Civile del 05 Ottobre 2022 ore 23:45
Italia,45.225,22.648.063,509.740,861,5.244,1%,5.073,9,540%,171,029,1030%,Dati della Protezione Civile del 05 Ottobre 2022 ore 23:45
