Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,275,1382,14,181,14,Dati della Protezione Civile del 26 Marzo 2022 ore 23:10
Basilicata,109,381,2,79,14,Dati della Protezione Civile del 26 Marzo 2022 ore 23:10
Calabria,369,1108,17,202,0,Dati della Protezione Civile del 26 Marzo 2022 ore 23:10
Campania,647,4149,41,610,0,Dati della Protezione Civile del 26 Marzo 2022 ore 23:10
Emilia-Romagna,993,9001,40,889,0,Dati della Protezione Civile del 26 Marzo 2022 ore 23:10
Friuli Venezia Giulia,120,1277,4,175,0,Dati della Protezione Civile del 26 Marzo 2022 ore 23:10
Lazio,1120,6421,70,943,243,Dati della Protezione Civile del 26 Marzo 2022 ore 23:10
Liguria,244,1641,9,219,12,Dati della Protezione Civile del 26 Marzo 2022 ore 23:10
Lombardia,915,10457,45,1810,0,Dati della Protezione Civile del 26 Marzo 2022 ore 23:10
Marche,228,1020,10,256,49,Dati della Protezione Civile del 26 Marzo 2022 ore 23:10
Molise,25,176,0,39,26,Dati della Protezione Civile del 26 Marzo 2022 ore 23:10
P.A. Bolzano,57,500,4,100,20,Dati della Protezione Civile del 26 Marzo 2022 ore 23:10
P.A. Trento,48,517,2,90,0,Dati della Protezione Civile del 26 Marzo 2022 ore 23:10
Piemonte,565,6794,24,628,99,Dati della Protezione Civile del 26 Marzo 2022 ore 23:10
Puglia,620,2923,32,503,0,Dati della Protezione Civile del 26 Marzo 2022 ore 23:10
Sardegna,325,1602,18,204,16,Dati della Protezione Civile del 26 Marzo 2022 ore 23:10
Sicilia,902,3787,62,849,0,Dati della Protezione Civile del 26 Marzo 2022 ore 23:10
Toscana,778,5033,31,570,16,Dati della Protezione Civile del 26 Marzo 2022 ore 23:10
Umbria,199,662,4,86,41,Dati della Protezione Civile del 26 Marzo 2022 ore 23:10
Valle d'Aosta,13,163,0,34,0,Dati della Protezione Civile del 26 Marzo 2022 ore 23:10
Veneto,471,6000,23,1000,0,Dati della Protezione Civile del 26 Marzo 2022 ore 23:10
Italia,9023,64994,452,9467,550,Dati della Protezione Civile del 26 Marzo 2022 ore 23:10
