Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,258,69.384,10.100,773,562,6%,506,39,-170%,56,429,370%,Dati della Protezione Civile del 18 Aprile 2021 ore 18:39
Basilicata,146,22.207,5.799,1.041,183,3%,170,31,240%,13,233,-710%,Dati della Protezione Civile del 18 Aprile 2021 ore 18:39
Calabria,500,54.989,14.068,731,505,4%,455,24,040%,50,260,000%,Dati della Protezione Civile del 18 Aprile 2021 ore 18:39
Campania,1.700,370.415,92.421,1.597,1.675,2%,1.529,26,-020%,146,252,070%,Dati della Protezione Civile del 18 Aprile 2021 ore 18:39
Emilia-Romagna,1.104,358.329,63.885,1.430,2.523,4%,2.226,50,-290%,297,665,-070%,Dati della Protezione Civile del 18 Aprile 2021 ore 18:39
Friuli Venezia Giulia,221,103.123,9.498,784,434,5%,377,31,-480%,57,471,000%,Dati della Protezione Civile del 18 Aprile 2021 ore 18:39
Lazio,1.127,310.478,50.790,866,3.077,6%,2.705,46,-240%,372,634,-340%,Dati della Protezione Civile del 18 Aprile 2021 ore 18:39
Liguria,259,96.189,6.928,449,662,10%,586,38,120%,76,493,-260%,Dati della Protezione Civile del 18 Aprile 2021 ore 18:39
Lombardia,1.782,781.519,66.377,657,5.438,8%,4.716,47,-380%,722,715,-010%,Dati della Protezione Civile del 18 Aprile 2021 ore 18:39
Marche,277,94.500,7.576,499,658,9%,562,37,-260%,96,632,-500%,Dati della Protezione Civile del 18 Aprile 2021 ore 18:39
Molise,56,12.878,678,224,55,8%,41,14,-2120%,14,463,-670%,Dati della Protezione Civile del 18 Aprile 2021 ore 18:39
P.A. Bolzano,63,70.389,408,77,72,18%,60,11,000%,12,226,000%,Dati della Protezione Civile del 18 Aprile 2021 ore 18:39
P.A. Trento,85,43.050,1.336,246,157,12%,129,24,1120%,28,516,-970%,Dati della Protezione Civile del 18 Aprile 2021 ore 18:39
Piemonte,751,333.788,22.596,520,3.388,15%,3.100,71,-080%,288,663,-070%,Dati della Protezione Civile del 18 Aprile 2021 ore 18:39
Puglia,1.278,220.231,51.438,1.283,2.174,4%,1.888,47,-090%,286,714,040%,Dati della Protezione Civile del 18 Aprile 2021 ore 18:39
Sardegna,351,51.543,18.066,1.108,424,2%,366,22,050%,58,356,550%,Dati della Protezione Civile del 18 Aprile 2021 ore 18:39
Sicilia,875,195.519,25.758,518,1.399,5%,1.212,24,-030%,187,376,-110%,Dati della Protezione Civile del 18 Aprile 2021 ore 18:39
Toscana,958,216.578,26.071,700,1.801,7%,1.531,41,-040%,270,725,-290%,Dati della Protezione Civile del 18 Aprile 2021 ore 18:39
Umbria,113,53.206,3.422,389,255,7%,221,25,-680%,34,386,300%,Dati della Protezione Civile del 18 Aprile 2021 ore 18:39
Valle d'Aosta,29,10.366,952,759,70,7%,57,45,-660%,13,1036,830%,Dati della Protezione Civile del 18 Aprile 2021 ore 18:39
Veneto,761,401.450,26.444,539,1.447,5%,1.211,25,-270%,236,481,090%,Dati della Protezione Civile del 18 Aprile 2021 ore 18:39
Italia,12.694,3.870.131,504.611,838,26.959,5%,23.648,39,-190%,3.311,550,-090%,Dati della Protezione Civile del 18 Aprile 2021 ore 18:39
