Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,455,411.288,17.137,1.338,135,1%,134,10,-630%,1,008,000%,Dati della Protezione Civile del 12 Giugno 2022 ore 23:45
Basilicata,107,139.525,13.867,2.544,43,0%,42,8,1350%,1,018,000%,Dati della Protezione Civile del 12 Giugno 2022 ore 23:45
Calabria,353,395.998,31.564,1.696,162,1%,159,9,060%,3,016,-2500%,Dati della Protezione Civile del 12 Giugno 2022 ore 23:45
Campania,1.920,1.733.084,123.062,2.188,308,0%,295,5,390%,13,023,000%,Dati della Protezione Civile del 12 Giugno 2022 ore 23:45
Emilia-Romagna,1.818,1.505.348,18.532,417,686,4%,658,15,120%,28,063,370%,Dati della Protezione Civile del 12 Giugno 2022 ore 23:45
Friuli Venezia Giulia,299,382.976,20.150,1.677,84,0%,81,7,800%,3,025,000%,Dati della Protezione Civile del 12 Giugno 2022 ore 23:45
Lazio,2.700,1.608.063,118.904,2.075,483,0%,454,8,040%,29,051,-650%,Dati della Protezione Civile del 12 Giugno 2022 ore 23:45
Liguria,410,455.264,5.074,334,151,3%,148,10,500%,3,020,-2500%,Dati della Protezione Civile del 12 Giugno 2022 ore 23:45
Lombardia,2.368,2.923.580,85.348,855,448,1%,428,4,-180%,20,020,-480%,Dati della Protezione Civile del 12 Giugno 2022 ore 23:45
Marche,442,478.743,3.362,224,60,2%,57,4,560%,3,020,000%,Dati della Protezione Civile del 12 Giugno 2022 ore 23:45
Molise,102,66.952,2.843,966,9,0%,8,3,000%,1,034,000%,Dati della Protezione Civile del 12 Giugno 2022 ore 23:45
P.A. Bolzano,140,220.243,1.707,319,38,2%,37,7,280%,1,019,000%,Dati della Protezione Civile del 12 Giugno 2022 ore 23:45
P.A. Trento,118,169.069,1.220,225,26,2%,25,5,420%,1,018,000%,Dati della Protezione Civile del 12 Giugno 2022 ore 23:45
Piemonte,864,1.209.389,25.765,603,250,1%,241,6,-200%,9,021,-3080%,Dati della Protezione Civile del 12 Giugno 2022 ore 23:45
Puglia,1.131,1.147.883,18.970,482,252,1%,242,6,-080%,10,025,-2310%,Dati della Protezione Civile del 12 Giugno 2022 ore 23:45
Sardegna,565,320.722,11.266,709,100,1%,93,6,000%,7,044,000%,Dati della Protezione Civile del 12 Giugno 2022 ore 23:45
Sicilia,1.825,1.220.548,62.752,1.298,565,1%,541,11,250%,24,050,430%,Dati della Protezione Civile del 12 Giugno 2022 ore 23:45
Toscana,1.035,1.163.547,24.684,668,197,1%,184,5,-160%,13,035,000%,Dati della Protezione Civile del 12 Giugno 2022 ore 23:45
Umbria,407,291.027,7.092,819,96,1%,95,11,560%,1,012,-5000%,Dati della Protezione Civile del 12 Giugno 2022 ore 23:45
Valle d'Aosta,27,36.933,410,330,10,2%,9,7,2860%,1,081,000%,Dati della Protezione Civile del 12 Giugno 2022 ore 23:45
Veneto,1.592,1.773.193,28.505,585,198,1%,187,4,220%,11,023,1000%,Dati della Protezione Civile del 12 Giugno 2022 ore 23:45
Italia,18.678,17.653.375,622.214,1.050,4.301,1%,4.118,7,100%,183,031,-520%,Dati della Protezione Civile del 12 Giugno 2022 ore 23:45
