Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,1.231,538.837,26.550,2.073,149,1%,140,11,-480%,9,070,000%,Dati della Protezione Civile del 30 Agosto 2022 ore 23:45
Basilicata,418,178.669,7.451,1.367,42,1%,41,8,510%,1,018,-5000%,Dati della Protezione Civile del 30 Agosto 2022 ore 23:45
Calabria,1.951,537.474,67.625,3.635,179,0%,171,9,-1050%,8,043,-2730%,Dati della Protezione Civile del 30 Agosto 2022 ore 23:45
Campania,3.053,2.181.234,107.907,1.919,303,0%,291,5,-490%,12,021,910%,Dati della Protezione Civile del 30 Agosto 2022 ore 23:45
Emilia-Romagna,1.307,1.819.487,25.632,577,1.087,4%,1.054,24,-240%,33,074,310%,Dati della Protezione Civile del 30 Agosto 2022 ore 23:45
Friuli Venezia Giulia,830,475.095,7.575,630,163,2%,161,13,-360%,2,017,-6000%,Dati della Protezione Civile del 30 Agosto 2022 ore 23:45
Lazio,2.362,2.017.126,77.923,1.360,603,1%,558,10,-910%,45,079,230%,Dati della Protezione Civile del 30 Agosto 2022 ore 23:45
Liguria,936,559.807,7.392,487,245,3%,240,16,-440%,5,033,000%,Dati della Protezione Civile del 30 Agosto 2022 ore 23:45
Lombardia,4.875,3.470.294,43.953,440,680,2%,659,7,-120%,21,021,000%,Dati della Protezione Civile del 30 Agosto 2022 ore 23:45
Marche,979,604.019,6.285,419,80,1%,77,5,-250%,3,020,000%,Dati della Protezione Civile del 30 Agosto 2022 ore 23:45
Molise,110,87.220,4.408,1.498,19,0%,19,6,000%,0,000,-10000%,Dati della Protezione Civile del 30 Agosto 2022 ore 23:45
P.A. Bolzano,330,255.003,2.108,394,40,2%,39,7,000%,1,019,000%,Dati della Protezione Civile del 30 Agosto 2022 ore 23:45
P.A. Trento,413,203.562,3.101,572,70,2%,70,13,-1030%,0,000,-10000%,Dati della Protezione Civile del 30 Agosto 2022 ore 23:45
Piemonte,2.076,1.428.429,33.505,784,293,1%,287,7,-710%,6,014,-1430%,Dati della Protezione Civile del 30 Agosto 2022 ore 23:45
Puglia,1.838,1.452.274,20.362,518,255,1%,241,6,-510%,14,036,1670%,Dati della Protezione Civile del 30 Agosto 2022 ore 23:45
Sardegna,722,438.675,11.151,701,112,1%,101,6,000%,11,069,000%,Dati della Protezione Civile del 30 Agosto 2022 ore 23:45
Sicilia,1.957,1.618.896,71.250,1.474,451,1%,428,9,-210%,23,048,950%,Dati della Protezione Civile del 30 Agosto 2022 ore 23:45
Toscana,1.538,1.375.687,83.276,2.255,302,0%,292,8,580%,10,027,000%,Dati della Protezione Civile del 30 Agosto 2022 ore 23:45
Umbria,395,365.188,3.811,440,153,4%,150,17,-450%,3,035,000%,Dati della Protezione Civile del 30 Agosto 2022 ore 23:45
Valle d'Aosta,67,43.593,788,635,12,2%,12,10,2000%,0,000,000%,Dati della Protezione Civile del 30 Agosto 2022 ore 23:45
Veneto,3.700,2.195.374,48.188,990,415,1%,396,8,-340%,19,039,000%,Dati della Protezione Civile del 30 Agosto 2022 ore 23:45
Italia,31.088,21.845.943,660.241,1.115,5.653,1%,5.427,9,-360%,226,038,-130%,Dati della Protezione Civile del 30 Agosto 2022 ore 23:45
