Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,2.269,302.024,32.870,2.566,287,1%,272,21,-180%,15,117,1540%,Dati della Protezione Civile del 25 Marzo 2022 ore 19:36
Basilicata,931,101.211,23.677,4.343,104,0%,101,19,310%,3,055,000%,Dati della Protezione Civile del 25 Marzo 2022 ore 19:36
Calabria,2.979,280.084,70.714,3.801,391,1%,376,20,030%,15,081,1540%,Dati della Protezione Civile del 25 Marzo 2022 ore 19:36
Campania,8.517,1.352.249,157.288,2.797,674,0%,641,11,490%,33,059,-1080%,Dati della Protezione Civile del 25 Marzo 2022 ore 19:36
Emilia-Romagna,4.408,1.257.415,46.002,1.036,999,2%,957,22,-100%,42,095,-670%,Dati della Protezione Civile del 25 Marzo 2022 ore 19:36
Friuli Venezia Giulia,1.064,328.267,22.276,1.854,128,1%,126,10,-530%,2,017,-3330%,Dati della Protezione Civile del 25 Marzo 2022 ore 19:36
Lazio,8.807,1.237.031,112.179,1.958,1.180,1%,1.110,19,-050%,70,122,-140%,Dati della Protezione Civile del 25 Marzo 2022 ore 19:36
Liguria,1.514,376.667,17.584,1.158,247,1%,239,16,-160%,8,053,000%,Dati della Protezione Civile del 25 Marzo 2022 ore 19:36
Lombardia,8.677,2.488.096,153.387,1.537,999,1%,956,10,-090%,43,043,490%,Dati della Protezione Civile del 25 Marzo 2022 ore 19:36
Marche,2.502,377.474,17.459,1.165,238,1%,229,15,180%,9,060,1250%,Dati della Protezione Civile del 25 Marzo 2022 ore 19:36
Molise,415,46.803,7.937,2.697,25,0%,25,8,-1070%,0,000,000%,Dati della Protezione Civile del 25 Marzo 2022 ore 19:36
P.A. Bolzano,737,202.659,6.213,1.161,72,1%,68,13,1150%,4,075,000%,Dati della Protezione Civile del 25 Marzo 2022 ore 19:36
P.A. Trento,441,147.128,3.840,708,46,1%,45,8,-220%,1,018,000%,Dati della Protezione Civile del 25 Marzo 2022 ore 19:36
Piemonte,2.805,1.033.761,51.017,1.193,592,1%,568,13,-020%,24,056,430%,Dati della Protezione Civile del 25 Marzo 2022 ore 19:36
Puglia,7.842,875.364,115.267,2.930,645,1%,611,16,030%,34,086,-1050%,Dati della Protezione Civile del 25 Marzo 2022 ore 19:36
Sardegna,1.873,218.784,29.910,1.881,332,1%,313,20,-190%,19,119,1880%,Dati della Protezione Civile del 25 Marzo 2022 ore 19:36
Sicilia,5.495,939.594,233.394,4.828,969,0%,903,19,-180%,66,137,480%,Dati della Protezione Civile del 25 Marzo 2022 ore 19:36
Toscana,5.469,956.549,48.128,1.303,806,2%,776,21,010%,30,081,-630%,Dati della Protezione Civile del 25 Marzo 2022 ore 19:36
Umbria,1.926,224.633,21.551,2.490,204,1%,200,23,050%,4,046,000%,Dati della Protezione Civile del 25 Marzo 2022 ore 19:36
Valle d'Aosta,77,32.272,1.117,900,14,1%,14,11,-670%,0,000,000%,Dati della Protezione Civile del 25 Marzo 2022 ore 19:36
Veneto,6.868,1.451.430,74.471,1.529,489,1%,464,10,-290%,25,051,420%,Dati della Protezione Civile del 25 Marzo 2022 ore 19:36
Italia,75.616,14.229.495,1.246.281,2.104,9.441,1%,8.994,15,-040%,447,075,000%,Dati della Protezione Civile del 25 Marzo 2022 ore 19:36
