Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,315,1382,12,181,14,Dati della Protezione Civile del 16 Aprile 2022 ore 23:45
Basilicata,93,375,2,79,13,Dati della Protezione Civile del 16 Aprile 2022 ore 23:45
Calabria,315,1039,15,198,0,Dati della Protezione Civile del 16 Aprile 2022 ore 23:45
Campania,703,4060,35,581,0,Dati della Protezione Civile del 16 Aprile 2022 ore 23:45
Emilia-Romagna,1278,9001,30,889,0,Dati della Protezione Civile del 16 Aprile 2022 ore 23:45
Friuli Venezia Giulia,138,1277,2,175,0,Dati della Protezione Civile del 16 Aprile 2022 ore 23:45
Lazio,1191,6421,69,943,243,Dati della Protezione Civile del 16 Aprile 2022 ore 23:45
Liguria,288,1646,12,215,12,Dati della Protezione Civile del 16 Aprile 2022 ore 23:45
Lombardia,1126,10457,35,1810,0,Dati della Protezione Civile del 16 Aprile 2022 ore 23:45
Marche,196,1013,6,256,57,Dati della Protezione Civile del 16 Aprile 2022 ore 23:45
Molise,26,176,2,39,26,Dati della Protezione Civile del 16 Aprile 2022 ore 23:45
P.A. Bolzano,32,497,3,100,20,Dati della Protezione Civile del 16 Aprile 2022 ore 23:45
P.A. Trento,48,517,2,90,0,Dati della Protezione Civile del 16 Aprile 2022 ore 23:45
Piemonte,686,6794,24,628,99,Dati della Protezione Civile del 16 Aprile 2022 ore 23:45
Puglia,610,2923,29,503,0,Dati della Protezione Civile del 16 Aprile 2022 ore 23:45
Sardegna,331,1602,19,204,16,Dati della Protezione Civile del 16 Aprile 2022 ore 23:45
Sicilia,910,3736,57,841,0,Dati della Protezione Civile del 16 Aprile 2022 ore 23:45
Toscana,710,5033,30,570,10,Dati della Protezione Civile del 16 Aprile 2022 ore 23:45
Umbria,254,662,7,86,41,Dati della Protezione Civile del 16 Aprile 2022 ore 23:45
Valle d'Aosta,16,163,1,34,0,Dati della Protezione Civile del 16 Aprile 2022 ore 23:45
Veneto,612,6000,19,1000,0,Dati della Protezione Civile del 16 Aprile 2022 ore 23:45
Italia,9878,64774,411,9422,551,Dati della Protezione Civile del 16 Aprile 2022 ore 23:45
