Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,3.823,219.045,115.441,9.012,465,0%,430,34,050%,35,273,-280%,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Basilicata,1.460,65.200,19.160,3.515,94,0%,88,16,-830%,6,110,2000%,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Calabria,1.619,171.780,40.832,2.195,434,1%,411,22,250%,23,124,-420%,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Campania,13.857,1.045.160,227.803,4.050,1.492,1%,1.404,25,090%,88,156,-110%,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Emilia-Romagna,7.105,1.057.580,329.161,7.415,2.852,1%,2.698,61,-010%,154,347,340%,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Friuli Venezia Giulia,3.678,271.684,63.423,5.279,539,1%,498,41,-400%,41,341,-240%,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Lazio,12.131,894.489,287.015,5.009,2.279,1%,2.081,36,-300%,198,346,-390%,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Liguria,4.248,301.070,48.259,3.178,760,2%,728,48,010%,32,211,-300%,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Lombardia,19.389,2.148.470,344.832,3.455,3.279,1%,3.044,30,090%,235,235,-640%,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Marche,6.167,266.988,25.595,1.708,408,2%,347,23,780%,61,407,-160%,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Molise,377,30.324,9.828,3.340,41,0%,38,13,270%,3,102,000%,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
P.A. Bolzano,2.698,165.284,21.491,4.018,131,1%,119,22,-560%,12,224,-770%,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
P.A. Trento,1.735,124.661,18.958,3.497,179,1%,154,28,340%,25,461,420%,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Piemonte,9.988,883.852,129.572,3.031,2.213,2%,2.081,49,-140%,132,309,390%,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Puglia,8.595,610.904,130.631,3.321,777,1%,715,18,-180%,62,158,510%,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Sardegna,792,125.997,22.953,1.444,413,2%,381,24,130%,32,201,-300%,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Sicilia,7.218,631.070,250.657,5.186,1.620,1%,1.480,31,-110%,140,290,-070%,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Toscana,9.877,749.183,148.210,4.013,1.478,1%,1.374,37,070%,104,282,-710%,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Umbria,2.037,157.109,21.983,2.540,225,1%,215,25,140%,10,116,-910%,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Valle d'Aosta,303,29.420,4.500,3.626,71,2%,65,52,160%,6,484,-1430%,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Veneto,16.045,1.167.152,216.210,4.440,1.672,1%,1.522,31,130%,150,308,-450%,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Italia,133.142,11.116.422,2.476.514,4.181,21.422,1%,19.873,34,-020%,1.549,261,-220%,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
