Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,81,70.696,8.614,660,445,5%,400,31,-450%,45,345,230%,Dati della Protezione Civile del 27 Aprile 2021 ore 17:54
Basilicata,90,23.428,6.059,1.088,176,3%,166,30,000%,10,180,000%,Dati della Protezione Civile del 27 Aprile 2021 ore 17:54
Calabria,414,58.705,14.675,762,519,4%,474,25,-170%,45,234,-220%,Dati della Protezione Civile del 27 Aprile 2021 ore 17:54
Campania,1.654,386.064,91.679,1.585,1.642,2%,1.506,26,-140%,136,235,-350%,Dati della Protezione Civile del 27 Aprile 2021 ore 17:54
Emilia-Romagna,723,366.432,47.803,1.070,2.079,4%,1.833,41,-150%,246,551,-820%,Dati della Protezione Civile del 27 Aprile 2021 ore 17:54
Friuli Venezia Giulia,186,104.723,8.044,664,299,4%,267,22,-660%,32,264,-1350%,Dati della Protezione Civile del 27 Aprile 2021 ore 17:54
Lazio,939,320.401,46.178,787,2.686,6%,2.369,40,-170%,317,540,-420%,Dati della Protezione Civile del 27 Aprile 2021 ore 17:54
Liguria,217,98.571,5.828,378,570,10%,504,33,-420%,66,428,-430%,Dati della Protezione Civile del 27 Aprile 2021 ore 17:54
Lombardia,1.369,797.658,53.051,525,4.401,8%,3.819,38,-010%,582,576,-320%,Dati della Protezione Civile del 27 Aprile 2021 ore 17:54
Marche,223,96.766,6.257,412,523,8%,457,30,-440%,66,435,-290%,Dati della Protezione Civile del 27 Aprile 2021 ore 17:54
Molise,3,13.122,606,200,54,9%,43,14,240%,11,364,-2140%,Dati della Protezione Civile del 27 Aprile 2021 ore 17:54
P.A. Bolzano,48,70.925,846,159,71,8%,65,12,000%,6,113,000%,Dati della Protezione Civile del 27 Aprile 2021 ore 17:54
P.A. Trento,89,43.739,1.060,195,106,10%,82,15,-790%,24,442,-770%,Dati della Protezione Civile del 27 Aprile 2021 ore 17:54
Piemonte,667,342.086,16.764,386,2.548,15%,2.308,53,-400%,240,553,-280%,Dati della Protezione Civile del 27 Aprile 2021 ore 17:54
Puglia,1.056,230.714,48.661,1.214,1.953,4%,1.726,43,020%,227,566,-220%,Dati della Protezione Civile del 27 Aprile 2021 ore 17:54
Sardegna,199,53.789,17.548,1.076,417,2%,371,23,250%,46,282,-210%,Dati della Protezione Civile del 27 Aprile 2021 ore 17:54
Sicilia,940,205.585,26.085,525,1.422,5%,1.254,25,000%,168,338,-340%,Dati della Protezione Civile del 27 Aprile 2021 ore 17:54
Toscana,522,224.073,21.766,585,1.706,8%,1.449,39,-120%,257,690,-190%,Dati della Protezione Civile del 27 Aprile 2021 ore 17:54
Umbria,96,54.036,2.998,341,197,7%,164,19,-300%,33,375,650%,Dati della Protezione Civile del 27 Aprile 2021 ore 17:54
Valle d'Aosta,40,10.786,783,624,56,7%,48,38,430%,8,637,000%,Dati della Protezione Civile del 27 Aprile 2021 ore 17:54
Veneto,848,409.213,22.844,465,1.190,5%,1.007,21,-270%,183,373,-210%,Dati della Protezione Civile del 27 Aprile 2021 ore 17:54
Italia,10.404,3.981.512,448.149,744,23.060,5%,20.312,34,-160%,2.748,456,-350%,Dati della Protezione Civile del 27 Aprile 2021 ore 17:54
