Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,204,1382,3,181,0,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Basilicata,77,368,0,79,14,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Calabria,290,1018,14,183,0,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Campania,649,3904,34,573,0,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Emilia-Romagna,1290,9001,43,889,0,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Friuli Venezia Giulia,178,1277,6,175,0,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Lazio,829,6421,62,943,243,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Liguria,340,1647,7,218,12,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Lombardia,1279,10457,28,1810,0,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Marche,156,983,7,230,49,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Molise,22,176,0,39,26,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
P.A. Bolzano,83,500,0,100,20,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
P.A. Trento,74,517,0,90,0,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Piemonte,491,6794,14,628,99,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Puglia,437,2722,19,405,0,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Sardegna,160,1602,13,204,16,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Sicilia,964,3631,43,789,0,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Toscana,630,5033,21,570,20,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Umbria,231,662,7,86,41,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Valle d'Aosta,17,163,1,34,0,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Veneto,643,6000,28,1000,0,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
Italia,9044,64258,350,9226,540,Dati della Protezione Civile del 10 Luglio 2022 ore 23:45
